company_name,role,country,date,hr_name
Innoface AG a,IT Service Manager,Germany,07-04-2026,Hiring Manager
Innoface AG b,Incident Manager,Germany,07-04-2026,Hiring Manager
generic.de software technologies AG a,Problem Manager,Germany,07-04-2026,Hiring Manager
generic.de software technologies AG b,Change Manager,Germany,07-04-2026,Hiring Manager
arconsis a,ITSM Manager,Germany,07-04-2026,Hiring Manager
arconsis b,Service Delivery Manager,Germany,07-04-2026,Hiring Manager
cjt Systemsoftware AG a,Major Incident Manager,Germany,07-04-2026,Hiring Manager
IT-Choice Software GmbH a,IT Operations Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH a,ITIL Process Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH b,IT Governance Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH c,Production Support Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH d,IT Support Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH e,Service Desk Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH f,IT Operations Lead,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH g,ITSM Consultant,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH h,IT Service Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH i,Incident Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH j,Problem Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH k,Change Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH l,ITSM Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH m,Service Delivery Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH n,Major Incident Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH o,IT Operations Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH p,ITIL Process Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH q,IT Governance Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH r,Production Support Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH s,IT Support Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH t,Service Desk Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH u,IT Operations Lead,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH v,ITSM Consultant,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH w,IT Service Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH x,Incident Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH y,Problem Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH z,Change Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH aa,ITSM Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ab,Service Delivery Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ac,Major Incident Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ad,IT Operations Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ae,ITIL Process Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH af,IT Governance Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ag,Production Support Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ah,IT Support Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ai,Service Desk Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH aj,IT Operations Lead,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ak,ITSM Consultant,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH al,IT Service Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH am,Incident Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH an,Problem Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ao,Change Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ap,ITSM Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH aq,Service Delivery Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ar,Major Incident Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH as,IT Operations Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH at,ITIL Process Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH au,IT Governance Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH av,Production Support Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH aw,IT Support Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ax,Service Desk Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ay,IT Operations Lead,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH az,ITSM Consultant,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ba,IT Service Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH bb,Incident Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH bc,Problem Manager,Germany,07-04-2026,Hiring Manager
DSC Software AG a,Change Manager,Germany,07-04-2026,Hiring Manager
emmtrix Technologies GmbH a,ITSM Manager,Germany,07-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,Service Delivery Manager,Germany,07-04-2026,Hiring Manager
MCC Software Engineering a,Major Incident Manager,Germany,07-04-2026,Hiring Manager
Jamit Labs GmbH a,IT Operations Manager,Germany,07-04-2026,Hiring Manager
CodeWrights GmbH a,ITIL Process Manager,Germany,07-04-2026,Hiring Manager
CodeWrights GmbH b,IT Governance Manager,Germany,07-04-2026,Hiring Manager
n-komm GmbH a,Production Support Manager,Germany,07-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,IT Support Manager,Germany,07-04-2026,Hiring Manager
Pharmakon Software GmbH a,Service Desk Manager,Germany,07-04-2026,Hiring Manager
awesome information technology GmbH a,IT Operations Lead,Germany,07-04-2026,Hiring Manager
DATEX Software GmbH a,ITSM Consultant,Germany,07-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH a,IT Service Manager,Germany,07-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH b,Incident Manager,Germany,07-04-2026,Hiring Manager
ITstrategen GmbH a,Problem Manager,Germany,07-04-2026,Hiring Manager
ITstrategen GmbH b,Change Manager,Germany,07-04-2026,Hiring Manager
