company_name,role,country,date,hr_name
Innoface AG a,Program Manager,Germany,03-04-2026,Hiring Manager
Innoface AG b,Senior Program Manager,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,Project Manager,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,Senior Project Manager,Germany,03-04-2026,Hiring Manager
arconsis a,Delivery Manager,Germany,03-04-2026,Hiring Manager
arconsis b,Agile Project Manager,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,Scrum Master,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,PMO Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,Transformation Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,Digital Program Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,IT Project Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,Product Delivery Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,Project Lead,Germany,03-04-2026,Hiring Manager
