company_name,role,country,date,hr_name
IT-Choice Software GmbH a,IT Support Engineer (L2/L3),Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH a,Infrastructure Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH c,Endpoint Management Specialist,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH e,IT Operations Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH h,EUC Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH i,Endpoint Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH k,Intune Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH l,System Administrator,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH n,Workplace Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH p,Infrastructure Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH s,Device Management Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH v,Modern Workplace Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ag,Endpoint Management Specialist,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ai,IT Operations Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH aj,Cloud Endpoint Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ak,Modern Workplace Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH al,EUC Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH am,Endpoint Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH aq,Desktop Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ax,IT Operations Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ay,Cloud Endpoint Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH az,Modern Workplace Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ba,EUC Engineer,Germany,06-04-2026,Hiring Manager
DSC Software AG a,Intune Engineer,Germany,06-04-2026,Hiring Manager
CodeWrights GmbH a,Infrastructure Engineer,Germany,06-04-2026,Hiring Manager
CodeWrights GmbH b,Windows Administrator,Germany,06-04-2026,Hiring Manager
n-komm GmbH a,Endpoint Management Specialist,Germany,06-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,Device Management Engineer,Germany,06-04-2026,Hiring Manager
Pharmakon Software GmbH a,IT Operations Engineer,Germany,06-04-2026,Hiring Manager
DATEX Software GmbH a,Modern Workplace Engineer,Germany,06-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH a,EUC Engineer,Germany,06-04-2026,Hiring Manager
ITstrategen GmbH a,SCCM Engineer,Germany,06-04-2026,Hiring Manager
ITstrategen GmbH b,Intune Engineer,Germany,06-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH a,System Administrator,Germany,06-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH b,Desktop Engineer,Germany,06-04-2026,Hiring Manager
ACT Smartware GmbH a,Desktop Engineer,Germany,06-04-2026,Hiring Manager
CAOS Computersoftware für Anwendungs-Orientierte Systeme GmbH a,Workplace Engineer,Germany,06-04-2026,Hiring Manager
Retis GmbH & Co. KG a,IT Support Engineer (L2/L3),Germany,06-04-2026,Hiring Manager
NETSYNO Software GmbH a,Infrastructure Engineer,Germany,06-04-2026,Hiring Manager
Internext GmbH Innovative IT-Lösungen a,Windows Administrator,Germany,06-04-2026,Hiring Manager
