company_name,role,country,date,hr_name
Bleck & Söhne Hoch- und Tiefbau GmbH & Co. KG a,MEP Engineer,Germany,06-04-2026,Hiring Manager
CCI GmbH a,Technical Services Engineer,Germany,06-04-2026,Hiring Manager
Elemente Spezialbau 1A GmbH a,Electrical Engineer Facilities,Germany,06-04-2026,Hiring Manager
Helios Construction a,Site Engineer Electrical,Germany,06-04-2026,Hiring Manager
Helios Construction b,FM Engineer,Germany,06-04-2026,Hiring Manager
MG Construction GmbH a,Building Services Engineer,Germany,06-04-2026,Hiring Manager
Royal-Construct GmbH a,Electrical Maintenance Engineer,Germany,06-04-2026,Hiring Manager
Royal-Construct GmbH b,MEP Engineer,Germany,06-04-2026,Hiring Manager
Royal-Construct GmbH c,Facility Operations Engineer,Germany,06-04-2026,Hiring Manager
Royal-Construct GmbH d,Maintenance Engineer,Germany,06-04-2026,Hiring Manager
Royal-Construct GmbH e,Technical Services Engineer,Germany,06-04-2026,Hiring Manager
renovira. a,Electrical Engineer Facilities,Germany,06-04-2026,Hiring Manager
DGC Construct a,Site Engineer Electrical,Germany,06-04-2026,Hiring Manager
DGC Construct b,FM Engineer,Germany,06-04-2026,Hiring Manager
Muffenrohr Tiefbauhandel GmbH a,Facility Engineer,Germany,06-04-2026,Hiring Manager
NEUWEST Bauunternehmen - Baufirma für Sanierung Berlin a,Building Services Engineer,Germany,06-04-2026,Hiring Manager
Maftei a,Electrical Maintenance Engineer,Germany,06-04-2026,Hiring Manager
K-Bau Engineering UG a,MEP Engineer,Germany,06-04-2026,Hiring Manager
STAVE GmbH a,Facility Operations Engineer,Germany,06-04-2026,Hiring Manager
BTB Bauausführung & Immobilien GmbH a,Maintenance Engineer,Germany,06-04-2026,Hiring Manager
Apex Construction GmbH a,Technical Services Engineer,Germany,06-04-2026,Hiring Manager
Quick City a,Electrical Engineer Facilities,Germany,06-04-2026,Hiring Manager
DeVi Bau GmbH a,Site Engineer Electrical,Germany,06-04-2026,Hiring Manager
AGH AUSBAU GmbH a,FM Engineer,Germany,06-04-2026,Hiring Manager
RS Infratec GmbH a,Facility Engineer,Germany,06-04-2026,Hiring Manager
ROCKiT Bau a,Building Services Engineer,Germany,06-04-2026,Hiring Manager
Beton & Rohrbau 2.0 GmbH a,Electrical Maintenance Engineer,Germany,06-04-2026,Hiring Manager
Strooy Hochbau GmbH a,MEP Engineer,Germany,06-04-2026,Hiring Manager
Green Constructions Berlin GmbH a,Facility Operations Engineer,Germany,06-04-2026,Hiring Manager
Green Constructions Berlin GmbH b,Maintenance Engineer,Germany,06-04-2026,Hiring Manager
Berliner Bau Strateg GmbH a,Technical Services Engineer,Germany,06-04-2026,Hiring Manager
Silver construction engineering GmbH a,Electrical Engineer Facilities,Germany,06-04-2026,Hiring Manager
Green Workers | Innovative nachhaltige Baudienstleistungen a,Site Engineer Electrical,Germany,06-04-2026,Hiring Manager
Ed. Züblin AG • Direktion Nord-Ost • Bereich Brandenburg c,FM Engineer,Germany,06-04-2026,Hiring Manager
Ed. Züblin AG • Direktion Nord-Ost • Bereich Brandenburg d,Facility Engineer,Germany,06-04-2026,Hiring Manager
Ed. Züblin AG • Direktion Nord-Ost • Bereich Brandenburg e,Building Services Engineer,Germany,06-04-2026,Hiring Manager
Ed. Züblin AG • Direktion Nord-Ost • Bereich Brandenburg f,Electrical Maintenance Engineer,Germany,06-04-2026,Hiring Manager
Ed. Züblin AG • Direktion Nord-Ost • Bereich Brandenburg g,MEP Engineer,Germany,06-04-2026,Hiring Manager
Ed. Züblin AG • Direktion Nord-Ost • Bereich Brandenburg h,Facility Operations Engineer,Germany,06-04-2026,Hiring Manager
Ed. Züblin AG • Direktion Nord-Ost • Bereich Brandenburg i,Maintenance Engineer,Germany,06-04-2026,Hiring Manager
LEC Construction International GmbH a,Technical Services Engineer,Germany,06-04-2026,Hiring Manager
Komplett Sanierung 24 GmbH a,Electrical Engineer Facilities,Germany,06-04-2026,Hiring Manager
Hans-Peter Schmidt Tiefbau GmbH a,Site Engineer Electrical,Germany,06-04-2026,Hiring Manager
Mati Ingenieur a,FM Engineer,Germany,06-04-2026,Hiring Manager
Zenit Projektmanagement a,Facility Engineer,Germany,06-04-2026,Hiring Manager
R.U.N.D. Ingenieurbau GmbH a,Building Services Engineer,Germany,06-04-2026,Hiring Manager
Impala a,Electrical Maintenance Engineer,Germany,06-04-2026,Hiring Manager
Trinova GmbH a,MEP Engineer,Germany,06-04-2026,Hiring Manager
HOBAG Hochbau AG a,Facility Operations Engineer,Germany,06-04-2026,Hiring Manager
HOBAG Hochbau AG b,Maintenance Engineer,Germany,06-04-2026,Hiring Manager
Baustellen Partner a,Technical Services Engineer,Germany,06-04-2026,Hiring Manager
SBG Sadriu Bau Gesellschaft mbH - Gerüstbau und verleih a,Electrical Engineer Facilities,Germany,06-04-2026,Hiring Manager
CARLISLE Construction Materials GmbH - WERK HH a,Site Engineer Electrical,Germany,06-04-2026,Hiring Manager
Gruppenwerk Bauunternehmen Gruppenwerk BSI Bausanierung und Instandhaltung GmbH a,FM Engineer,Germany,06-04-2026,Hiring Manager
HC Hagemann GmbH & Co. KG a,Facility Engineer,Germany,06-04-2026,Hiring Manager
CARLISLE Construction Materials GmbH a,Building Services Engineer,Germany,06-04-2026,Hiring Manager
Allbauer GmbH a,Electrical Maintenance Engineer,Germany,06-04-2026,Hiring Manager
ARIFI Construction GmbH a,MEP Engineer,Germany,06-04-2026,Hiring Manager
HB Hansa Baugesellschaft mbH / Rohbau & Flachdach/ Bauunternehmen Hamburg und Umgebung a,Facility Operations Engineer,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG a,Maintenance Engineer,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG b,Technical Services Engineer,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG c,Electrical Engineer Facilities,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG d,Site Engineer Electrical,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG e,FM Engineer,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG f,Facility Engineer,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG g,Building Services Engineer,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG h,Electrical Maintenance Engineer,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG i,MEP Engineer,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG j,Facility Operations Engineer,Germany,06-04-2026,Hiring Manager
KS Rohrleitungsbau Sewerin GmbH & Co. KG k,Maintenance Engineer,Germany,06-04-2026,Hiring Manager
BSP Konstrukt GmbH a,Technical Services Engineer,Germany,06-04-2026,Hiring Manager
DHB Hamburger Bauunternehmen GmbH a,Electrical Engineer Facilities,Germany,06-04-2026,Hiring Manager
Wittchow Bau CBM GmbH Generalunternehmen a,Site Engineer Electrical,Germany,06-04-2026,Hiring Manager
Wittchow Bau CBM GmbH Generalunternehmen b,FM Engineer,Germany,06-04-2026,Hiring Manager
"BM-Bau Tief-, Rohrleitungs- und Straßenbau GmbH a",Facility Engineer,Germany,06-04-2026,Hiring Manager
"BM-Bau Tief-, Rohrleitungs- und Straßenbau GmbH b",Building Services Engineer,Germany,06-04-2026,Hiring Manager
"BM-Bau Tief-, Rohrleitungs- und Straßenbau GmbH c",Electrical Maintenance Engineer,Germany,06-04-2026,Hiring Manager
WEISS GmbH a,MEP Engineer,Germany,06-04-2026,Hiring Manager
STRABAG Kieserling Flooring Systems GmbH - Industrieböden Hamburg a,Facility Operations Engineer,Germany,06-04-2026,Hiring Manager
Boes Bau Hamburg GmbH & Co. KG a,Maintenance Engineer,Germany,06-04-2026,Hiring Manager
azarm bau a,Technical Services Engineer,Germany,06-04-2026,Hiring Manager
EGGERS Umwelttechnik GmbH a,Electrical Engineer Facilities,Germany,06-04-2026,Hiring Manager
EGGERS Umwelttechnik GmbH b,Site Engineer Electrical,Germany,06-04-2026,Hiring Manager
EGGERS Umwelttechnik GmbH c,FM Engineer,Germany,06-04-2026,Hiring Manager
