company_name,role,country,date,hr_name
Vector Informatik GmbH q,Backend Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH r,Java Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ab,Backend Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ac,Software Engineer Java,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ad,Microservices Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ae,Spring Boot Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH af,API Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ag,Software Engineer Backend,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ah,Java Microservices Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ai,Full Stack Developer Java,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH aj,Backend Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH ak,Java Developer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH al,Backend Engineer,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH am,Software Engineer Java,Germany,06-04-2026,Hiring Manager
Vector Informatik GmbH an,Microservices Developer,Germany,06-04-2026,Hiring Manager
