company_name,role,country,date,hr_name
Innoface AG a,Machine Learning Engineer,Germany,03-04-2026,Hiring Manager
Innoface AG b,Senior Machine Learning Engineer,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,AI Engineer,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,Generative AI Engineer,Germany,03-04-2026,Hiring Manager
arconsis a,NLP Engineer,Germany,03-04-2026,Hiring Manager
arconsis b,Data Scientist,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,Applied AI Engineer,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,AI Solutions Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,LLM Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,RAG Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,AI Platform Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,MLOps Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,Data Engineer AI,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH f,AI Research Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH g,Deep Learning Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH h,Conversational AI Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH i,AI Architect,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH j,Intelligent Systems Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH k,Data and AI Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH l,AI Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH m,Machine Learning Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH n,Senior Machine Learning Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH o,AI Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH p,Generative AI Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH q,NLP Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH r,Data Scientist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH s,Applied AI Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH t,AI Solutions Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH u,LLM Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH v,RAG Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH w,AI Platform Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH x,MLOps Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH y,Data Engineer AI,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH z,AI Research Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aa,Deep Learning Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ab,Conversational AI Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ac,AI Architect,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ad,Intelligent Systems Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ae,Data and AI Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH af,AI Consultant,Germany,03-04-2026,Hiring Manager
