company_name,role,country,date,hr_name
FIB Frankfurt International Bank AG a,Banking Manager,Germany,06-04-2026,Hiring Manager
Quirin Privatbank AG Frankfurt am Main a,Branch Manager,Germany,06-04-2026,Hiring Manager
Quirin Privatbank AG Frankfurt am Main b,Retail Banking Manager,Germany,06-04-2026,Hiring Manager
BANKINGCLUB GmbH - Office Frankfurt a,Relationship Manager Banking,Germany,06-04-2026,Hiring Manager
"VakifBank International AG, Wien, Zweigniederlassung Frankfurt am Main a",Banking Operations Manager,Germany,06-04-2026,Hiring Manager
NIBC Bank N.V. Zweigniederlassung Frankfurt am Main a,Financial Services Manager,Germany,06-04-2026,Hiring Manager
BankM AG a,Risk and Compliance Manager,Germany,06-04-2026,Hiring Manager
Westend Bank AG a,KYC AML Analyst,Germany,06-04-2026,Hiring Manager
AKTIVBANK AG a,Banking Business Manager,Germany,06-04-2026,Hiring Manager
tradias GmbH a,Customer Relationship Manager Banking,Germany,06-04-2026,Hiring Manager
M Cap Finance Mittelstand III GmbH & Co. KG a,Credit Analyst Banking,Germany,06-04-2026,Hiring Manager
"Fürstlich Castell'sche Bank, Credit-Casse AG a",Banking Operations Executive,Germany,06-04-2026,Hiring Manager
ICM InvestmentBank AG a,Financial Analyst Banking,Germany,06-04-2026,Hiring Manager
Deutsche Bank Wealth Management a,Business Development Manager Banking,Germany,06-04-2026,Hiring Manager
Bank of China Berlin Branch a,Banking Consultant,Germany,06-04-2026,Hiring Manager
Compensation Scheme of German Banks GmbH a,Operations Manager Banking,Germany,06-04-2026,Hiring Manager
Carl Finance GmbH a,Client Relationship Manager Banking,Germany,06-04-2026,Hiring Manager
Münchener Hypothekenbank eG. a,Banking Analyst,Germany,06-04-2026,Hiring Manager
Münchener Hypothekenbank eG. b,Compliance Officer Banking,Germany,06-04-2026,Hiring Manager
Münchener Hypothekenbank eG. c,Financial Services Consultant,Germany,06-04-2026,Hiring Manager
First Berlin F.S.B. Investment-Beratungsgesellschaft mbH a,Banking Manager,Germany,06-04-2026,Hiring Manager
"Berliner Volksbank Beratungscenter Firmen, Ausland, Gründer, PrivateBanking a",Branch Manager,Germany,06-04-2026,Hiring Manager
Arbeitgeberverband des privaten Bankgewerbes e.V. a,Retail Banking Manager,Germany,06-04-2026,Hiring Manager
Creditplus Bank AG - Filiale München a,Relationship Manager Banking,Germany,06-04-2026,Hiring Manager
Quirin Privatbank AG München a,Banking Operations Manager,Germany,06-04-2026,Hiring Manager
Munich Business & Finance Club e.V. a,Financial Services Manager,Germany,06-04-2026,Hiring Manager
LLB Geschäftsstelle München a,Risk and Compliance Manager,Germany,06-04-2026,Hiring Manager
"Middle East Bank, Munich Branch a",KYC AML Analyst,Germany,06-04-2026,Hiring Manager
Santander Bank a,Banking Business Manager,Germany,06-04-2026,Hiring Manager
a customised modern private bank a,Customer Relationship Manager Banking,Germany,06-04-2026,Hiring Manager
KochBank GmbH Wertpapierhandelsbank a,Credit Analyst Banking,Germany,06-04-2026,Hiring Manager
ARTHOS Corporate Finance GmbH a,Banking Operations Executive,Germany,06-04-2026,Hiring Manager
Münchner Bank eG - Filiale Schwabing a,Financial Analyst Banking,Germany,06-04-2026,Hiring Manager
"Evangelische Bank eG, München a",Business Development Manager Banking,Germany,06-04-2026,Hiring Manager
"Evangelische Bank eG, München b",Banking Consultant,Germany,06-04-2026,Hiring Manager
a.b.s. Rechenzentrum GmbH a,Operations Manager Banking,Germany,06-04-2026,Hiring Manager
