company_name,role,country,date,hr_name
Globale Supplementäre Gesellschaft mbH a,Telecom Engineer,Germany,06-04-2026,Hiring Manager
Globale Supplementäre Gesellschaft mbH b,Fiber Network Engineer,Germany,06-04-2026,Hiring Manager
Industria Oberländer Ingenieur-GmbH & Co. KG a,FTTH Engineer,Germany,06-04-2026,Hiring Manager
Emc-Technik & Consulting GmbH a,FTTP Engineer,Germany,06-04-2026,Hiring Manager
PM-Elektrotechnik a,Network Operations Engineer,Germany,06-04-2026,Hiring Manager
Sebastian Wider - Engineering Services Ingenieurbüro a,Telecom Field Engineer,Germany,06-04-2026,Hiring Manager
Elektrotech Hessen a,Fiber Optic Technician,Germany,06-04-2026,Hiring Manager
STS Elektromechanische Anlagenbau GmbH a,Broadband Engineer,Germany,06-04-2026,Hiring Manager
Siemens AG Schaltanlagenwerk Frankfurt b,O&M Engineer (Telecom),Germany,06-04-2026,Hiring Manager
Siemens AG Schaltanlagenwerk Frankfurt c,Fiber Splicing Engineer,Germany,06-04-2026,Hiring Manager
Siemens AG Schaltanlagenwerk Frankfurt d,Network Maintenance Engineer,Germany,06-04-2026,Hiring Manager
Elektro Ehinger GmbH a,Telecom Infrastructure Engineer,Germany,06-04-2026,Hiring Manager
ETM FRANKFURT GMBH a,Cable Technician (Fiber),Germany,06-04-2026,Hiring Manager
EAB Elektro Anlagenbau GmbH Rhein / Main a,Field Service Engineer (Telecom),Germany,06-04-2026,Hiring Manager
REBUS GmbH a,NOC Support Engineer,Germany,06-04-2026,Hiring Manager
En.plus GmbH NL Frankfurt am Main a,Telecom Engineer,Germany,06-04-2026,Hiring Manager
Engineering Professionals a,Fiber Network Engineer,Germany,06-04-2026,Hiring Manager
Pfeiffer Elektro-Technik GmbH a,FTTH Engineer,Germany,06-04-2026,Hiring Manager
JEG - Jusofie Engineering a,FTTP Engineer,Germany,06-04-2026,Hiring Manager
ZG Elektrotechnik GmbH a,Network Operations Engineer,Germany,06-04-2026,Hiring Manager
Elektro Noack a,Telecom Field Engineer,Germany,06-04-2026,Hiring Manager
Niko Deutschland GmbH a,Fiber Optic Technician,Germany,06-04-2026,Hiring Manager
Control Mechatronics GmbH a,Broadband Engineer,Germany,06-04-2026,Hiring Manager
Control Mechatronics GmbH b,O&M Engineer (Telecom),Germany,06-04-2026,Hiring Manager
Control Mechatronics GmbH c,Fiber Splicing Engineer,Germany,06-04-2026,Hiring Manager
Control Mechatronics GmbH d,Network Maintenance Engineer,Germany,06-04-2026,Hiring Manager
Control Mechatronics GmbH e,Telecom Infrastructure Engineer,Germany,06-04-2026,Hiring Manager
Control Mechatronics GmbH f,Cable Technician (Fiber),Germany,06-04-2026,Hiring Manager
Control Mechatronics GmbH g,Field Service Engineer (Telecom),Germany,06-04-2026,Hiring Manager
City Elektro GmbH a,NOC Support Engineer,Germany,06-04-2026,Hiring Manager
City Elektro GmbH b,Telecom Engineer,Germany,06-04-2026,Hiring Manager
Fuchs Planungsgesellschaft mbH & Co. KG a,Fiber Network Engineer,Germany,06-04-2026,Hiring Manager
Fuchs Planungsgesellschaft mbH & Co. KG b,FTTH Engineer,Germany,06-04-2026,Hiring Manager
Fuchs Planungsgesellschaft mbH & Co. KG c,FTTP Engineer,Germany,06-04-2026,Hiring Manager
Fuchs Planungsgesellschaft mbH & Co. KG d,Network Operations Engineer,Germany,06-04-2026,Hiring Manager
Fuchs Planungsgesellschaft mbH & Co. KG e,Telecom Field Engineer,Germany,06-04-2026,Hiring Manager
Opoura Hamburg GmbH a,Fiber Optic Technician,Germany,06-04-2026,Hiring Manager
SPIE EPH GmbH a,Broadband Engineer,Germany,06-04-2026,Hiring Manager
SPIE EPH GmbH b,O&M Engineer (Telecom),Germany,06-04-2026,Hiring Manager
Intermediate Engineering GmbH a,Fiber Splicing Engineer,Germany,06-04-2026,Hiring Manager
Intermediate Engineering GmbH b,Network Maintenance Engineer,Germany,06-04-2026,Hiring Manager
ORANGE Engineering Hamburg a,Telecom Infrastructure Engineer,Germany,06-04-2026,Hiring Manager
ibea Ingenieurbüro für Elektronik und Automation GmbH a,Cable Technician (Fiber),Germany,06-04-2026,Hiring Manager
BEA Bergmann Elektro- u. Antennentechnik GmbH a,Field Service Engineer (Telecom),Germany,06-04-2026,Hiring Manager
Mein Elektriker Hamburg a,NOC Support Engineer,Germany,06-04-2026,Hiring Manager
Mein Elektriker Hamburg b,Telecom Engineer,Germany,06-04-2026,Hiring Manager
HEGt Hamburger Elektro- und Gebäudetechnik GmbH a,Fiber Network Engineer,Germany,06-04-2026,Hiring Manager
TBT-Engineering a,FTTH Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU GmbH g,FTTP Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU GmbH h,Network Operations Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU GmbH i,Telecom Field Engineer,Germany,06-04-2026,Hiring Manager
