company_name,role,country,date,hr_name
prenode GmbH a,Workplace Experience Manager,Germany,06-04-2026,Hiring Manager
s.a.x. Software GmbH a,Facilities Manager,Germany,06-04-2026,Hiring Manager
ANALYTICA GmbH a,Head of Facilities,Germany,06-04-2026,Hiring Manager
evacon IT-Solution & Consulting GmbH & Co. KG a,Workplace Operations Manager,Germany,06-04-2026,Hiring Manager
Unic GmbH a,Corporate Services Manager,Germany,06-04-2026,Hiring Manager
Open Experience GmbH a,Office Operations Director,Germany,06-04-2026,Hiring Manager
Bee360 a,Workplace Strategy Manager,Germany,06-04-2026,Hiring Manager
Consiliari GmbH a,Facilities Operations Lead,Germany,06-04-2026,Hiring Manager
Compaile Solutions GmbH a,Employee Experience Manager,Germany,06-04-2026,Hiring Manager
emediagroup GmbH a,Operations Manager (Corporate Services),Germany,06-04-2026,Hiring Manager
Codelution GmbH a,Workplace Experience Manager,Germany,06-04-2026,Hiring Manager
Appmond a,Facilities Manager,Germany,06-04-2026,Hiring Manager
Navigate AG a,Head of Facilities,Germany,06-04-2026,Hiring Manager
cluetec GmbH a,Workplace Operations Manager,Germany,06-04-2026,Hiring Manager
cluetec GmbH b,Corporate Services Manager,Germany,06-04-2026,Hiring Manager
MegaPart GmbH - IT-Projekte und Engineering-Projekte Karlsruhe a,Office Operations Director,Germany,06-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH a,Workplace Strategy Manager,Germany,06-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH b,Facilities Operations Lead,Germany,06-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH a,Employee Experience Manager,Germany,06-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH b,Operations Manager (Corporate Services),Germany,06-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH c,Workplace Experience Manager,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh a,Facilities Manager,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh b,Head of Facilities,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh c,Workplace Operations Manager,Germany,06-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh d,Corporate Services Manager,Germany,06-04-2026,Hiring Manager
INIT a,Office Operations Director,Germany,06-04-2026,Hiring Manager
Implement-IT - Apple Premium Partner a,Workplace Strategy Manager,Germany,06-04-2026,Hiring Manager
ILI.DIGITAL AG a,Facilities Operations Lead,Germany,06-04-2026,Hiring Manager
Schwenk IT GmbH a,Employee Experience Manager,Germany,06-04-2026,Hiring Manager
PRODATA Datenbanken und Informationssysteme GmbH a,Operations Manager (Corporate Services),Germany,06-04-2026,Hiring Manager
NinjaConcept GmbH a,Workplace Experience Manager,Germany,06-04-2026,Hiring Manager
Industrial Application Software GmbH a,Facilities Manager,Germany,06-04-2026,Hiring Manager
ERAB IT-Systems GmbH a,Head of Facilities,Germany,06-04-2026,Hiring Manager
Bechtle IT-Systemhaus Darmstadt a,Workplace Operations Manager,Germany,06-04-2026,Hiring Manager
ACCSO - Accelerated Solutions GmbH a,Corporate Services Manager,Germany,06-04-2026,Hiring Manager
ACCSO - Accelerated Solutions GmbH b,Office Operations Director,Germany,06-04-2026,Hiring Manager
etalytics GmbH a,Workplace Strategy Manager,Germany,06-04-2026,Hiring Manager
COSOBA GmbH a,Facilities Operations Lead,Germany,06-04-2026,Hiring Manager
ITL GmbH a,Employee Experience Manager,Germany,06-04-2026,Hiring Manager
orquidea GmbH a,Operations Manager (Corporate Services),Germany,06-04-2026,Hiring Manager
orquidea GmbH b,Workplace Experience Manager,Germany,06-04-2026,Hiring Manager
InteRES GmbH a,Facilities Manager,Germany,06-04-2026,Hiring Manager
reinheimer systemloesungen gmbh a,Head of Facilities,Germany,06-04-2026,Hiring Manager
Infranaut IT-Services GmbH a,Workplace Operations Manager,Germany,06-04-2026,Hiring Manager
cosee GmbH a,Corporate Services Manager,Germany,06-04-2026,Hiring Manager
SMART DATA Deutschland GmbH a,Office Operations Director,Germany,06-04-2026,Hiring Manager
SMART DATA Deutschland GmbH b,Workplace Strategy Manager,Germany,06-04-2026,Hiring Manager
Bolinda Labs GmbH a,Facilities Operations Lead,Germany,06-04-2026,Hiring Manager
codecare software GmbH a,Employee Experience Manager,Germany,06-04-2026,Hiring Manager
NSK GmbH & Co. KG a,Operations Manager (Corporate Services),Germany,06-04-2026,Hiring Manager
SOFTTAILOR GmbH a,Workplace Experience Manager,Germany,06-04-2026,Hiring Manager
blink.it a,Facilities Manager,Germany,06-04-2026,Hiring Manager
