company_name,role,country,date,hr_name
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 80",Production Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 81",Manufacturing Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 82",Fabrication Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 83",CNC Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 84",Process Engineer Manufacturing,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 85",Mechanical Production Engineer,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 86",Quality Engineer Manufacturing,Germany,06-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 87",Industrial Engineer,Germany,06-04-2026,Hiring Manager
hpc - High Precision Components Witten GmbH,Production Planning Engineer,Germany,06-04-2026,Hiring Manager
KHS GmbH,Shop Floor Supervisor,Germany,06-04-2026,Hiring Manager
VEI Engineering GmbH,Operations Engineer Manufacturing,Germany,06-04-2026,Hiring Manager
FERCHAU GmbH - Business Unit 01,Quality Control Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU GmbH - Business Unit 02,Welding and Fabrication Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU GmbH - Business Unit 03,Plant Production Engineer,Germany,06-04-2026,Hiring Manager
FERCHAU GmbH - Business Unit 04,Manufacturing Operations Engineer,Germany,06-04-2026,Hiring Manager
Kfz Gutachter Dortmund - Stern GmbH - Ingenieurbuero fur Fahrzeugtechnik,Process Improvement Engineer,Germany,06-04-2026,Hiring Manager
Fluidsysteme Dasbeck GmbH,Mechanical Engineer Production,Germany,06-04-2026,Hiring Manager
IPS Engineers GmbH,Production Executive,Germany,06-04-2026,Hiring Manager
DEKRA Automobil GmbH Dortmund branch - Business Unit 01,Engineering Technician Mechanical,Germany,06-04-2026,Hiring Manager
DEKRA Automobil GmbH Dortmund branch - Business Unit 02,Fabrication Production Engineer,Germany,06-04-2026,Hiring Manager
DEKRA Automobil GmbH Dortmund branch - Business Unit 03,Production Engineer,Germany,06-04-2026,Hiring Manager
DEKRA Automobil GmbH Dortmund branch - Business Unit 04,Manufacturing Engineer,Germany,06-04-2026,Hiring Manager
DEKRA Automobil GmbH Dortmund branch - Business Unit 05,Fabrication Engineer,Germany,06-04-2026,Hiring Manager
DEKRA Automobil GmbH Dortmund branch - Business Unit 06,CNC Engineer,Germany,06-04-2026,Hiring Manager
DEKRA Automobil GmbH Dortmund branch - Business Unit 07,Process Engineer Manufacturing,Germany,06-04-2026,Hiring Manager
STILL Hauptniederlassung Dortmund,Mechanical Production Engineer,Germany,06-04-2026,Hiring Manager
CARGUARD Technologies GmbH,Quality Engineer Manufacturing,Germany,06-04-2026,Hiring Manager
thyssenkrupp nucera AG & Co. KGaA - Business Unit 01,Industrial Engineer,Germany,06-04-2026,Hiring Manager
thyssenkrupp nucera AG & Co. KGaA - Business Unit 02,Production Planning Engineer,Germany,06-04-2026,Hiring Manager
thyssenkrupp nucera AG & Co. KGaA - Business Unit 03,Shop Floor Supervisor,Germany,06-04-2026,Hiring Manager
thyssenkrupp nucera AG & Co. KGaA - Business Unit 04,Operations Engineer Manufacturing,Germany,06-04-2026,Hiring Manager
thyssenkrupp nucera AG & Co. KGaA - Business Unit 05,Quality Control Engineer,Germany,06-04-2026,Hiring Manager
