company_name,role,country,date,hr_name
Communardo GmbH - Büro Darmstadt a,Agribusiness Manager,Germany,06-04-2026,Hiring Manager
Cloud5 Solutions IT-Systemhaus Darmstadt a,Territory Sales Manager,Germany,06-04-2026,Hiring Manager
Cloud5 Solutions IT-Systemhaus Darmstadt b,Regional Sales Manager,Germany,06-04-2026,Hiring Manager
teambits a,Agricultural Sales Executive,Germany,06-04-2026,Hiring Manager
PC-Mentor GmbH - IT-Service in Weiterstadt a,Crop Protection Specialist,Germany,06-04-2026,Hiring Manager
Future-App a,Agri Marketing Manager,Germany,06-04-2026,Hiring Manager
Mulan IT Solutions a,Sales Executive Agriculture,Germany,06-04-2026,Hiring Manager
PC-Profis Computer GmbH a,Business Development Manager Agriculture,Germany,06-04-2026,Hiring Manager
IBS Consult a,Product Marketing Executive Agriculture,Germany,06-04-2026,Hiring Manager
IBS Consult b,Channel Sales Manager,Germany,06-04-2026,Hiring Manager
ISRA VISION GmbH a,Area Sales Manager,Germany,06-04-2026,Hiring Manager
Ifos-Privates Institut für Organisationsberatung und Softwareentwicklung GmbH a,Field Sales Executive Agriculture,Germany,06-04-2026,Hiring Manager
eurodata AG - cloudbasierte Softwarelösungen und IT-Services für KMU und Steuerberater a,Agri Business Development Executive,Germany,06-04-2026,Hiring Manager
Plan Software GmbH a,Sales and Marketing Executive Agriculture,Germany,06-04-2026,Hiring Manager
ZWF IT + Consulting AG a,Distributor Relationship Manager,Germany,06-04-2026,Hiring Manager
EUROKEY Software GmbH a,Agri Input Sales Specialist,Germany,06-04-2026,Hiring Manager
EUPASA GmbH IT-Solutions a,Market Development Executive Agriculture,Germany,06-04-2026,Hiring Manager
inett GmbH - Linux und Open Source Systemhaus a,Territory Business Manager,Germany,06-04-2026,Hiring Manager
internett GmbH - Gesellschaft für Informations- und Kommunikationstechnik a,Agricultural Product Specialist,Germany,06-04-2026,Hiring Manager
DIaLOGIKa GmbH a,Rural Sales Manager,Germany,06-04-2026,Hiring Manager
detacon GmbH a,Agribusiness Manager,Germany,06-04-2026,Hiring Manager
Is Predict GmbH a,Territory Sales Manager,Germany,06-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH a,Regional Sales Manager,Germany,06-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH b,Agricultural Sales Executive,Germany,06-04-2026,Hiring Manager
itechx GmbH a,Crop Protection Specialist,Germany,06-04-2026,Hiring Manager
iX-tech GmbH a,Agri Marketing Manager,Germany,06-04-2026,Hiring Manager
IKU GmbH & Co. KG a,Sales Executive Agriculture,Germany,06-04-2026,Hiring Manager
Bechtle IT-Systemhaus Saarbrücken a,Business Development Manager Agriculture,Germany,06-04-2026,Hiring Manager
ADD IT & Consulting GmbH a,Product Marketing Executive Agriculture,Germany,06-04-2026,Hiring Manager
INFOSERVE GmbH a,Channel Sales Manager,Germany,06-04-2026,Hiring Manager
PIKON Deutschland AG a,Area Sales Manager,Germany,06-04-2026,Hiring Manager
Eyeled GmbH a,Field Sales Executive Agriculture,Germany,06-04-2026,Hiring Manager
merios - it-solutions GmbH a,Agri Business Development Executive,Germany,06-04-2026,Hiring Manager
merios - it-solutions GmbH b,Sales and Marketing Executive Agriculture,Germany,06-04-2026,Hiring Manager
Intex EDV-Software GmbH a,Distributor Relationship Manager,Germany,06-04-2026,Hiring Manager
Moltomedia GmbH a,Agri Input Sales Specialist,Germany,06-04-2026,Hiring Manager
Site Point GmbH a,Market Development Executive Agriculture,Germany,06-04-2026,Hiring Manager
Bonanza Software GmbH a,Territory Business Manager,Germany,06-04-2026,Hiring Manager
Basis Europe GmbH a,Agricultural Product Specialist,Germany,06-04-2026,Hiring Manager
Basis Europe GmbH b,Rural Sales Manager,Germany,06-04-2026,Hiring Manager
Basis Europe GmbH c,Agribusiness Manager,Germany,06-04-2026,Hiring Manager
