company_name,role,country,date,hr_name
Innoface AG a,Healthcare Operations Executive,Germany,03-04-2026,Hiring Manager
Innoface AG b,Patient Care Coordinator,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,Clinical Operations Specialist,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,Intake Coordinator,Germany,03-04-2026,Hiring Manager
arconsis a,Healthcare Administrator,Germany,03-04-2026,Hiring Manager
arconsis b,Medical Operations Executive,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,Care Coordinator,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,Healthcare Support Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,Patient Services Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,Operations Executive (Healthcare),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,Healthcare Operations Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,Patient Care Coordinator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,Clinical Operations Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH f,Intake Coordinator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH g,Healthcare Administrator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH h,Medical Operations Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH i,Care Coordinator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH j,Healthcare Support Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH k,Patient Services Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH l,Operations Executive (Healthcare),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH m,Healthcare Operations Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH n,Patient Care Coordinator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH o,Clinical Operations Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH p,Intake Coordinator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH q,Healthcare Administrator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH r,Medical Operations Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH s,Care Coordinator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH t,Healthcare Support Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH u,Patient Services Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH v,Operations Executive (Healthcare),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH w,Healthcare Operations Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH x,Patient Care Coordinator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH y,Clinical Operations Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH z,Intake Coordinator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aa,Healthcare Administrator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ab,Medical Operations Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ac,Care Coordinator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ad,Healthcare Support Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ae,Patient Services Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH af,Operations Executive (Healthcare),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ag,Healthcare Operations Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ah,Patient Care Coordinator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ai,Clinical Operations Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aj,Intake Coordinator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ak,Healthcare Administrator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH al,Medical Operations Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH am,Care Coordinator,Germany,03-04-2026,Hiring Manager
