company_name,role,country,date,hr_name
Innoface AG a,Engagement Manager,Germany,03-04-2026,Hiring Manager
Innoface AG b,Program Manager,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,Delivery Manager,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,IT Service Delivery Manager,Germany,03-04-2026,Hiring Manager
arconsis a,Senior Project Manager,Germany,03-04-2026,Hiring Manager
arconsis b,Portfolio Manager,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,Digital Transformation Manager,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,Client Engagement Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,Account Manager IT,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,Service Delivery Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,Program Director,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,PMO Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,Transition Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH f,IT Operations Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH g,Managed Services Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH h,Agile Program Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH i,Scrum Program Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH j,Enterprise Delivery Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH k,Engagement Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH l,Program Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH m,Delivery Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH n,IT Service Delivery Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH o,Senior Project Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH p,Portfolio Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH q,Digital Transformation Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH r,Client Engagement Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH s,Account Manager IT,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH t,Service Delivery Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH u,Program Director,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH v,PMO Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH w,Transition Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH x,IT Operations Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH y,Managed Services Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH z,Agile Program Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aa,Scrum Program Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ab,Enterprise Delivery Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ac,Engagement Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ad,Program Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ae,Delivery Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH af,IT Service Delivery Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ag,Senior Project Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ah,Portfolio Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ai,Digital Transformation Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aj,Client Engagement Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ak,Account Manager IT,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH al,Service Delivery Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH am,Program Director,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH an,PMO Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ao,Transition Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ap,IT Operations Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aq,Managed Services Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ar,Agile Program Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH as,Scrum Program Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH at,Enterprise Delivery Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH au,Engagement Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH av,Program Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aw,Delivery Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ax,IT Service Delivery Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ay,Senior Project Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH az,Portfolio Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ba,Digital Transformation Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH bb,Client Engagement Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH bc,Account Manager IT,Germany,03-04-2026,Hiring Manager
DSC Software AG a,Service Delivery Lead,Germany,03-04-2026,Hiring Manager
emmtrix Technologies GmbH a,Program Director,Germany,03-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,PMO Lead,Germany,03-04-2026,Hiring Manager
MCC Software Engineering a,Transition Manager,Germany,03-04-2026,Hiring Manager
Jamit Labs GmbH a,IT Operations Manager,Germany,03-04-2026,Hiring Manager
CodeWrights GmbH a,Managed Services Lead,Germany,03-04-2026,Hiring Manager
CodeWrights GmbH b,Agile Program Manager,Germany,03-04-2026,Hiring Manager
n-komm GmbH a,Scrum Program Manager,Germany,03-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,Enterprise Delivery Manager,Germany,03-04-2026,Hiring Manager
Pharmakon Software GmbH a,Engagement Manager,Germany,03-04-2026,Hiring Manager
