company_name,role,country,date,hr_name
Innoface AG a,Food Safety Manager,Germany,03-04-2026,Hiring Manager
Innoface AG b,Quality Assurance Manager,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,QA QC Manager Food Industry,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,Food Safety Auditor,Germany,03-04-2026,Hiring Manager
arconsis a,Compliance Manager Food Industry,Germany,03-04-2026,Hiring Manager
arconsis b,Quality Control Manager,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,FSMS Specialist,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,HACCP Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,Food Quality Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,QA Executive Food Industry,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,Quality Systems Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,Food Safety Compliance Officer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,QA Analyst Food Industry,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH f,Technical Quality Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH g,Food Industry Auditor,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH h,Quality Assurance Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH i,Regulatory Compliance Manager Food,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH j,QA QC Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH k,Food Safety Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH l,Quality Control Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH m,Food Safety Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH n,Quality Assurance Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH o,QA QC Manager Food Industry,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH p,Food Safety Auditor,Germany,03-04-2026,Hiring Manager
