company_name,role,country,date,hr_name
Innoface AG a,IT Support Engineer,Germany,03-04-2026,Hiring Manager
Innoface AG b,Desktop Support Engineer,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,System Administrator,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,Technical Support Engineer,Germany,03-04-2026,Hiring Manager
arconsis a,IT Service Desk Analyst,Germany,03-04-2026,Hiring Manager
arconsis b,Infrastructure Support Engineer,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,L2 Support Engineer,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,Network Support Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,IT Operations Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,End User Support Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,IT Support Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,Desktop Support Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,System Administrator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH f,Technical Support Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH g,IT Service Desk Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH h,Infrastructure Support Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH i,L2 Support Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH j,Network Support Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH k,IT Operations Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH l,End User Support Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH m,IT Support Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH n,Desktop Support Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH o,System Administrator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH p,Technical Support Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH q,IT Service Desk Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH r,Infrastructure Support Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH s,L2 Support Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH t,Network Support Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH u,IT Operations Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH v,End User Support Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH w,IT Support Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH x,Desktop Support Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH y,System Administrator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH z,Technical Support Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aa,IT Service Desk Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ab,Infrastructure Support Engineer,Germany,03-04-2026,Hiring Manager
