company_name,role,country,date,hr_name
Innoface AG a,Data Engineer,Germany,07-04-2026,Hiring Manager
Innoface AG b,Senior Data Engineer,Germany,07-04-2026,Hiring Manager
generic.de software technologies AG a,Big Data Engineer,Germany,07-04-2026,Hiring Manager
generic.de software technologies AG b,ETL Developer,Germany,07-04-2026,Hiring Manager
arconsis a,Data Platform Engineer,Germany,07-04-2026,Hiring Manager
arconsis b,Analytics Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH c,Data Warehouse Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ad,Cloud Data Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ae,AWS Data Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH af,Spark Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ag,PySpark Developer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ah,Data Integration Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ai,Data Pipeline Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH aj,Data Operations Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ak,Data Solutions Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH al,Data Architect Junior,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH am,Databricks Engineer,Germany,07-04-2026,Hiring Manager
emmtrix Technologies GmbH a,Hadoop Engineer,Germany,07-04-2026,Hiring Manager
prenode GmbH a,Data Engineer Analytics,Germany,07-04-2026,Hiring Manager
s.a.x. Software GmbH a,Data Engineering Consultant,Germany,07-04-2026,Hiring Manager
ANALYTICA GmbH a,Data Engineer,Germany,07-04-2026,Hiring Manager
evacon IT-Solution & Consulting GmbH & Co. KG a,Senior Data Engineer,Germany,07-04-2026,Hiring Manager
Unic GmbH a,Big Data Engineer,Germany,07-04-2026,Hiring Manager
Open Experience GmbH a,ETL Developer,Germany,07-04-2026,Hiring Manager
Bee360 a,Data Platform Engineer,Germany,07-04-2026,Hiring Manager
Consiliari GmbH a,Analytics Engineer,Germany,07-04-2026,Hiring Manager
Softwareschneiderei GmbH a,Data Warehouse Engineer,Germany,07-04-2026,Hiring Manager
Compaile Solutions GmbH a,Cloud Data Engineer,Germany,07-04-2026,Hiring Manager
emediagroup GmbH a,AWS Data Engineer,Germany,07-04-2026,Hiring Manager
Codelution GmbH a,Spark Engineer,Germany,07-04-2026,Hiring Manager
Appmond a,PySpark Developer,Germany,07-04-2026,Hiring Manager
Navigate AG a,Data Integration Engineer,Germany,07-04-2026,Hiring Manager
cluetec GmbH a,Data Pipeline Engineer,Germany,07-04-2026,Hiring Manager
cluetec GmbH b,Data Operations Engineer,Germany,07-04-2026,Hiring Manager
