company_name,role,country,date,hr_name
Innoface AG a,Frontend Engineer,Germany,03-04-2026,Hiring Manager
Innoface AG b,Frontend Developer,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,React Developer,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,UI Engineer,Germany,03-04-2026,Hiring Manager
arconsis a,Web Developer,Germany,03-04-2026,Hiring Manager
arconsis b,Senior Frontend Developer,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,JavaScript Developer,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,UI/UX Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,Software Engineer (Frontend),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,SPA Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,Frontend Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,React Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH f,UI Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH g,Web Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH h,Senior Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH i,JavaScript Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH j,UI/UX Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH k,Software Engineer (Frontend),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH l,SPA Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH m,Frontend Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH n,Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH o,React Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH p,UI Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH q,Web Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH r,Senior Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH s,JavaScript Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH t,UI/UX Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH u,Software Engineer (Frontend),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH v,SPA Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH w,Frontend Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH x,Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH y,React Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH z,UI Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aa,Web Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ab,Senior Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ac,JavaScript Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ad,UI/UX Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ae,Software Engineer (Frontend),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH af,SPA Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ag,Frontend Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ah,Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ai,React Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aj,UI Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ak,Web Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH al,Senior Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH am,JavaScript Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH an,UI/UX Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ao,Software Engineer (Frontend),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ap,SPA Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aq,Frontend Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ar,Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH as,React Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH at,UI Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH au,Web Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH av,Senior Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aw,JavaScript Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ax,UI/UX Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ay,Software Engineer (Frontend),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH az,SPA Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ba,Frontend Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH bb,Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH bc,React Developer,Germany,03-04-2026,Hiring Manager
DSC Software AG a,UI Engineer,Germany,03-04-2026,Hiring Manager
emmtrix Technologies GmbH a,Web Developer,Germany,03-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,Senior Frontend Developer,Germany,03-04-2026,Hiring Manager
MCC Software Engineering a,JavaScript Developer,Germany,03-04-2026,Hiring Manager
Jamit Labs GmbH a,UI/UX Developer,Germany,03-04-2026,Hiring Manager
CodeWrights GmbH a,Software Engineer (Frontend),Germany,03-04-2026,Hiring Manager
CodeWrights GmbH b,SPA Developer,Germany,03-04-2026,Hiring Manager
n-komm GmbH a,Frontend Engineer,Germany,03-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,Frontend Developer,Germany,03-04-2026,Hiring Manager
