company_name,role,country,date,hr_name
Innoface AG a,SAP VIM Consultant,Germany,03-04-2026,Hiring Manager
Innoface AG b,SAP OpenText VIM Consultant,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,SAP FICO Consultant,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,SAP FI Consultant,Germany,03-04-2026,Hiring Manager
arconsis a,SAP Finance Functional Consultant,Germany,03-04-2026,Hiring Manager
arconsis b,SAP Application Support Consultant,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,SAP S/4HANA Finance Consultant,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,Invoice-to-Pay Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,Accounts Payable SAP Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,SAP Finance Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,SAP Support Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,SAP Functional Consultant FI/CO,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,SAP Invoice Processing Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH f,SAP Finance Transformation Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH g,SAP ERP Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH h,SAP VIM Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH i,SAP OpenText VIM Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH j,SAP FICO Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH k,SAP FI Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH l,SAP Finance Functional Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH m,SAP Application Support Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH n,SAP S/4HANA Finance Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH o,Invoice-to-Pay Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH p,Accounts Payable SAP Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH q,SAP Finance Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH r,SAP Support Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH s,SAP Functional Consultant FI/CO,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH t,SAP Invoice Processing Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH u,SAP Finance Transformation Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH v,SAP ERP Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH w,SAP VIM Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH x,SAP OpenText VIM Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH y,SAP FICO Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH z,SAP FI Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aa,SAP Finance Functional Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ab,SAP Application Support Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ac,SAP S/4HANA Finance Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ad,Invoice-to-Pay Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ae,Accounts Payable SAP Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH af,SAP Finance Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ag,SAP Support Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ah,SAP Functional Consultant FI/CO,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ai,SAP Invoice Processing Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aj,SAP Finance Transformation Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ak,SAP ERP Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH al,SAP VIM Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH am,SAP OpenText VIM Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH an,SAP FICO Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ao,SAP FI Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ap,SAP Finance Functional Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aq,SAP Application Support Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ar,SAP S/4HANA Finance Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH as,Invoice-to-Pay Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH at,Accounts Payable SAP Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH au,SAP Finance Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH av,SAP Support Lead,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aw,SAP Functional Consultant FI/CO,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ax,SAP Invoice Processing Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ay,SAP Finance Transformation Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH az,SAP ERP Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ba,SAP VIM Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH bb,SAP OpenText VIM Consultant,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH bc,SAP FICO Consultant,Germany,03-04-2026,Hiring Manager
DSC Software AG a,SAP FI Consultant,Germany,03-04-2026,Hiring Manager
emmtrix Technologies GmbH a,SAP Finance Functional Consultant,Germany,03-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,SAP Application Support Consultant,Germany,03-04-2026,Hiring Manager
MCC Software Engineering a,SAP S/4HANA Finance Consultant,Germany,03-04-2026,Hiring Manager
Jamit Labs GmbH a,Invoice-to-Pay Consultant,Germany,03-04-2026,Hiring Manager
CodeWrights GmbH a,Accounts Payable SAP Consultant,Germany,03-04-2026,Hiring Manager
CodeWrights GmbH b,SAP Finance Analyst,Germany,03-04-2026,Hiring Manager
n-komm GmbH a,SAP Support Lead,Germany,03-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,SAP Functional Consultant FI/CO,Germany,03-04-2026,Hiring Manager
Pharmakon Software GmbH a,SAP Invoice Processing Specialist,Germany,03-04-2026,Hiring Manager
awesome information technology GmbH a,SAP Finance Transformation Consultant,Germany,03-04-2026,Hiring Manager
DATEX Software GmbH a,SAP ERP Consultant,Germany,03-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH a,SAP VIM Consultant,Germany,03-04-2026,Hiring Manager
