company_name,role,country,date,hr_name
Mighty Engineering GmbH,Production Engineer,Germany,07-04-2026,Hiring Manager
VBE BERLIN-MECHANIK GMBH,Manufacturing Engineer,Germany,07-04-2026,Hiring Manager
gbc engineers GmbH,Mechanical Engineer,Germany,07-04-2026,Hiring Manager
BMW Group Werk Berlin - BMW Motorradwerk - Business Unit 01,Process Engineer,Germany,07-04-2026,Hiring Manager
BMW Group Werk Berlin - BMW Motorradwerk - Business Unit 02,Industrial Engineer,Germany,07-04-2026,Hiring Manager
Auto Tissue Berlin GmbH,Operations Engineer,Germany,07-04-2026,Hiring Manager
Vektor Engineering GmbH - Business Unit 03,Production Supervisor,Germany,07-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 12",Quality Engineer,Germany,07-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 13",Maintenance Engineer,Germany,07-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 14",Plant Engineer,Germany,07-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 15",Production Engineer,Germany,07-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 17",Mechanical Engineer,Germany,07-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 18",Process Engineer,Germany,07-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 19",Industrial Engineer,Germany,07-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 20",Operations Engineer,Germany,07-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 21",Production Supervisor,Germany,07-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 80",Quality Engineer,Germany,07-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 81",Maintenance Engineer,Germany,07-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 82",Plant Engineer,Germany,07-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 83",Production Engineer,Germany,07-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 84",Manufacturing Engineer,Germany,07-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 85",Mechanical Engineer,Germany,07-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 86",Process Engineer,Germany,07-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 87",Industrial Engineer,Germany,07-04-2026,Hiring Manager
hpc - High Precision Components Witten GmbH,Operations Engineer,Germany,07-04-2026,Hiring Manager
KHS GmbH,Production Supervisor,Germany,07-04-2026,Hiring Manager
VEI Engineering GmbH,Quality Engineer,Germany,07-04-2026,Hiring Manager
FERCHAU GmbH - Business Unit 01,Maintenance Engineer,Germany,07-04-2026,Hiring Manager
FERCHAU GmbH - Business Unit 02,Plant Engineer,Germany,07-04-2026,Hiring Manager
FERCHAU GmbH - Business Unit 03,Production Engineer,Germany,07-04-2026,Hiring Manager
FERCHAU GmbH - Business Unit 04,Manufacturing Engineer,Germany,07-04-2026,Hiring Manager
Kfz Gutachter Dortmund - Stern GmbH - Ingenieurbuero fur Fahrzeugtechnik,Mechanical Engineer,Germany,07-04-2026,Hiring Manager
Fluidsysteme Dasbeck GmbH,Process Engineer,Germany,07-04-2026,Hiring Manager
IPS Engineers GmbH,Industrial Engineer,Germany,07-04-2026,Hiring Manager
DEKRA Automobil GmbH Dortmund branch - Business Unit 01,Operations Engineer,Germany,07-04-2026,Hiring Manager
DEKRA Automobil GmbH Dortmund branch - Business Unit 02,Production Supervisor,Germany,07-04-2026,Hiring Manager
DEKRA Automobil GmbH Dortmund branch - Business Unit 03,Quality Engineer,Germany,07-04-2026,Hiring Manager
DEKRA Automobil GmbH Dortmund branch - Business Unit 04,Maintenance Engineer,Germany,07-04-2026,Hiring Manager
DEKRA Automobil GmbH Dortmund branch - Business Unit 05,Plant Engineer,Germany,07-04-2026,Hiring Manager
DEKRA Automobil GmbH Dortmund branch - Business Unit 06,Production Engineer,Germany,07-04-2026,Hiring Manager
DEKRA Automobil GmbH Dortmund branch - Business Unit 07,Manufacturing Engineer,Germany,07-04-2026,Hiring Manager
STILL Hauptniederlassung Dortmund,Mechanical Engineer,Germany,07-04-2026,Hiring Manager
CARGUARD Technologies GmbH,Process Engineer,Germany,07-04-2026,Hiring Manager
thyssenkrupp nucera AG & Co. KGaA - Business Unit 01,Industrial Engineer,Germany,07-04-2026,Hiring Manager
thyssenkrupp nucera AG & Co. KGaA - Business Unit 02,Operations Engineer,Germany,07-04-2026,Hiring Manager
thyssenkrupp nucera AG & Co. KGaA - Business Unit 03,Production Supervisor,Germany,07-04-2026,Hiring Manager
thyssenkrupp nucera AG & Co. KGaA - Business Unit 04,Quality Engineer,Germany,07-04-2026,Hiring Manager
thyssenkrupp nucera AG & Co. KGaA - Business Unit 05,Maintenance Engineer,Germany,07-04-2026,Hiring Manager
thyssenkrupp nucera AG & Co. KGaA - Business Unit 06,Plant Engineer,Germany,07-04-2026,Hiring Manager
thyssenkrupp nucera AG & Co. KGaA - Business Unit 07,Production Engineer,Germany,07-04-2026,Hiring Manager
TUeV NORD Kfz-Pruefstelle Dortmund-Lindenhorst (Ing.-und Sachverstaendigenbuero MA),Manufacturing Engineer,Germany,07-04-2026,Hiring Manager
BG Engineering GmbH,Mechanical Engineer,Germany,07-04-2026,Hiring Manager
GfTD GmbH,Industrial Engineer,Germany,07-04-2026,Hiring Manager
Fraunhofer-Institut fuer Materialfluss und Logistik IML,Operations Engineer,Germany,07-04-2026,Hiring Manager
Ingenieur- & Kfz-Sachverstaendigenbuero Akman,Production Supervisor,Germany,07-04-2026,Hiring Manager
Holtstraeter Transporte GmbH - Business Unit 01,Quality Engineer,Germany,07-04-2026,Hiring Manager
Holtstraeter Transporte GmbH - Business Unit 02,Maintenance Engineer,Germany,07-04-2026,Hiring Manager
auteon GmbH,Plant Engineer,Germany,07-04-2026,Hiring Manager
Maxtrusion - Business Unit 01,Production Engineer,Germany,07-04-2026,Hiring Manager
Maxtrusion - Business Unit 02,Manufacturing Engineer,Germany,07-04-2026,Hiring Manager
ROTINGER,Mechanical Engineer,Germany,07-04-2026,Hiring Manager
TEICON Engineering GmbH - Business Unit 01,Process Engineer,Germany,07-04-2026,Hiring Manager
TEICON Engineering GmbH - Business Unit 02,Industrial Engineer,Germany,07-04-2026,Hiring Manager
GPKO Engineering,Operations Engineer,Germany,07-04-2026,Hiring Manager
Autotec Ingenieurbuero Kfz Gutachter Frankfurt/ Kfz Sachversaendige,Production Supervisor,Germany,07-04-2026,Hiring Manager
Eisenbarth Engineering,Quality Engineer,Germany,07-04-2026,Hiring Manager
SEAMO Engineering GmbH,Maintenance Engineer,Germany,07-04-2026,Hiring Manager
Machinex GmbH,Plant Engineer,Germany,07-04-2026,Hiring Manager
FLG Automation AG,Production Engineer,Germany,07-04-2026,Hiring Manager
Hyundai AutoEver Europe GmbH - Business Unit 01,Manufacturing Engineer,Germany,07-04-2026,Hiring Manager
Hyundai AutoEver Europe GmbH - Business Unit 02,Mechanical Engineer,Germany,07-04-2026,Hiring Manager
Hyundai AutoEver Europe GmbH - Business Unit 03,Process Engineer,Germany,07-04-2026,Hiring Manager
Hyundai AutoEver Europe GmbH - Business Unit 04,Industrial Engineer,Germany,07-04-2026,Hiring Manager
Hyundai AutoEver Europe GmbH - Business Unit 05,Operations Engineer,Germany,07-04-2026,Hiring Manager
Hyundai AutoEver Europe GmbH - Business Unit 06,Production Supervisor,Germany,07-04-2026,Hiring Manager
Hyundai AutoEver Europe GmbH - Business Unit 07,Quality Engineer,Germany,07-04-2026,Hiring Manager
Eisele AG Crane & Engineering Group - Business Unit 02,Plant Engineer,Germany,07-04-2026,Hiring Manager
Elektron Motors - Business Unit 01,Production Engineer,Germany,07-04-2026,Hiring Manager
Elektron Motors - Business Unit 02,Manufacturing Engineer,Germany,07-04-2026,Hiring Manager
ASZ GmbH,Mechanical Engineer,Germany,07-04-2026,Hiring Manager
ELBE Gelenkwellen-Service GmbH,Process Engineer,Germany,07-04-2026,Hiring Manager
Peter Mueller Motorenbau GmbH,Industrial Engineer,Germany,07-04-2026,Hiring Manager
M2M Engineering GmbH,Operations Engineer,Germany,07-04-2026,Hiring Manager
ELFIN Engineering & Solutions GmbH - Business Unit 01,Production Supervisor,Germany,07-04-2026,Hiring Manager
ELFIN Engineering & Solutions GmbH - Business Unit 02,Quality Engineer,Germany,07-04-2026,Hiring Manager
OTR-Performance GmbH,Maintenance Engineer,Germany,07-04-2026,Hiring Manager
LyondellBasell - Business Unit 01,Plant Engineer,Germany,07-04-2026,Hiring Manager
LyondellBasell - Business Unit 02,Production Engineer,Germany,07-04-2026,Hiring Manager
SBD Automotive Germany GmbH,Manufacturing Engineer,Germany,07-04-2026,Hiring Manager
RheinGefahren - KFZ Gutachter- und Sachverstaendigenzentrale Koeln,Mechanical Engineer,Germany,07-04-2026,Hiring Manager
GTUe -Pruefstelle Koeln - Ingenieurbuero Scherschel - Sachverstaendiger Kfz,Process Engineer,Germany,07-04-2026,Hiring Manager
Gold Engineering GmbH - Business Unit 01,Industrial Engineer,Germany,07-04-2026,Hiring Manager
Gold Engineering GmbH - Business Unit 02,Operations Engineer,Germany,07-04-2026,Hiring Manager
Gold Engineering GmbH - Business Unit 03,Production Supervisor,Germany,07-04-2026,Hiring Manager
Gold Engineering GmbH - Business Unit 04,Quality Engineer,Germany,07-04-2026,Hiring Manager
HEG Engineering GmbH - Business Unit 01,Maintenance Engineer,Germany,07-04-2026,Hiring Manager
HEG Engineering GmbH - Business Unit 02,Plant Engineer,Germany,07-04-2026,Hiring Manager
