company_name,role,country,date,hr_name
Innoface AG a,Automotive Test Engineer,Germany,03-04-2026,Hiring Manager
Innoface AG b,Software Test Engineer (Automotive),Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,System Validation Engineer,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,V&V Engineer,Germany,03-04-2026,Hiring Manager
arconsis a,Functional Safety Engineer,Germany,03-04-2026,Hiring Manager
arconsis b,HIL Testing Engineer,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,Embedded Test Engineer,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,Automotive Software Engineer (Testing),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,Systems Test Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,EV Systems Validation Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,Automotive Test Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,Software Test Engineer (Automotive),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,System Validation Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH f,V&V Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH g,Functional Safety Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH h,HIL Testing Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH i,Embedded Test Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH j,Automotive Software Engineer (Testing),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH k,Systems Test Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH l,EV Systems Validation Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH m,Automotive Test Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH n,Software Test Engineer (Automotive),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH o,System Validation Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH p,V&V Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH q,Functional Safety Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH r,HIL Testing Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH s,Embedded Test Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH t,Automotive Software Engineer (Testing),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH u,Systems Test Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH v,EV Systems Validation Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH w,Automotive Test Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH x,Software Test Engineer (Automotive),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH y,System Validation Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH z,V&V Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aa,Functional Safety Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ab,HIL Testing Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ac,Embedded Test Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ad,Automotive Software Engineer (Testing),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ae,Systems Test Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH af,EV Systems Validation Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ag,Automotive Test Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ah,Software Test Engineer (Automotive),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ai,System Validation Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aj,V&V Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ak,Functional Safety Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH al,HIL Testing Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH am,Embedded Test Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH an,Automotive Software Engineer (Testing),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ao,Systems Test Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ap,EV Systems Validation Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aq,Automotive Test Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ar,Software Test Engineer (Automotive),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH as,System Validation Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH at,V&V Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH au,Functional Safety Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH av,HIL Testing Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aw,Embedded Test Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ax,Automotive Software Engineer (Testing),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ay,Systems Test Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH az,EV Systems Validation Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ba,Automotive Test Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH bb,Software Test Engineer (Automotive),Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH bc,System Validation Engineer,Germany,03-04-2026,Hiring Manager
DSC Software AG a,V&V Engineer,Germany,03-04-2026,Hiring Manager
emmtrix Technologies GmbH a,Functional Safety Engineer,Germany,03-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,HIL Testing Engineer,Germany,03-04-2026,Hiring Manager
MCC Software Engineering a,Embedded Test Engineer,Germany,03-04-2026,Hiring Manager
Jamit Labs GmbH a,Automotive Software Engineer (Testing),Germany,03-04-2026,Hiring Manager
CodeWrights GmbH a,Systems Test Engineer,Germany,03-04-2026,Hiring Manager
CodeWrights GmbH b,EV Systems Validation Engineer,Germany,03-04-2026,Hiring Manager
n-komm GmbH a,Automotive Test Engineer,Germany,03-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,Software Test Engineer (Automotive),Germany,03-04-2026,Hiring Manager
Pharmakon Software GmbH a,System Validation Engineer,Germany,03-04-2026,Hiring Manager
awesome information technology GmbH a,V&V Engineer,Germany,03-04-2026,Hiring Manager
DATEX Software GmbH a,Functional Safety Engineer,Germany,03-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH a,HIL Testing Engineer,Germany,03-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH b,Embedded Test Engineer,Germany,03-04-2026,Hiring Manager
ITstrategen GmbH a,Automotive Software Engineer (Testing),Germany,03-04-2026,Hiring Manager
ITstrategen GmbH b,Systems Test Engineer,Germany,03-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH a,EV Systems Validation Engineer,Germany,03-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH b,Automotive Test Engineer,Germany,03-04-2026,Hiring Manager
BTS Technische Software GmbH a,Software Test Engineer (Automotive),Germany,03-04-2026,Hiring Manager
adesso SE a,System Validation Engineer,Germany,03-04-2026,Hiring Manager
adesso SE b,V&V Engineer,Germany,03-04-2026,Hiring Manager
Forterro Deutschland Abas GmbH a,Functional Safety Engineer,Germany,03-04-2026,Hiring Manager
KENBUN IT AG a,HIL Testing Engineer,Germany,03-04-2026,Hiring Manager
Tooltec IT GmbH a,Embedded Test Engineer,Germany,03-04-2026,Hiring Manager
InterConnect GmbH & Co. KG a,Automotive Software Engineer (Testing),Germany,03-04-2026,Hiring Manager
Asseco Solutions Hauptsitz / Niederlassung Karlsruhe a,Systems Test Engineer,Germany,03-04-2026,Hiring Manager
Asseco Solutions Hauptsitz / Niederlassung Karlsruhe b,EV Systems Validation Engineer,Germany,03-04-2026,Hiring Manager
Nesto Software GmbH a,Automotive Test Engineer,Germany,03-04-2026,Hiring Manager
PowMio GmbH a,Software Test Engineer (Automotive),Germany,03-04-2026,Hiring Manager
AUNOVIS GmbH a,System Validation Engineer,Germany,03-04-2026,Hiring Manager
movisens GmbH a,V&V Engineer,Germany,03-04-2026,Hiring Manager
movisens GmbH b,Functional Safety Engineer,Germany,03-04-2026,Hiring Manager
ACT Smartware GmbH a,HIL Testing Engineer,Germany,03-04-2026,Hiring Manager
CAOS Computersoftware für Anwendungs-Orientierte Systeme GmbH a,Embedded Test Engineer,Germany,03-04-2026,Hiring Manager
Retis GmbH & Co. KG a,Automotive Software Engineer (Testing),Germany,03-04-2026,Hiring Manager
NETSYNO Software GmbH a,Systems Test Engineer,Germany,03-04-2026,Hiring Manager
Internext GmbH Innovative IT-Lösungen a,EV Systems Validation Engineer,Germany,03-04-2026,Hiring Manager
