company_name,role,country,date,hr_name
Innoface AG a,Branch Manager,Germany,03-04-2026,Hiring Manager
Innoface AG b,Assistant Branch Manager,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,Retail Banking Officer,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,Relationship Manager Banking,Germany,03-04-2026,Hiring Manager
arconsis a,Credit Analyst,Germany,03-04-2026,Hiring Manager
arconsis b,Loan Officer,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,Banking Operations Manager,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,Customer Relationship Manager Banking,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,Credit Risk Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,Banking Service Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,Financial Services Associate,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,Lending Officer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,SME Banking Officer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH f,Portfolio Manager Banking,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH g,Compliance Officer Banking,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH h,Branch Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH i,Assistant Branch Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH j,Retail Banking Officer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH k,Relationship Manager Banking,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH l,Credit Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH m,Loan Officer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH n,Banking Operations Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH o,Customer Relationship Manager Banking,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH p,Credit Risk Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH q,Banking Service Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH r,Financial Services Associate,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH s,Lending Officer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH t,SME Banking Officer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH u,Portfolio Manager Banking,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH v,Compliance Officer Banking,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH w,Branch Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH x,Assistant Branch Manager,Germany,03-04-2026,Hiring Manager
