company_name,role,country,date,hr_name
Innoface AG a,IT Service Delivery Manager,Germany,07-04-2026,Hiring Manager
Innoface AG b,Project Manager IT,Germany,07-04-2026,Hiring Manager
generic.de software technologies AG a,Program Manager,Germany,07-04-2026,Hiring Manager
generic.de software technologies AG b,IT Operations Manager,Germany,07-04-2026,Hiring Manager
arconsis a,Service Delivery Lead,Germany,07-04-2026,Hiring Manager
arconsis b,Technical Project Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH z,ITSM Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH aa,Transition Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ab,Infrastructure Project Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ac,Delivery Excellence Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ad,IT Service Delivery Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ae,Project Manager IT,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH af,Program Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ag,IT Operations Manager,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ah,Service Delivery Lead,Germany,07-04-2026,Hiring Manager
Internext GmbH Innovative IT-Lösungen a,Technical Project Manager,Germany,07-04-2026,Hiring Manager
prenode GmbH a,ITSM Manager,Germany,07-04-2026,Hiring Manager
s.a.x. Software GmbH a,Transition Manager,Germany,07-04-2026,Hiring Manager
ANALYTICA GmbH a,Infrastructure Project Manager,Germany,07-04-2026,Hiring Manager
evacon IT-Solution & Consulting GmbH & Co. KG a,Delivery Excellence Manager,Germany,07-04-2026,Hiring Manager
Unic GmbH a,IT Service Delivery Manager,Germany,07-04-2026,Hiring Manager
Open Experience GmbH a,Project Manager IT,Germany,07-04-2026,Hiring Manager
Bee360 a,Program Manager,Germany,07-04-2026,Hiring Manager
Consiliari GmbH a,IT Operations Manager,Germany,07-04-2026,Hiring Manager
Softwareschneiderei GmbH a,Service Delivery Lead,Germany,07-04-2026,Hiring Manager
Compaile Solutions GmbH a,Technical Project Manager,Germany,07-04-2026,Hiring Manager
emediagroup GmbH a,ITSM Manager,Germany,07-04-2026,Hiring Manager
Codelution GmbH a,Transition Manager,Germany,07-04-2026,Hiring Manager
Appmond a,Infrastructure Project Manager,Germany,07-04-2026,Hiring Manager
Navigate AG a,Delivery Excellence Manager,Germany,07-04-2026,Hiring Manager
cluetec GmbH a,IT Service Delivery Manager,Germany,07-04-2026,Hiring Manager
cluetec GmbH b,Project Manager IT,Germany,07-04-2026,Hiring Manager
MegaPart GmbH - IT-Projekte und Engineering-Projekte Karlsruhe a,Program Manager,Germany,07-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH a,IT Operations Manager,Germany,07-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH b,Service Delivery Lead,Germany,07-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH a,Technical Project Manager,Germany,07-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH b,ITSM Manager,Germany,07-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH c,Transition Manager,Germany,07-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh a,Infrastructure Project Manager,Germany,07-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh c,IT Service Delivery Manager,Germany,07-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh d,Project Manager IT,Germany,07-04-2026,Hiring Manager
INIT a,Program Manager,Germany,07-04-2026,Hiring Manager
Implement-IT - Apple Premium Partner a,IT Operations Manager,Germany,07-04-2026,Hiring Manager
ILI.DIGITAL AG a,Service Delivery Lead,Germany,07-04-2026,Hiring Manager
Schwenk IT GmbH a,Technical Project Manager,Germany,07-04-2026,Hiring Manager
PRODATA Datenbanken und Informationssysteme GmbH a,ITSM Manager,Germany,07-04-2026,Hiring Manager
NinjaConcept GmbH a,Transition Manager,Germany,07-04-2026,Hiring Manager
Industrial Application Software GmbH a,Infrastructure Project Manager,Germany,07-04-2026,Hiring Manager
ERAB IT-Systems GmbH a,Delivery Excellence Manager,Germany,07-04-2026,Hiring Manager
Bechtle IT-Systemhaus Darmstadt a,IT Service Delivery Manager,Germany,07-04-2026,Hiring Manager
ACCSO - Accelerated Solutions GmbH a,Project Manager IT,Germany,07-04-2026,Hiring Manager
ACCSO - Accelerated Solutions GmbH b,Program Manager,Germany,07-04-2026,Hiring Manager
etalytics GmbH a,IT Operations Manager,Germany,07-04-2026,Hiring Manager
COSOBA GmbH a,Service Delivery Lead,Germany,07-04-2026,Hiring Manager
