company_name,role,country,date,hr_name
Innoface AG a,Production Planning Manager,Germany,03-04-2026,Hiring Manager
Innoface AG b,PPC Manager,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,Planning Manager Manufacturing,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,Supply Chain Planning Manager,Germany,03-04-2026,Hiring Manager
arconsis a,Operations Manager Manufacturing,Germany,03-04-2026,Hiring Manager
arconsis b,Production Scheduler,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,Material Planning Manager,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,MRP Controller,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,Inventory Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,Demand Planning Manager Manufacturing,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,Project Planning Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,Manufacturing Operations Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,Plant Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH f,Capacity Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH g,Supply Chain Analyst Manufacturing,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH h,Production Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH i,PPC Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH j,Planning Manager Manufacturing,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH k,Supply Chain Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH l,Operations Manager Manufacturing,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH m,Production Scheduler,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH n,Material Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH o,MRP Controller,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH p,Inventory Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH q,Demand Planning Manager Manufacturing,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH r,Project Planning Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH s,Manufacturing Operations Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH t,Plant Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH u,Capacity Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH v,Supply Chain Analyst Manufacturing,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH w,Production Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH x,PPC Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH y,Planning Manager Manufacturing,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH z,Supply Chain Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aa,Operations Manager Manufacturing,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ab,Production Scheduler,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ac,Material Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ad,MRP Controller,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ae,Inventory Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH af,Demand Planning Manager Manufacturing,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ag,Project Planning Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ah,Manufacturing Operations Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ai,Plant Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aj,Capacity Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ak,Supply Chain Analyst Manufacturing,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH al,Production Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH am,PPC Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH an,Planning Manager Manufacturing,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ao,Supply Chain Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ap,Operations Manager Manufacturing,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aq,Production Scheduler,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ar,Material Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH as,MRP Controller,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH at,Inventory Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH au,Demand Planning Manager Manufacturing,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH av,Project Planning Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aw,Manufacturing Operations Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ax,Plant Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ay,Capacity Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH az,Supply Chain Analyst Manufacturing,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ba,Production Planning Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH bb,PPC Manager,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH bc,Planning Manager Manufacturing,Germany,03-04-2026,Hiring Manager
DSC Software AG a,Supply Chain Planning Manager,Germany,03-04-2026,Hiring Manager
emmtrix Technologies GmbH a,Operations Manager Manufacturing,Germany,03-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,Production Scheduler,Germany,03-04-2026,Hiring Manager
MCC Software Engineering a,Material Planning Manager,Germany,03-04-2026,Hiring Manager
Jamit Labs GmbH a,MRP Controller,Germany,03-04-2026,Hiring Manager
CodeWrights GmbH a,Inventory Planning Manager,Germany,03-04-2026,Hiring Manager
CodeWrights GmbH b,Demand Planning Manager Manufacturing,Germany,03-04-2026,Hiring Manager
n-komm GmbH a,Project Planning Engineer,Germany,03-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,Manufacturing Operations Manager,Germany,03-04-2026,Hiring Manager
Pharmakon Software GmbH a,Plant Planning Manager,Germany,03-04-2026,Hiring Manager
awesome information technology GmbH a,Capacity Planning Manager,Germany,03-04-2026,Hiring Manager
DATEX Software GmbH a,Supply Chain Analyst Manufacturing,Germany,03-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH a,Production Planning Manager,Germany,03-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH b,PPC Manager,Germany,03-04-2026,Hiring Manager
ITstrategen GmbH a,Planning Manager Manufacturing,Germany,03-04-2026,Hiring Manager
ITstrategen GmbH b,Supply Chain Planning Manager,Germany,03-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH a,Operations Manager Manufacturing,Germany,03-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH b,Production Scheduler,Germany,03-04-2026,Hiring Manager
BTS Technische Software GmbH a,Material Planning Manager,Germany,03-04-2026,Hiring Manager
adesso SE a,MRP Controller,Germany,03-04-2026,Hiring Manager
adesso SE b,Inventory Planning Manager,Germany,03-04-2026,Hiring Manager
Forterro Deutschland Abas GmbH a,Demand Planning Manager Manufacturing,Germany,03-04-2026,Hiring Manager
KENBUN IT AG a,Project Planning Engineer,Germany,03-04-2026,Hiring Manager
Tooltec IT GmbH a,Manufacturing Operations Manager,Germany,03-04-2026,Hiring Manager
InterConnect GmbH & Co. KG a,Plant Planning Manager,Germany,03-04-2026,Hiring Manager
Asseco Solutions Hauptsitz / Niederlassung Karlsruhe a,Capacity Planning Manager,Germany,03-04-2026,Hiring Manager
Asseco Solutions Hauptsitz / Niederlassung Karlsruhe b,Supply Chain Analyst Manufacturing,Germany,03-04-2026,Hiring Manager
Nesto Software GmbH a,Production Planning Manager,Germany,03-04-2026,Hiring Manager
PowMio GmbH a,PPC Manager,Germany,03-04-2026,Hiring Manager
AUNOVIS GmbH a,Planning Manager Manufacturing,Germany,03-04-2026,Hiring Manager
movisens GmbH a,Supply Chain Planning Manager,Germany,03-04-2026,Hiring Manager
movisens GmbH b,Operations Manager Manufacturing,Germany,03-04-2026,Hiring Manager
ACT Smartware GmbH a,Production Scheduler,Germany,03-04-2026,Hiring Manager
CAOS Computersoftware für Anwendungs-Orientierte Systeme GmbH a,Material Planning Manager,Germany,03-04-2026,Hiring Manager
Retis GmbH & Co. KG a,MRP Controller,Germany,03-04-2026,Hiring Manager
NETSYNO Software GmbH a,Inventory Planning Manager,Germany,03-04-2026,Hiring Manager
Internext GmbH Innovative IT-Lösungen a,Demand Planning Manager Manufacturing,Germany,03-04-2026,Hiring Manager
