company_name,role,country,date,hr_name
Innoface AG a,Senior Software Test Engineer,Germany,07-04-2026,Hiring Manager
Innoface AG b,Software Test Manager,Germany,07-04-2026,Hiring Manager
generic.de software technologies AG a,Embedded Software Test Engineer,Germany,07-04-2026,Hiring Manager
generic.de software technologies AG b,Automotive Software Test Engineer,Germany,07-04-2026,Hiring Manager
arconsis a,Validation Engineer,Germany,07-04-2026,Hiring Manager
arconsis b,Verification and Validation Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH b,HIL Testing Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH aa,ECU Testing Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ab,Automotive Validation Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ac,Functional Safety Test Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ad,CAN Diagnostics Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ae,Embedded QA Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH af,Test Automation Engineer (Embedded),Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ag,Automotive Software Quality Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ah,V&V Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ai,Senior Software Test Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH aj,Software Test Manager,Germany,07-04-2026,Hiring Manager
DSC Software AG a,Embedded Software Test Engineer,Germany,07-04-2026,Hiring Manager
prenode GmbH a,Automotive Software Test Engineer,Germany,07-04-2026,Hiring Manager
s.a.x. Software GmbH a,Validation Engineer,Germany,07-04-2026,Hiring Manager
ANALYTICA GmbH a,Verification and Validation Engineer,Germany,07-04-2026,Hiring Manager
evacon IT-Solution & Consulting GmbH & Co. KG a,HIL Testing Engineer,Germany,07-04-2026,Hiring Manager
Unic GmbH a,ECU Testing Engineer,Germany,07-04-2026,Hiring Manager
Open Experience GmbH a,Automotive Validation Engineer,Germany,07-04-2026,Hiring Manager
Bee360 a,Functional Safety Test Engineer,Germany,07-04-2026,Hiring Manager
Consiliari GmbH a,CAN Diagnostics Engineer,Germany,07-04-2026,Hiring Manager
Softwareschneiderei GmbH a,Embedded QA Engineer,Germany,07-04-2026,Hiring Manager
Compaile Solutions GmbH a,Test Automation Engineer (Embedded),Germany,07-04-2026,Hiring Manager
emediagroup GmbH a,Automotive Software Quality Engineer,Germany,07-04-2026,Hiring Manager
Codelution GmbH a,V&V Engineer,Germany,07-04-2026,Hiring Manager
Appmond a,Senior Software Test Engineer,Germany,07-04-2026,Hiring Manager
Navigate AG a,Software Test Manager,Germany,07-04-2026,Hiring Manager
cluetec GmbH a,Embedded Software Test Engineer,Germany,07-04-2026,Hiring Manager
cluetec GmbH b,Automotive Software Test Engineer,Germany,07-04-2026,Hiring Manager
MegaPart GmbH - IT-Projekte und Engineering-Projekte Karlsruhe a,Validation Engineer,Germany,07-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH a,Verification and Validation Engineer,Germany,07-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH b,HIL Testing Engineer,Germany,07-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH a,ECU Testing Engineer,Germany,07-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH b,Automotive Validation Engineer,Germany,07-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH c,Functional Safety Test Engineer,Germany,07-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh a,CAN Diagnostics Engineer,Germany,07-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh c,Test Automation Engineer (Embedded),Germany,07-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh d,Automotive Software Quality Engineer,Germany,07-04-2026,Hiring Manager
INIT a,V&V Engineer,Germany,07-04-2026,Hiring Manager
Implement-IT - Apple Premium Partner a,Senior Software Test Engineer,Germany,07-04-2026,Hiring Manager
ILI.DIGITAL AG a,Software Test Manager,Germany,07-04-2026,Hiring Manager
Schwenk IT GmbH a,Embedded Software Test Engineer,Germany,07-04-2026,Hiring Manager
PRODATA Datenbanken und Informationssysteme GmbH a,Automotive Software Test Engineer,Germany,07-04-2026,Hiring Manager
NinjaConcept GmbH a,Validation Engineer,Germany,07-04-2026,Hiring Manager
Industrial Application Software GmbH a,Verification and Validation Engineer,Germany,07-04-2026,Hiring Manager
ERAB IT-Systems GmbH a,HIL Testing Engineer,Germany,07-04-2026,Hiring Manager
Bechtle IT-Systemhaus Darmstadt a,ECU Testing Engineer,Germany,07-04-2026,Hiring Manager
ACCSO - Accelerated Solutions GmbH a,Automotive Validation Engineer,Germany,07-04-2026,Hiring Manager
ACCSO - Accelerated Solutions GmbH b,Functional Safety Test Engineer,Germany,07-04-2026,Hiring Manager
etalytics GmbH a,CAN Diagnostics Engineer,Germany,07-04-2026,Hiring Manager
COSOBA GmbH a,Embedded QA Engineer,Germany,07-04-2026,Hiring Manager
orquidea GmbH a,Automotive Software Quality Engineer,Germany,07-04-2026,Hiring Manager
orquidea GmbH b,V&V Engineer,Germany,07-04-2026,Hiring Manager
InteRES GmbH a,Senior Software Test Engineer,Germany,07-04-2026,Hiring Manager
reinheimer systemloesungen gmbh a,Software Test Manager,Germany,07-04-2026,Hiring Manager
Infranaut IT-Services GmbH a,Embedded Software Test Engineer,Germany,07-04-2026,Hiring Manager
cosee GmbH a,Automotive Software Test Engineer,Germany,07-04-2026,Hiring Manager
SMART DATA Deutschland GmbH a,Validation Engineer,Germany,07-04-2026,Hiring Manager
SMART DATA Deutschland GmbH b,Verification and Validation Engineer,Germany,07-04-2026,Hiring Manager
Bolinda Labs GmbH a,HIL Testing Engineer,Germany,07-04-2026,Hiring Manager
codecare software GmbH a,ECU Testing Engineer,Germany,07-04-2026,Hiring Manager
NSK GmbH & Co. KG a,Automotive Validation Engineer,Germany,07-04-2026,Hiring Manager
SOFTTAILOR GmbH a,Functional Safety Test Engineer,Germany,07-04-2026,Hiring Manager
blink.it a,CAN Diagnostics Engineer,Germany,07-04-2026,Hiring Manager
blink.it b,Embedded QA Engineer,Germany,07-04-2026,Hiring Manager
basysKom GmbH a,Test Automation Engineer (Embedded),Germany,07-04-2026,Hiring Manager
moguru GmbH a,Automotive Software Quality Engineer,Germany,07-04-2026,Hiring Manager
moguru GmbH b,V&V Engineer,Germany,07-04-2026,Hiring Manager
moguru GmbH c,Senior Software Test Engineer,Germany,07-04-2026,Hiring Manager
projectfacts a,Software Test Manager,Germany,07-04-2026,Hiring Manager
