company_name,role,country,date,hr_name
Innoface AG a,Senior Test Engineer,Germany,07-04-2026,Hiring Manager
Innoface AG b,Software Test Engineer,Germany,07-04-2026,Hiring Manager
generic.de software technologies AG a,QA Engineer,Germany,07-04-2026,Hiring Manager
generic.de software technologies AG b,Automation Test Engineer,Germany,07-04-2026,Hiring Manager
arconsis a,QA Automation Engineer,Germany,07-04-2026,Hiring Manager
arconsis b,SDET,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH c,Manual Test Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH aa,Software Quality Analyst,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ab,Test Analyst,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ac,QA Lead,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ad,Senior Test Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ae,Software Test Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH af,QA Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ag,Automation Test Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ah,QA Automation Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ai,SDET,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH aj,Manual Test Engineer,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ba,Software Quality Analyst,Germany,07-04-2026,Hiring Manager
