company_name,role,country,date,hr_name
Innoface AG a,MIS Analyst,Germany,07-04-2026,Hiring Manager
Innoface AG b,MIS Executive,Germany,07-04-2026,Hiring Manager
generic.de software technologies AG a,Reporting Analyst,Germany,07-04-2026,Hiring Manager
generic.de software technologies AG b,Data Analyst (Excel),Germany,07-04-2026,Hiring Manager
arconsis a,Operations Executive,Germany,07-04-2026,Hiring Manager
arconsis b,Business Operations Analyst,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH c,Administrative Executive,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ac,Back Office Executive,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ad,Process Executive,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ae,Data Coordinator,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH af,Reporting Coordinator,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ag,Sales Operations Analyst,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ah,Claims Analyst,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ai,Insurance Operations Executive,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH aj,Support Analyst,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH ak,Business Support Executive,Germany,07-04-2026,Hiring Manager
Vector Informatik GmbH al,Dashboard Analyst,Germany,07-04-2026,Hiring Manager
prenode GmbH a,Excel Analyst,Germany,07-04-2026,Hiring Manager
s.a.x. Software GmbH a,Office Operations Executive,Germany,07-04-2026,Hiring Manager
ANALYTICA GmbH a,Customer Operations Executive,Germany,07-04-2026,Hiring Manager
evacon IT-Solution & Consulting GmbH & Co. KG a,MIS Analyst,Germany,07-04-2026,Hiring Manager
Unic GmbH a,MIS Executive,Germany,07-04-2026,Hiring Manager
Open Experience GmbH a,Reporting Analyst,Germany,07-04-2026,Hiring Manager
Bee360 a,Data Analyst (Excel),Germany,07-04-2026,Hiring Manager
Consiliari GmbH a,Operations Executive,Germany,07-04-2026,Hiring Manager
Softwareschneiderei GmbH a,Business Operations Analyst,Germany,07-04-2026,Hiring Manager
Compaile Solutions GmbH a,Administrative Executive,Germany,07-04-2026,Hiring Manager
emediagroup GmbH a,Back Office Executive,Germany,07-04-2026,Hiring Manager
Codelution GmbH a,Process Executive,Germany,07-04-2026,Hiring Manager
Appmond a,Data Coordinator,Germany,07-04-2026,Hiring Manager
Navigate AG a,Reporting Coordinator,Germany,07-04-2026,Hiring Manager
cluetec GmbH a,Sales Operations Analyst,Germany,07-04-2026,Hiring Manager
cluetec GmbH b,Claims Analyst,Germany,07-04-2026,Hiring Manager
MegaPart GmbH - IT-Projekte und Engineering-Projekte Karlsruhe a,Insurance Operations Executive,Germany,07-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH a,Support Analyst,Germany,07-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH b,Business Support Executive,Germany,07-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH a,Dashboard Analyst,Germany,07-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH b,Excel Analyst,Germany,07-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH c,Office Operations Executive,Germany,07-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh a,Customer Operations Executive,Germany,07-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh c,MIS Executive,Germany,07-04-2026,Hiring Manager
