company_name,role,country,date,hr_name
BANKINGCLUB GmbH - Office Frankfurt a,Compliance Analyst,Germany,07-04-2026,Hiring Manager
"VakifBank International AG, Wien, Zweigniederlassung Frankfurt am Main a",CDD Analyst,Germany,07-04-2026,Hiring Manager
NIBC Bank N.V. Zweigniederlassung Frankfurt am Main a,EDD Specialist,Germany,07-04-2026,Hiring Manager
tradias GmbH a,KYC Quality Analyst,Germany,07-04-2026,Hiring Manager
a customised modern private bank a,Transaction Monitoring Analyst,Germany,07-04-2026,Hiring Manager
KochBank GmbH Wertpapierhandelsbank a,KYC Analyst,Germany,07-04-2026,Hiring Manager
ARTHOS Corporate Finance GmbH a,AML Analyst,Germany,07-04-2026,Hiring Manager
Münchner Bank eG - Filiale Schwabing a,Financial Crime Analyst,Germany,07-04-2026,Hiring Manager
"Evangelische Bank eG, München a",Compliance Analyst,Germany,07-04-2026,Hiring Manager
"Evangelische Bank eG, München b",CDD Analyst,Germany,07-04-2026,Hiring Manager
a.b.s. Rechenzentrum GmbH a,EDD Specialist,Germany,07-04-2026,Hiring Manager
Hamburgische Investitions- und Förderbank a,KYC Quality Analyst,Germany,07-04-2026,Hiring Manager
Creditplus Bank AG - Filiale Hamburg a,Transaction Monitoring Analyst,Germany,07-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft x,KYC Analyst,Germany,07-04-2026,Hiring Manager
Therium Deutschland GmbH b,AML Analyst,Germany,07-04-2026,Hiring Manager
"DHB Bank N.V., Niederlassung Deutschland a",Financial Crime Analyst,Germany,07-04-2026,Hiring Manager
Rettig & Partner Investment Consulting a,CDD Analyst,Germany,07-04-2026,Hiring Manager
Alpen Privatbank AG a,EDD Specialist,Germany,07-04-2026,Hiring Manager
Alpen Privatbank AG b,KYC Quality Analyst,Germany,07-04-2026,Hiring Manager
Alpen Privatbank AG c,Transaction Monitoring Analyst,Germany,07-04-2026,Hiring Manager
Alpen Privatbank AG d,KYC Analyst,Germany,07-04-2026,Hiring Manager
Alpen Privatbank AG e,AML Analyst,Germany,07-04-2026,Hiring Manager
0711 Finanz | Finanzberater Stuttgart a,Financial Crime Analyst,Germany,07-04-2026,Hiring Manager
Deutsche Bank Filiale a,Compliance Analyst,Germany,07-04-2026,Hiring Manager
Finanzstudio Daniel Heß - Baufinanzierung Stuttgart a,CDD Analyst,Germany,07-04-2026,Hiring Manager
"Deutsche Bank Immobilien Benjamin Nagel-Brückel, selbstständiger Immobilienberater a",EDD Specialist,Germany,07-04-2026,Hiring Manager
"Deutsche Bank Immobilien Benjamin Nagel-Brückel, selbstständiger Immobilienberater b",KYC Quality Analyst,Germany,07-04-2026,Hiring Manager
"Deutsche Bank Immobilien Benjamin Nagel-Brückel, selbstständiger Immobilienberater c",Transaction Monitoring Analyst,Germany,07-04-2026,Hiring Manager
"Deutsche Bank Immobilien Benjamin Nagel-Brückel, selbstständiger Immobilienberater d",KYC Analyst,Germany,07-04-2026,Hiring Manager
"Deutsche Bank Immobilien Benjamin Nagel-Brückel, selbstständiger Immobilienberater e",AML Analyst,Germany,07-04-2026,Hiring Manager
"Deutsche Bank Immobilien Maximilian Pracht, selbstständiger Immobilienberater a",Financial Crime Analyst,Germany,07-04-2026,Hiring Manager
"Deutsche Bank Immobilien Maximilian Pracht, selbstständiger Immobilienberater b",Compliance Analyst,Germany,07-04-2026,Hiring Manager
"Deutsche Bank Immobilien Maximilian Pracht, selbstständiger Immobilienberater c",CDD Analyst,Germany,07-04-2026,Hiring Manager
"Deutsche Bank Immobilien Maximilian Pracht, selbstständiger Immobilienberater d",EDD Specialist,Germany,07-04-2026,Hiring Manager
"Deutsche Bank Immobilien Maximilian Pracht, selbstständiger Immobilienberater e",KYC Quality Analyst,Germany,07-04-2026,Hiring Manager
"Deutsche Bank Immobilien Maximilian Pracht, selbstständiger Immobilienberater f",Transaction Monitoring Analyst,Germany,07-04-2026,Hiring Manager
"Deutsche Bank Immobilien Maximilian Pracht, selbstständiger Immobilienberater g",KYC Analyst,Germany,07-04-2026,Hiring Manager
Safe Lounge GmbH - Ihr Bankschließfach in Stuttgart a,AML Analyst,Germany,07-04-2026,Hiring Manager
Degussa Goldhandel GmbH a,Financial Crime Analyst,Germany,07-04-2026,Hiring Manager
Degussa Goldhandel GmbH b,Compliance Analyst,Germany,07-04-2026,Hiring Manager
"Evangelische Bank eG, Stuttgart a",CDD Analyst,Germany,07-04-2026,Hiring Manager
"Evangelische Bank eG, Stuttgart c",EDD Specialist,Germany,07-04-2026,Hiring Manager
"Evangelische Bank eG, Stuttgart d",KYC Quality Analyst,Germany,07-04-2026,Hiring Manager
schnetz Versicherungs- und Finanzmakler GmbH & Co. KG a,Transaction Monitoring Analyst,Germany,07-04-2026,Hiring Manager
"Deutsche Bank Immobilien Mohamed Abu-Ijheisheh, selbstständiger Immobilienberater a",KYC Analyst,Germany,07-04-2026,Hiring Manager
"Deutsche Bank Immobilien Mohamed Abu-Ijheisheh, selbstständiger Immobilienberater b",AML Analyst,Germany,07-04-2026,Hiring Manager
"Deutsche Bank Immobilien Mohamed Abu-Ijheisheh, selbstständiger Immobilienberater c",Financial Crime Analyst,Germany,07-04-2026,Hiring Manager
"Deutsche Bank Immobilien Mohamed Abu-Ijheisheh, selbstständiger Immobilienberater d",Compliance Analyst,Germany,07-04-2026,Hiring Manager
"Deutsche Bank Immobilien Mohamed Abu-Ijheisheh, selbstständiger Immobilienberater e",CDD Analyst,Germany,07-04-2026,Hiring Manager
Asservato Stuttgart I Filiale Kronprinzstraße 6 a,EDD Specialist,Germany,07-04-2026,Hiring Manager
Asservato Stuttgart I Filiale Kronprinzstraße 6 b,KYC Quality Analyst,Germany,07-04-2026,Hiring Manager
Bankhaus Metzler a,Transaction Monitoring Analyst,Germany,07-04-2026,Hiring Manager
Wilhelmsbau AG a,KYC Analyst,Germany,07-04-2026,Hiring Manager
Activ Bilanz GmbH a,AML Analyst,Germany,07-04-2026,Hiring Manager
KOEHLER GROUP Holding GmbH a,Financial Crime Analyst,Germany,07-04-2026,Hiring Manager
Professional Scientists GmbH & Co. KG a,Compliance Analyst,Germany,07-04-2026,Hiring Manager
Professional Scientists GmbH & Co. KG b,CDD Analyst,Germany,07-04-2026,Hiring Manager
Professional Scientists GmbH & Co. KG c,EDD Specialist,Germany,07-04-2026,Hiring Manager
