company_name,role,country,date,hr_name
Mighty Engineering GmbH,HVAC Design Engineer,Germany,03-04-2026,Hiring Manager
VBE BERLIN-MECHANIK GMBH,Mechanical Design Engineer HVAC,Germany,03-04-2026,Hiring Manager
gbc engineers GmbH,MEP Engineer HVAC,Germany,03-04-2026,Hiring Manager
BMW Group Werk Berlin - BMW Motorradwerk - Business Unit 01,Senior HVAC Engineer,Germany,03-04-2026,Hiring Manager
BMW Group Werk Berlin - BMW Motorradwerk - Business Unit 02,Building Services Engineer,Germany,03-04-2026,Hiring Manager
Auto Tissue Berlin GmbH,Mechanical Engineer HVAC,Germany,03-04-2026,Hiring Manager
HEXAGON Engineering GMBH,HVAC Project Engineer,Germany,03-04-2026,Hiring Manager
Vektor Engineering GmbH - Business Unit 01,HVAC Consultant,Germany,03-04-2026,Hiring Manager
Vektor Engineering GmbH - Business Unit 02,BIM Engineer HVAC,Germany,03-04-2026,Hiring Manager
Vektor Engineering GmbH - Business Unit 03,HVAC Systems Engineer,Germany,03-04-2026,Hiring Manager
YACOUB Automation - Business Unit 01,MEP Design Engineer,Germany,03-04-2026,Hiring Manager
YACOUB Automation - Business Unit 02,Mechanical Services Engineer,Germany,03-04-2026,Hiring Manager
Hako GmbH Niederlassung Berlin,HVAC Planning Engineer,Germany,03-04-2026,Hiring Manager
LeitOn GmbH - Leiterplatten aus Berlin,Energy Efficiency Engineer HVAC,Germany,03-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 01,HVAC Coordination Engineer,Germany,03-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 02,Mechanical Project Engineer HVAC,Germany,03-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 03,HVAC Drafting Engineer,Germany,03-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 04,HVAC Specialist,Germany,03-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 05,HVAC Design Consultant,Germany,03-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 06,Building Mechanical Engineer,Germany,03-04-2026,Hiring Manager
Saab Deutschland GmbH - Business Unit 07,HVAC Design Engineer,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 01",Mechanical Design Engineer HVAC,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 02",MEP Engineer HVAC,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 03",Senior HVAC Engineer,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 04",Building Services Engineer,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 05",Mechanical Engineer HVAC,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 06",HVAC Project Engineer,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 07",HVAC Consultant,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 08",BIM Engineer HVAC,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 09",HVAC Systems Engineer,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 10",MEP Design Engineer,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 11",Mechanical Services Engineer,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 12",HVAC Planning Engineer,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 13",Energy Efficiency Engineer HVAC,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 14",HVAC Coordination Engineer,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 15",Mechanical Project Engineer HVAC,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 16",HVAC Drafting Engineer,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 17",HVAC Specialist,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 18",HVAC Design Consultant,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 19",Building Mechanical Engineer,Germany,03-04-2026,Hiring Manager
"ZF Group, ZF Friedrichshafen AG, Servicestandort Dortmund - Business Unit 20",HVAC Design Engineer,Germany,03-04-2026,Hiring Manager
