company_name,role,country,date,hr_name
Innoface AG a,Frontend Engineer,Germany,03-04-2026,Hiring Manager
Innoface AG b,Frontend Developer,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,React Developer,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,Angular Developer,Germany,03-04-2026,Hiring Manager
arconsis a,UI Engineer,Germany,03-04-2026,Hiring Manager
arconsis b,Web Developer,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,Senior Frontend Developer,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,JavaScript Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,UI/UX Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,SPA Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,Frontend Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,React Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH f,Angular Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH g,UI Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH h,Web Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH i,Senior Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH j,JavaScript Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH k,UI/UX Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH l,SPA Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH m,Frontend Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH n,Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH o,React Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH p,Angular Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH q,UI Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH r,Web Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH s,Senior Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH t,JavaScript Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH u,UI/UX Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH v,SPA Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH w,Frontend Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH x,Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH y,React Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH z,Angular Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aa,UI Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ab,Web Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ac,Senior Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ad,JavaScript Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ae,UI/UX Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH af,SPA Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ag,Frontend Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ah,Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ai,React Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aj,Angular Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ak,UI Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH al,Web Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH am,Senior Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH an,JavaScript Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ao,UI/UX Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ap,SPA Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aq,Frontend Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ar,Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH as,React Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH at,Angular Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH au,UI Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH av,Web Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH aw,Senior Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ax,JavaScript Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ay,UI/UX Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH az,SPA Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH ba,Frontend Engineer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH bb,Frontend Developer,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH bc,React Developer,Germany,03-04-2026,Hiring Manager
DSC Software AG a,Angular Developer,Germany,03-04-2026,Hiring Manager
emmtrix Technologies GmbH a,UI Engineer,Germany,03-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,Web Developer,Germany,03-04-2026,Hiring Manager
MCC Software Engineering a,Senior Frontend Developer,Germany,03-04-2026,Hiring Manager
Jamit Labs GmbH a,JavaScript Developer,Germany,03-04-2026,Hiring Manager
CodeWrights GmbH a,UI/UX Developer,Germany,03-04-2026,Hiring Manager
CodeWrights GmbH b,SPA Developer,Germany,03-04-2026,Hiring Manager
n-komm GmbH a,Frontend Engineer,Germany,03-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,Frontend Developer,Germany,03-04-2026,Hiring Manager
Pharmakon Software GmbH a,React Developer,Germany,03-04-2026,Hiring Manager
