company_name,role,country,date,hr_name
CircuitByte GmbH a,HR Manager,Germany,08-04-2026,Hiring Manager
NP4 Gesellschaft für Netzwerk- und Kommunikationssysteme mbH a,Senior HR Manager,Germany,08-04-2026,Hiring Manager
Lange IT Solutions a,HR Business Partner,Germany,08-04-2026,Hiring Manager
ask - Innovative Visualisierungslösungen GmbH a,People Operations Manager,Germany,08-04-2026,Hiring Manager
InterSystems GmbH a,HR Operations Manager,Germany,08-04-2026,Hiring Manager
PROFI Engineering Systems AG a,Talent Acquisition Manager,Germany,08-04-2026,Hiring Manager
Adiccon GmbH a,HR Generalist,Germany,08-04-2026,Hiring Manager
wer denkt was GmbH a,Employee Relations Manager,Germany,08-04-2026,Hiring Manager
wer denkt was GmbH b,HR Compliance Manager,Germany,08-04-2026,Hiring Manager
wibas GmbH a,Workforce Planning Manager,Germany,08-04-2026,Hiring Manager
wibas GmbH b,HR Analyst,Germany,08-04-2026,Hiring Manager
UMGIS computer science GmbH a,HR Coordinator,Germany,08-04-2026,Hiring Manager
AONIC GmbH a,Learning and Development Manager,Germany,08-04-2026,Hiring Manager
ekom21 - KGRZ Hessen a,HRBP,Germany,08-04-2026,Hiring Manager
code council GmbH a,Human Resources Manager,Germany,08-04-2026,Hiring Manager
nterra integration GmbH a,Payroll Manager,Germany,08-04-2026,Hiring Manager
