company_name,role,country,date,hr_name
Signal7 Gesellschaft für Informationstechnologie mbH b,Customer Support Analyst,Germany,08-04-2026,Hiring Manager
CircuitByte GmbH a,Technical Support Engineer,Germany,08-04-2026,Hiring Manager
NP4 Gesellschaft für Netzwerk- und Kommunikationssysteme mbH a,IT Service Desk Analyst,Germany,08-04-2026,Hiring Manager
Lange IT Solutions a,Application Support Analyst,Germany,08-04-2026,Hiring Manager
ask - Innovative Visualisierungslösungen GmbH a,Helpdesk Engineer,Germany,08-04-2026,Hiring Manager
InterSystems GmbH a,ServiceNow Analyst,Germany,08-04-2026,Hiring Manager
PROFI Engineering Systems AG a,IT Support Specialist,Germany,08-04-2026,Hiring Manager
Adiccon GmbH a,Customer Success Executive,Germany,08-04-2026,Hiring Manager
wer denkt was GmbH a,Support Engineer,Germany,08-04-2026,Hiring Manager
wer denkt was GmbH b,IT Operations Support,Germany,08-04-2026,Hiring Manager
wibas GmbH a,Customer Support Analyst,Germany,08-04-2026,Hiring Manager
wibas GmbH b,Technical Support Engineer,Germany,08-04-2026,Hiring Manager
UMGIS computer science GmbH a,IT Service Desk Analyst,Germany,08-04-2026,Hiring Manager
AONIC GmbH a,Application Support Analyst,Germany,08-04-2026,Hiring Manager
ekom21 - KGRZ Hessen a,Helpdesk Engineer,Germany,08-04-2026,Hiring Manager
code council GmbH a,ServiceNow Analyst,Germany,08-04-2026,Hiring Manager
nterra integration GmbH a,IT Support Specialist,Germany,08-04-2026,Hiring Manager
setis GmbH a,Customer Success Executive,Germany,08-04-2026,Hiring Manager
Communardo GmbH - Büro Darmstadt a,Support Engineer,Germany,08-04-2026,Hiring Manager
teambits a,Technical Support Engineer,Germany,08-04-2026,Hiring Manager
PC-Mentor GmbH - IT-Service in Weiterstadt a,IT Service Desk Analyst,Germany,08-04-2026,Hiring Manager
Future-App a,Application Support Analyst,Germany,08-04-2026,Hiring Manager
Mulan IT Solutions a,Helpdesk Engineer,Germany,08-04-2026,Hiring Manager
PC-Profis Computer GmbH a,ServiceNow Analyst,Germany,08-04-2026,Hiring Manager
IBS Consult a,IT Support Specialist,Germany,08-04-2026,Hiring Manager
IBS Consult b,Customer Success Executive,Germany,08-04-2026,Hiring Manager
ISRA VISION GmbH a,Support Engineer,Germany,08-04-2026,Hiring Manager
Ifos-Privates Institut für Organisationsberatung und Softwareentwicklung GmbH a,IT Operations Support,Germany,08-04-2026,Hiring Manager
eurodata AG - cloudbasierte Softwarelösungen und IT-Services für KMU und Steuerberater a,Customer Support Analyst,Germany,08-04-2026,Hiring Manager
Plan Software GmbH a,Technical Support Engineer,Germany,08-04-2026,Hiring Manager
ZWF IT + Consulting AG a,IT Service Desk Analyst,Germany,08-04-2026,Hiring Manager
EUROKEY Software GmbH a,Application Support Analyst,Germany,08-04-2026,Hiring Manager
EUPASA GmbH IT-Solutions a,Helpdesk Engineer,Germany,08-04-2026,Hiring Manager
inett GmbH - Linux und Open Source Systemhaus a,ServiceNow Analyst,Germany,08-04-2026,Hiring Manager
internett GmbH - Gesellschaft für Informations- und Kommunikationstechnik a,IT Support Specialist,Germany,08-04-2026,Hiring Manager
DIaLOGIKa GmbH a,Customer Success Executive,Germany,08-04-2026,Hiring Manager
detacon GmbH a,Support Engineer,Germany,08-04-2026,Hiring Manager
Is Predict GmbH a,IT Operations Support,Germany,08-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH a,Customer Support Analyst,Germany,08-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH b,Technical Support Engineer,Germany,08-04-2026,Hiring Manager
itechx GmbH a,IT Service Desk Analyst,Germany,08-04-2026,Hiring Manager
iX-tech GmbH a,Application Support Analyst,Germany,08-04-2026,Hiring Manager
IKU GmbH & Co. KG a,Helpdesk Engineer,Germany,08-04-2026,Hiring Manager
Bechtle IT-Systemhaus Saarbrücken a,ServiceNow Analyst,Germany,08-04-2026,Hiring Manager
ADD IT & Consulting GmbH a,IT Support Specialist,Germany,08-04-2026,Hiring Manager
PFPRO IT Services a,Customer Success Executive,Germany,08-04-2026,Hiring Manager
INFOSERVE GmbH a,Support Engineer,Germany,08-04-2026,Hiring Manager
PIKON Deutschland AG a,IT Operations Support,Germany,08-04-2026,Hiring Manager
Eyeled GmbH a,Customer Support Analyst,Germany,08-04-2026,Hiring Manager
merios - it-solutions GmbH a,Technical Support Engineer,Germany,08-04-2026,Hiring Manager
merios - it-solutions GmbH b,IT Service Desk Analyst,Germany,08-04-2026,Hiring Manager
Intex EDV-Software GmbH a,Application Support Analyst,Germany,08-04-2026,Hiring Manager
Moltomedia GmbH a,Helpdesk Engineer,Germany,08-04-2026,Hiring Manager
Site Point GmbH a,ServiceNow Analyst,Germany,08-04-2026,Hiring Manager
Bonanza Software GmbH a,IT Support Specialist,Germany,08-04-2026,Hiring Manager
Basis Europe GmbH a,Customer Success Executive,Germany,08-04-2026,Hiring Manager
Basis Europe GmbH b,Support Engineer,Germany,08-04-2026,Hiring Manager
Basis Europe GmbH c,IT Operations Support,Germany,08-04-2026,Hiring Manager
Basis Europe GmbH d,Customer Support Analyst,Germany,08-04-2026,Hiring Manager
Scheer PAS Deutschland GmbH a,Technical Support Engineer,Germany,08-04-2026,Hiring Manager
dinext. AG a,IT Service Desk Analyst,Germany,08-04-2026,Hiring Manager
optimIT GmbH a,Application Support Analyst,Germany,08-04-2026,Hiring Manager
optimIT GmbH b,Helpdesk Engineer,Germany,08-04-2026,Hiring Manager
optimIT GmbH c,ServiceNow Analyst,Germany,08-04-2026,Hiring Manager
RpDoc Solutions GmbH a,IT Support Specialist,Germany,08-04-2026,Hiring Manager
RealObjects GmbH a,Customer Success Executive,Germany,08-04-2026,Hiring Manager
poslogix GmbH - innovative Kassensysteme a,Support Engineer,Germany,08-04-2026,Hiring Manager
adesso SE c,IT Operations Support,Germany,08-04-2026,Hiring Manager
Wenobis IT GmbH a,Customer Support Analyst,Germany,08-04-2026,Hiring Manager
Talentmore AG a,Technical Support Engineer,Germany,08-04-2026,Hiring Manager
Talentmore AG b,IT Service Desk Analyst,Germany,08-04-2026,Hiring Manager
Talentmore AG c,Application Support Analyst,Germany,08-04-2026,Hiring Manager
peloba GmbH a,Helpdesk Engineer,Germany,08-04-2026,Hiring Manager
