company_name,role,country,date,hr_name
NP4 Gesellschaft für Netzwerk- und Kommunikationssysteme mbH a,IT Service Delivery Manager,Germany,08-04-2026,Hiring Manager
Lange IT Solutions a,Program Manager IT,Germany,08-04-2026,Hiring Manager
teambits a,IT Transformation Lead,Germany,08-04-2026,Hiring Manager
PC-Mentor GmbH - IT-Service in Weiterstadt a,IT Service Delivery Manager,Germany,08-04-2026,Hiring Manager
Future-App a,Program Manager IT,Germany,08-04-2026,Hiring Manager
Mulan IT Solutions a,Delivery Unit Lead,Germany,08-04-2026,Hiring Manager
PC-Profis Computer GmbH a,IT Operations Manager,Germany,08-04-2026,Hiring Manager
IBS Consult a,Product Owner IT,Germany,08-04-2026,Hiring Manager
IBS Consult b,DevOps Program Manager,Germany,08-04-2026,Hiring Manager
ISRA VISION GmbH a,IT Infrastructure Manager,Germany,08-04-2026,Hiring Manager
Ifos-Privates Institut für Organisationsberatung und Softwareentwicklung GmbH a,Service Delivery Director,Germany,08-04-2026,Hiring Manager
eurodata AG - cloudbasierte Softwarelösungen und IT-Services für KMU und Steuerberater a,Technical Program Manager,Germany,08-04-2026,Hiring Manager
Plan Software GmbH a,IT Transformation Lead,Germany,08-04-2026,Hiring Manager
ZWF IT + Consulting AG a,IT Service Delivery Manager,Germany,08-04-2026,Hiring Manager
EUROKEY Software GmbH a,Program Manager IT,Germany,08-04-2026,Hiring Manager
EUPASA GmbH IT-Solutions a,Delivery Unit Lead,Germany,08-04-2026,Hiring Manager
inett GmbH - Linux und Open Source Systemhaus a,IT Operations Manager,Germany,08-04-2026,Hiring Manager
internett GmbH - Gesellschaft für Informations- und Kommunikationstechnik a,Product Owner IT,Germany,08-04-2026,Hiring Manager
DIaLOGIKa GmbH a,DevOps Program Manager,Germany,08-04-2026,Hiring Manager
detacon GmbH a,IT Infrastructure Manager,Germany,08-04-2026,Hiring Manager
Is Predict GmbH a,Service Delivery Director,Germany,08-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH a,Technical Program Manager,Germany,08-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH b,IT Transformation Lead,Germany,08-04-2026,Hiring Manager
itechx GmbH a,IT Service Delivery Manager,Germany,08-04-2026,Hiring Manager
iX-tech GmbH a,Program Manager IT,Germany,08-04-2026,Hiring Manager
Basis Europe GmbH b,IT Infrastructure Manager,Germany,08-04-2026,Hiring Manager
Basis Europe GmbH c,Service Delivery Director,Germany,08-04-2026,Hiring Manager
Basis Europe GmbH d,Technical Program Manager,Germany,08-04-2026,Hiring Manager
Talentmore AG a,IT Transformation Lead,Germany,08-04-2026,Hiring Manager
Talentmore AG b,IT Service Delivery Manager,Germany,08-04-2026,Hiring Manager
Talentmore AG c,Program Manager IT,Germany,08-04-2026,Hiring Manager
peloba GmbH a,Delivery Unit Lead,Germany,08-04-2026,Hiring Manager
ma-x neue Medien & IT Services GmbH a,IT Operations Manager,Germany,08-04-2026,Hiring Manager
web2perform UG (haftungsbeschränkt) a,Product Owner IT,Germany,08-04-2026,Hiring Manager
PREVISIONZ GmbH a,DevOps Program Manager,Germany,08-04-2026,Hiring Manager
Natif.ai a,IT Infrastructure Manager,Germany,08-04-2026,Hiring Manager
Gast Solutions a,Service Delivery Director,Germany,08-04-2026,Hiring Manager
softgarden e-recruiting GmbH a,Technical Program Manager,Germany,08-04-2026,Hiring Manager
Algorithmic Solutions Software GmbH a,IT Transformation Lead,Germany,08-04-2026,Hiring Manager
ARCHIBUS Solution Centers Germany-Saarbrücken GmbH a,IT Service Delivery Manager,Germany,08-04-2026,Hiring Manager
Max Planck Institute for Software Systems a,Program Manager IT,Germany,08-04-2026,Hiring Manager
BSNSoft Solutions GmbH a,Delivery Unit Lead,Germany,08-04-2026,Hiring Manager
IT Netzwerke Kreutzer & Tries GmbH a,IT Operations Manager,Germany,08-04-2026,Hiring Manager
Facility Management Software GIS PROJECT a,Product Owner IT,Germany,08-04-2026,Hiring Manager
MBSol Internet Solutions a,DevOps Program Manager,Germany,08-04-2026,Hiring Manager
e.Consult AG a,IT Infrastructure Manager,Germany,08-04-2026,Hiring Manager
e.Consult AG b,Service Delivery Director,Germany,08-04-2026,Hiring Manager
vensas GmbH a,IT Operations Manager,Germany,08-04-2026,Hiring Manager
TUXGUARD GmbH a,Product Owner IT,Germany,08-04-2026,Hiring Manager
Ambimax® GmbH - OPEN Digitalgruppe a,DevOps Program Manager,Germany,08-04-2026,Hiring Manager
abraxas Software-Entwicklungsgesellschaft mbH a,IT Infrastructure Manager,Germany,08-04-2026,Hiring Manager
K|Lens GmbH a,Service Delivery Director,Germany,08-04-2026,Hiring Manager
aµs advanced microoptic systems gmbh a,Technical Program Manager,Germany,08-04-2026,Hiring Manager
abat+ GmbH a,IT Transformation Lead,Germany,08-04-2026,Hiring Manager
