company_name,role,country,date,hr_name
Signal7 Gesellschaft für Informationstechnologie mbH b,Java Developer,Germany,08-04-2026,Hiring Manager
CircuitByte GmbH a,Backend Developer,Germany,08-04-2026,Hiring Manager
NP4 Gesellschaft für Netzwerk- und Kommunikationssysteme mbH a,Software Engineer,Germany,08-04-2026,Hiring Manager
Lange IT Solutions a,Backend Java Engineer,Germany,08-04-2026,Hiring Manager
ask - Innovative Visualisierungslösungen GmbH a,Spring Boot Developer,Germany,08-04-2026,Hiring Manager
InterSystems GmbH a,Microservices Developer,Germany,08-04-2026,Hiring Manager
PROFI Engineering Systems AG a,API Developer,Germany,08-04-2026,Hiring Manager
Adiccon GmbH a,Software Developer,Germany,08-04-2026,Hiring Manager
wer denkt was GmbH a,Junior Java Developer,Germany,08-04-2026,Hiring Manager
wer denkt was GmbH b,Full Stack Developer (Java),Germany,08-04-2026,Hiring Manager
wibas GmbH a,Application Developer,Germany,08-04-2026,Hiring Manager
wibas GmbH b,Kafka Developer,Germany,08-04-2026,Hiring Manager
UMGIS computer science GmbH a,Cloud Backend Developer,Germany,08-04-2026,Hiring Manager
AONIC GmbH a,REST API Developer,Germany,08-04-2026,Hiring Manager
ekom21 - KGRZ Hessen a,Java Microservices Engineer,Germany,08-04-2026,Hiring Manager
code council GmbH a,Java Developer,Germany,08-04-2026,Hiring Manager
nterra integration GmbH a,Backend Developer,Germany,08-04-2026,Hiring Manager
setis GmbH a,Software Engineer,Germany,08-04-2026,Hiring Manager
Communardo GmbH - Büro Darmstadt a,Backend Java Engineer,Germany,08-04-2026,Hiring Manager
teambits a,API Developer,Germany,08-04-2026,Hiring Manager
PC-Mentor GmbH - IT-Service in Weiterstadt a,Software Developer,Germany,08-04-2026,Hiring Manager
Future-App a,Junior Java Developer,Germany,08-04-2026,Hiring Manager
Mulan IT Solutions a,Full Stack Developer (Java),Germany,08-04-2026,Hiring Manager
PC-Profis Computer GmbH a,Application Developer,Germany,08-04-2026,Hiring Manager
IBS Consult a,Kafka Developer,Germany,08-04-2026,Hiring Manager
IBS Consult b,Cloud Backend Developer,Germany,08-04-2026,Hiring Manager
ISRA VISION GmbH a,REST API Developer,Germany,08-04-2026,Hiring Manager
Ifos-Privates Institut für Organisationsberatung und Softwareentwicklung GmbH a,Java Microservices Engineer,Germany,08-04-2026,Hiring Manager
eurodata AG - cloudbasierte Softwarelösungen und IT-Services für KMU und Steuerberater a,Java Developer,Germany,08-04-2026,Hiring Manager
Plan Software GmbH a,Backend Developer,Germany,08-04-2026,Hiring Manager
ZWF IT + Consulting AG a,Software Engineer,Germany,08-04-2026,Hiring Manager
EUROKEY Software GmbH a,Backend Java Engineer,Germany,08-04-2026,Hiring Manager
EUPASA GmbH IT-Solutions a,Spring Boot Developer,Germany,08-04-2026,Hiring Manager
inett GmbH - Linux und Open Source Systemhaus a,Microservices Developer,Germany,08-04-2026,Hiring Manager
internett GmbH - Gesellschaft für Informations- und Kommunikationstechnik a,API Developer,Germany,08-04-2026,Hiring Manager
DIaLOGIKa GmbH a,Software Developer,Germany,08-04-2026,Hiring Manager
detacon GmbH a,Junior Java Developer,Germany,08-04-2026,Hiring Manager
Is Predict GmbH a,Full Stack Developer (Java),Germany,08-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH a,Application Developer,Germany,08-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH b,Kafka Developer,Germany,08-04-2026,Hiring Manager
itechx GmbH a,Cloud Backend Developer,Germany,08-04-2026,Hiring Manager
iX-tech GmbH a,REST API Developer,Germany,08-04-2026,Hiring Manager
IKU GmbH & Co. KG a,Java Microservices Engineer,Germany,08-04-2026,Hiring Manager
Bechtle IT-Systemhaus Saarbrücken a,Java Developer,Germany,08-04-2026,Hiring Manager
