company_name,role,country,date,hr_name
CircuitByte GmbH a,Enterprise Architect,Germany,08-04-2026,Hiring Manager
NP4 Gesellschaft für Netzwerk- und Kommunikationssysteme mbH a,Solution Architect,Germany,08-04-2026,Hiring Manager
Lange IT Solutions a,Chief Technology Officer,Germany,08-04-2026,Hiring Manager
ask - Innovative Visualisierungslösungen GmbH a,Technical Director,Germany,08-04-2026,Hiring Manager
InterSystems GmbH a,Head of Engineering,Germany,08-04-2026,Hiring Manager
PROFI Engineering Systems AG a,Principal Architect,Germany,08-04-2026,Hiring Manager
Adiccon GmbH a,AI/ML Architect,Germany,08-04-2026,Hiring Manager
wer denkt was GmbH a,Cloud Architect,Germany,08-04-2026,Hiring Manager
wer denkt was GmbH b,Engineering Manager,Germany,08-04-2026,Hiring Manager
wibas GmbH a,SaaS Platform Architect,Germany,08-04-2026,Hiring Manager
wibas GmbH b,Enterprise Architect,Germany,08-04-2026,Hiring Manager
UMGIS computer science GmbH a,Solution Architect,Germany,08-04-2026,Hiring Manager
AONIC GmbH a,Chief Technology Officer,Germany,08-04-2026,Hiring Manager
ekom21 - KGRZ Hessen a,Technical Director,Germany,08-04-2026,Hiring Manager
code council GmbH a,Head of Engineering,Germany,08-04-2026,Hiring Manager
nterra integration GmbH a,Principal Architect,Germany,08-04-2026,Hiring Manager
setis GmbH a,AI/ML Architect,Germany,08-04-2026,Hiring Manager
Communardo GmbH - Büro Darmstadt a,Cloud Architect,Germany,08-04-2026,Hiring Manager
teambits a,Enterprise Architect,Germany,08-04-2026,Hiring Manager
PC-Mentor GmbH - IT-Service in Weiterstadt a,Solution Architect,Germany,08-04-2026,Hiring Manager
Future-App a,Chief Technology Officer,Germany,08-04-2026,Hiring Manager
Mulan IT Solutions a,Technical Director,Germany,08-04-2026,Hiring Manager
PC-Profis Computer GmbH a,Head of Engineering,Germany,08-04-2026,Hiring Manager
IBS Consult a,Principal Architect,Germany,08-04-2026,Hiring Manager
IBS Consult b,AI/ML Architect,Germany,08-04-2026,Hiring Manager
ISRA VISION GmbH a,Cloud Architect,Germany,08-04-2026,Hiring Manager
Ifos-Privates Institut für Organisationsberatung und Softwareentwicklung GmbH a,Engineering Manager,Germany,08-04-2026,Hiring Manager
eurodata AG - cloudbasierte Softwarelösungen und IT-Services für KMU und Steuerberater a,SaaS Platform Architect,Germany,08-04-2026,Hiring Manager
Plan Software GmbH a,Enterprise Architect,Germany,08-04-2026,Hiring Manager
ZWF IT + Consulting AG a,Solution Architect,Germany,08-04-2026,Hiring Manager
EUROKEY Software GmbH a,Chief Technology Officer,Germany,08-04-2026,Hiring Manager
EUPASA GmbH IT-Solutions a,Technical Director,Germany,08-04-2026,Hiring Manager
inett GmbH - Linux und Open Source Systemhaus a,Head of Engineering,Germany,08-04-2026,Hiring Manager
internett GmbH - Gesellschaft für Informations- und Kommunikationstechnik a,Principal Architect,Germany,08-04-2026,Hiring Manager
DIaLOGIKa GmbH a,AI/ML Architect,Germany,08-04-2026,Hiring Manager
detacon GmbH a,Cloud Architect,Germany,08-04-2026,Hiring Manager
Is Predict GmbH a,Engineering Manager,Germany,08-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH a,SaaS Platform Architect,Germany,08-04-2026,Hiring Manager
INSOCAM Software-Entwicklung und computergestützte Automation GmbH b,Enterprise Architect,Germany,08-04-2026,Hiring Manager
itechx GmbH a,Solution Architect,Germany,08-04-2026,Hiring Manager
iX-tech GmbH a,Chief Technology Officer,Germany,08-04-2026,Hiring Manager
IKU GmbH & Co. KG a,Technical Director,Germany,08-04-2026,Hiring Manager
Bechtle IT-Systemhaus Saarbrücken a,Head of Engineering,Germany,08-04-2026,Hiring Manager
ADD IT & Consulting GmbH a,Principal Architect,Germany,08-04-2026,Hiring Manager
PFPRO IT Services a,AI/ML Architect,Germany,08-04-2026,Hiring Manager
INFOSERVE GmbH a,Cloud Architect,Germany,08-04-2026,Hiring Manager
PIKON Deutschland AG a,Engineering Manager,Germany,08-04-2026,Hiring Manager
Eyeled GmbH a,SaaS Platform Architect,Germany,08-04-2026,Hiring Manager
merios - it-solutions GmbH a,Enterprise Architect,Germany,08-04-2026,Hiring Manager
merios - it-solutions GmbH b,Solution Architect,Germany,08-04-2026,Hiring Manager
Intex EDV-Software GmbH a,Chief Technology Officer,Germany,08-04-2026,Hiring Manager
Moltomedia GmbH a,Technical Director,Germany,08-04-2026,Hiring Manager
Site Point GmbH a,Head of Engineering,Germany,08-04-2026,Hiring Manager
Bonanza Software GmbH a,Principal Architect,Germany,08-04-2026,Hiring Manager
Basis Europe GmbH a,AI/ML Architect,Germany,08-04-2026,Hiring Manager
Basis Europe GmbH b,Cloud Architect,Germany,08-04-2026,Hiring Manager
Basis Europe GmbH c,Engineering Manager,Germany,08-04-2026,Hiring Manager
Basis Europe GmbH d,SaaS Platform Architect,Germany,08-04-2026,Hiring Manager
Scheer PAS Deutschland GmbH a,Enterprise Architect,Germany,08-04-2026,Hiring Manager
dinext. AG a,Solution Architect,Germany,08-04-2026,Hiring Manager
optimIT GmbH a,Chief Technology Officer,Germany,08-04-2026,Hiring Manager
optimIT GmbH b,Technical Director,Germany,08-04-2026,Hiring Manager
optimIT GmbH c,Head of Engineering,Germany,08-04-2026,Hiring Manager
RpDoc Solutions GmbH a,Principal Architect,Germany,08-04-2026,Hiring Manager
RealObjects GmbH a,AI/ML Architect,Germany,08-04-2026,Hiring Manager
poslogix GmbH - innovative Kassensysteme a,Cloud Architect,Germany,08-04-2026,Hiring Manager
adesso SE c,Engineering Manager,Germany,08-04-2026,Hiring Manager
Wenobis IT GmbH a,SaaS Platform Architect,Germany,08-04-2026,Hiring Manager
Talentmore AG a,Enterprise Architect,Germany,08-04-2026,Hiring Manager
Talentmore AG b,Solution Architect,Germany,08-04-2026,Hiring Manager
Talentmore AG c,Chief Technology Officer,Germany,08-04-2026,Hiring Manager
peloba GmbH a,Technical Director,Germany,08-04-2026,Hiring Manager
ma-x neue Medien & IT Services GmbH a,Head of Engineering,Germany,08-04-2026,Hiring Manager
web2perform UG (haftungsbeschränkt) a,Principal Architect,Germany,08-04-2026,Hiring Manager
PREVISIONZ GmbH a,AI/ML Architect,Germany,08-04-2026,Hiring Manager
Natif.ai a,Cloud Architect,Germany,08-04-2026,Hiring Manager
Gast Solutions a,Engineering Manager,Germany,08-04-2026,Hiring Manager
softgarden e-recruiting GmbH a,SaaS Platform Architect,Germany,08-04-2026,Hiring Manager
Algorithmic Solutions Software GmbH a,Enterprise Architect,Germany,08-04-2026,Hiring Manager
ARCHIBUS Solution Centers Germany-Saarbrücken GmbH a,Solution Architect,Germany,08-04-2026,Hiring Manager
Max Planck Institute for Software Systems a,Chief Technology Officer,Germany,08-04-2026,Hiring Manager
BSNSoft Solutions GmbH a,Technical Director,Germany,08-04-2026,Hiring Manager
IT Netzwerke Kreutzer & Tries GmbH a,Head of Engineering,Germany,08-04-2026,Hiring Manager
Facility Management Software GIS PROJECT a,Principal Architect,Germany,08-04-2026,Hiring Manager
MBSol Internet Solutions a,AI/ML Architect,Germany,08-04-2026,Hiring Manager
e.Consult AG a,Cloud Architect,Germany,08-04-2026,Hiring Manager
e.Consult AG b,Engineering Manager,Germany,08-04-2026,Hiring Manager
ITMT - IT Media Thomé b,Enterprise Architect,Germany,08-04-2026,Hiring Manager
AGILOS GmbH a,Solution Architect,Germany,08-04-2026,Hiring Manager
3S Technologies GmbH a,Chief Technology Officer,Germany,08-04-2026,Hiring Manager
3S Technologies GmbH b,Technical Director,Germany,08-04-2026,Hiring Manager
vensas GmbH a,Head of Engineering,Germany,08-04-2026,Hiring Manager
TUXGUARD GmbH a,Principal Architect,Germany,08-04-2026,Hiring Manager
Ambimax® GmbH - OPEN Digitalgruppe a,AI/ML Architect,Germany,08-04-2026,Hiring Manager
abraxas Software-Entwicklungsgesellschaft mbH a,Cloud Architect,Germany,08-04-2026,Hiring Manager
K|Lens GmbH a,Engineering Manager,Germany,08-04-2026,Hiring Manager
aµs advanced microoptic systems gmbh a,SaaS Platform Architect,Germany,08-04-2026,Hiring Manager
