company_name,role,country,date,hr_name
G & U Logistics (Germany) GmbH a,Warehouse Operative,Germany,08-04-2026,Hiring Manager
United Wind Logistics GmbH a,Warehouse Associate,Germany,08-04-2026,Hiring Manager
BLG AutoTerminal Hamburg GmbH & Co. KG d,Inventory Controller,Germany,08-04-2026,Hiring Manager
BLG AutoTerminal Hamburg GmbH & Co. KG e,Storekeeper,Germany,08-04-2026,Hiring Manager
BLG AutoTerminal Hamburg GmbH & Co. KG f,Material Handler,Germany,08-04-2026,Hiring Manager
BLG AutoTerminal Hamburg GmbH & Co. KG g,Dispatch Coordinator,Germany,08-04-2026,Hiring Manager
ETS HAMBURG Transport- & Speditionsges. D. Bisping mbH h,Inventory Controller,Germany,08-04-2026,Hiring Manager
ETS HAMBURG Transport- & Speditionsges. D. Bisping mbH i,Storekeeper,Germany,08-04-2026,Hiring Manager
ETS HAMBURG Transport- & Speditionsges. D. Bisping mbH q,Storekeeper,Germany,08-04-2026,Hiring Manager
ETS HAMBURG Transport- & Speditionsges. D. Bisping mbH r,Material Handler,Germany,08-04-2026,Hiring Manager
ETS HAMBURG Transport- & Speditionsges. D. Bisping mbH s,Dispatch Coordinator,Germany,08-04-2026,Hiring Manager
ETS HAMBURG Transport- & Speditionsges. D. Bisping mbH t,Warehouse Operative,Germany,08-04-2026,Hiring Manager
Emex Express - Germany | Air Freight Cargo Frankfurt | Air Cargo a,Storekeeper,Germany,08-04-2026,Hiring Manager
ETL Euro Logistik GmbH a,Material Handler,Germany,08-04-2026,Hiring Manager
CHI Germany Cargo Handling GmbH a,Dispatch Coordinator,Germany,08-04-2026,Hiring Manager
CHI Germany Cargo Handling GmbH b,Warehouse Operative,Germany,08-04-2026,Hiring Manager
CHI Germany Cargo Handling GmbH c,Warehouse Associate,Germany,08-04-2026,Hiring Manager
CHI Germany Cargo Handling GmbH d,Picker Packer,Germany,08-04-2026,Hiring Manager
CHI Germany Cargo Handling GmbH e,Logistics Assistant,Germany,08-04-2026,Hiring Manager
Kesland Freight International a,Inventory Controller,Germany,08-04-2026,Hiring Manager
Kesland Freight International b,Storekeeper,Germany,08-04-2026,Hiring Manager
Kesland Freight International c,Material Handler,Germany,08-04-2026,Hiring Manager
aircargo trucking & handling GmbH a,Dispatch Coordinator,Germany,08-04-2026,Hiring Manager
Cargo Line GmbH & Co. KG a,Warehouse Operative,Germany,08-04-2026,Hiring Manager
BLG AutoTransport GmbH & Co. KG a,Warehouse Associate,Germany,08-04-2026,Hiring Manager
NP Transport & Logistik a,Picker Packer,Germany,08-04-2026,Hiring Manager
M9 Logistics a,Logistics Assistant,Germany,08-04-2026,Hiring Manager
M9 Logistics b,Inventory Controller,Germany,08-04-2026,Hiring Manager
Free Sky Express Internationale Spedition GmbH a,Storekeeper,Germany,08-04-2026,Hiring Manager
LOGISTIC PEOPLE (Deutschland) GmbH a,Material Handler,Germany,08-04-2026,Hiring Manager
Priority Freight Europe GmbH & Co KG a,Dispatch Coordinator,Germany,08-04-2026,Hiring Manager
Frankfurt Logistik a,Warehouse Operative,Germany,08-04-2026,Hiring Manager
Agotrans Air Cargo GmbH Internationale Spedition in Frankfurt a,Warehouse Associate,Germany,08-04-2026,Hiring Manager
Cargonator GmbH a,Logistics Assistant,Germany,08-04-2026,Hiring Manager
Den Hartogh Logistics GmbH a,Storekeeper,Germany,08-04-2026,Hiring Manager
Den Hartogh Logistics GmbH b,Material Handler,Germany,08-04-2026,Hiring Manager
Den Hartogh Logistics GmbH c,Dispatch Coordinator,Germany,08-04-2026,Hiring Manager
Den Hartogh Logistics GmbH d,Warehouse Operative,Germany,08-04-2026,Hiring Manager
Den Hartogh Logistics GmbH e,Warehouse Associate,Germany,08-04-2026,Hiring Manager
