company_name,role,country,date,hr_name
pt express a,Retail Area Manager,Germany,08-04-2026,Hiring Manager
CL Spedition Berlin Transport und Logistik GmbH a,Regional Retail Manager,Germany,08-04-2026,Hiring Manager
sennder Technologies GmbH a,Store Operations Manager,Germany,08-04-2026,Hiring Manager
sennder Technologies GmbH b,Area Sales Manager (Retail),Germany,08-04-2026,Hiring Manager
GOL Global Overnight Logistic GmbH a,Retail Operations Manager,Germany,08-04-2026,Hiring Manager
Trans-Express Logistic GbR a,District Manager (Retail),Germany,08-04-2026,Hiring Manager
Berliner Express Logistic a,Multi-Store Manager,Germany,08-04-2026,Hiring Manager
SAATKARY CARGO Kurierdienst & Spedition a,Retail Business Manager,Germany,08-04-2026,Hiring Manager
Marathon International Logistics GmbH a,Gebietsleiter (Retail),Germany,08-04-2026,Hiring Manager
We Logistics GmbH a,Retail Area Manager,Germany,08-04-2026,Hiring Manager
Twins Logistics GmbH a,Regional Retail Manager,Germany,08-04-2026,Hiring Manager
CTL Logistics GmbH a,Store Operations Manager,Germany,08-04-2026,Hiring Manager
CTL Logistics GmbH b,Area Sales Manager (Retail),Germany,08-04-2026,Hiring Manager
blue freight service GmbH Berlin a,Retail Operations Manager,Germany,08-04-2026,Hiring Manager
blue freight service GmbH Berlin b,District Manager (Retail),Germany,08-04-2026,Hiring Manager
blue freight service GmbH Berlin c,Multi-Store Manager,Germany,08-04-2026,Hiring Manager
blue freight service GmbH Berlin d,Retail Business Manager,Germany,08-04-2026,Hiring Manager
Sto International Logistics GmbH a,Cluster Manager (Retail),Germany,08-04-2026,Hiring Manager
Haberling GmbH & Co. Int. KG Sped. a,Gebietsleiter (Retail),Germany,08-04-2026,Hiring Manager
KönigTransporte a,Retail Area Manager,Germany,08-04-2026,Hiring Manager
BLG Industrielogistik GmbH & Co. KG a,Regional Retail Manager,Germany,08-04-2026,Hiring Manager
Logistics Alliance Germany a,Store Operations Manager,Germany,08-04-2026,Hiring Manager
secure smart logistics a,Area Sales Manager (Retail),Germany,08-04-2026,Hiring Manager
secure smart logistics b,Retail Operations Manager,Germany,08-04-2026,Hiring Manager
Smoover a,Multi-Store Manager,Germany,08-04-2026,Hiring Manager
Eurobest Umzüge a,Retail Business Manager,Germany,08-04-2026,Hiring Manager
Pax Umzüge Berlin a,Cluster Manager (Retail),Germany,08-04-2026,Hiring Manager
Black Deer Saxony UG a,Gebietsleiter (Retail),Germany,08-04-2026,Hiring Manager
Move to Berlin - Relocation Service & Real Estate GbR a,Retail Area Manager,Germany,08-04-2026,Hiring Manager
Ceylon Logistics a,Regional Retail Manager,Germany,08-04-2026,Hiring Manager
Schindler Umzüge - Umzugsunternehmen Berlin - Umzug Berlin a,Store Operations Manager,Germany,08-04-2026,Hiring Manager
