company_name,role,country,date,hr_name
prenode GmbH a,Field Service Engineer,Germany,04-04-2026,Hiring Manager
s.a.x. Software GmbH a,Senior Field Service Engineer,Germany,04-04-2026,Hiring Manager
ANALYTICA GmbH a,Service Engineer,Germany,04-04-2026,Hiring Manager
evacon IT-Solution & Consulting GmbH & Co. KG a,Instrumentation Engineer,Germany,04-04-2026,Hiring Manager
Unic GmbH a,Application Support Engineer,Germany,04-04-2026,Hiring Manager
Open Experience GmbH a,Technical Support Engineer,Germany,04-04-2026,Hiring Manager
Bee360 a,Laboratory Equipment Engineer,Germany,04-04-2026,Hiring Manager
Consiliari GmbH a,Validation Engineer,Germany,04-04-2026,Hiring Manager
Softwareschneiderei GmbH a,Calibration Engineer,Germany,04-04-2026,Hiring Manager
Compaile Solutions GmbH a,Maintenance Engineer,Germany,04-04-2026,Hiring Manager
emediagroup GmbH a,Field Service Engineer,Germany,04-04-2026,Hiring Manager
Codelution GmbH a,Senior Field Service Engineer,Germany,04-04-2026,Hiring Manager
Appmond a,Service Engineer,Germany,04-04-2026,Hiring Manager
Navigate AG a,Instrumentation Engineer,Germany,04-04-2026,Hiring Manager
cluetec GmbH a,Application Support Engineer,Germany,04-04-2026,Hiring Manager
cluetec GmbH b,Technical Support Engineer,Germany,04-04-2026,Hiring Manager
MegaPart GmbH - IT-Projekte und Engineering-Projekte Karlsruhe a,Laboratory Equipment Engineer,Germany,04-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH a,Validation Engineer,Germany,04-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH b,Calibration Engineer,Germany,04-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH a,Maintenance Engineer,Germany,04-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH b,Field Service Engineer,Germany,04-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH c,Senior Field Service Engineer,Germany,04-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh a,Service Engineer,Germany,04-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh b,Instrumentation Engineer,Germany,04-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh c,Application Support Engineer,Germany,04-04-2026,Hiring Manager
Cinetic Internet Systemhaus Gmbh d,Technical Support Engineer,Germany,04-04-2026,Hiring Manager
INIT a,Laboratory Equipment Engineer,Germany,04-04-2026,Hiring Manager
Implement-IT - Apple Premium Partner a,Validation Engineer,Germany,04-04-2026,Hiring Manager
ILI.DIGITAL AG a,Calibration Engineer,Germany,04-04-2026,Hiring Manager
Schwenk IT GmbH a,Maintenance Engineer,Germany,04-04-2026,Hiring Manager
PRODATA Datenbanken und Informationssysteme GmbH a,Field Service Engineer,Germany,04-04-2026,Hiring Manager
NinjaConcept GmbH a,Senior Field Service Engineer,Germany,04-04-2026,Hiring Manager
Industrial Application Software GmbH a,Service Engineer,Germany,04-04-2026,Hiring Manager
ERAB IT-Systems GmbH a,Instrumentation Engineer,Germany,04-04-2026,Hiring Manager
Bechtle IT-Systemhaus Darmstadt a,Application Support Engineer,Germany,04-04-2026,Hiring Manager
ACCSO - Accelerated Solutions GmbH a,Technical Support Engineer,Germany,04-04-2026,Hiring Manager
ACCSO - Accelerated Solutions GmbH b,Laboratory Equipment Engineer,Germany,04-04-2026,Hiring Manager
etalytics GmbH a,Validation Engineer,Germany,04-04-2026,Hiring Manager
COSOBA GmbH a,Calibration Engineer,Germany,04-04-2026,Hiring Manager
ITL GmbH a,Maintenance Engineer,Germany,04-04-2026,Hiring Manager
orquidea GmbH a,Field Service Engineer,Germany,04-04-2026,Hiring Manager
orquidea GmbH b,Senior Field Service Engineer,Germany,04-04-2026,Hiring Manager
InteRES GmbH a,Service Engineer,Germany,04-04-2026,Hiring Manager
reinheimer systemloesungen gmbh a,Instrumentation Engineer,Germany,04-04-2026,Hiring Manager
Infranaut IT-Services GmbH a,Application Support Engineer,Germany,04-04-2026,Hiring Manager
cosee GmbH a,Technical Support Engineer,Germany,04-04-2026,Hiring Manager
SMART DATA Deutschland GmbH a,Laboratory Equipment Engineer,Germany,04-04-2026,Hiring Manager
SMART DATA Deutschland GmbH b,Validation Engineer,Germany,04-04-2026,Hiring Manager
Bolinda Labs GmbH a,Calibration Engineer,Germany,04-04-2026,Hiring Manager
codecare software GmbH a,Maintenance Engineer,Germany,04-04-2026,Hiring Manager
NSK GmbH & Co. KG a,Field Service Engineer,Germany,04-04-2026,Hiring Manager
SOFTTAILOR GmbH a,Senior Field Service Engineer,Germany,04-04-2026,Hiring Manager
blink.it a,Service Engineer,Germany,04-04-2026,Hiring Manager
blink.it b,Instrumentation Engineer,Germany,04-04-2026,Hiring Manager
basysKom GmbH a,Application Support Engineer,Germany,04-04-2026,Hiring Manager
moguru GmbH a,Technical Support Engineer,Germany,04-04-2026,Hiring Manager
moguru GmbH b,Laboratory Equipment Engineer,Germany,04-04-2026,Hiring Manager
moguru GmbH c,Validation Engineer,Germany,04-04-2026,Hiring Manager
projectfacts a,Calibration Engineer,Germany,04-04-2026,Hiring Manager
projectfacts b,Maintenance Engineer,Germany,04-04-2026,Hiring Manager
PROSTEP AG a,Field Service Engineer,Germany,04-04-2026,Hiring Manager
PROSTEP AG b,Senior Field Service Engineer,Germany,04-04-2026,Hiring Manager
PROSTEP AG c,Service Engineer,Germany,04-04-2026,Hiring Manager
PROSTEP AG d,Instrumentation Engineer,Germany,04-04-2026,Hiring Manager
PROSTEP AG e,Application Support Engineer,Germany,04-04-2026,Hiring Manager
Cloud Consulting Europe a,Technical Support Engineer,Germany,04-04-2026,Hiring Manager
5 POINT AG a,Laboratory Equipment Engineer,Germany,04-04-2026,Hiring Manager
MTG AG a,Validation Engineer,Germany,04-04-2026,Hiring Manager
Netwise Solutions a,Calibration Engineer,Germany,04-04-2026,Hiring Manager
Spark 5 GmbH a,Maintenance Engineer,Germany,04-04-2026,Hiring Manager
FOCUS INFOCOM Informatik und Telekommunikation GmbH a,Field Service Engineer,Germany,04-04-2026,Hiring Manager
FOCUS INFOCOM Informatik und Telekommunikation GmbH b,Senior Field Service Engineer,Germany,04-04-2026,Hiring Manager
PEAK-System Technik GmbH a,Service Engineer,Germany,04-04-2026,Hiring Manager
Jongerius & Partner IT Consulting a,Instrumentation Engineer,Germany,04-04-2026,Hiring Manager
BidX a,Application Support Engineer,Germany,04-04-2026,Hiring Manager
ALL4NET GmbH a,Technical Support Engineer,Germany,04-04-2026,Hiring Manager
acoris AG a,Laboratory Equipment Engineer,Germany,04-04-2026,Hiring Manager
acoris AG b,Validation Engineer,Germany,04-04-2026,Hiring Manager
agorate GmbH a,Calibration Engineer,Germany,04-04-2026,Hiring Manager
agorate GmbH b,Maintenance Engineer,Germany,04-04-2026,Hiring Manager
agorate GmbH c,Field Service Engineer,Germany,04-04-2026,Hiring Manager
Signal7 Gesellschaft für Informationstechnologie mbH a,Senior Field Service Engineer,Germany,04-04-2026,Hiring Manager
Signal7 Gesellschaft für Informationstechnologie mbH b,Service Engineer,Germany,04-04-2026,Hiring Manager
CircuitByte GmbH a,Instrumentation Engineer,Germany,04-04-2026,Hiring Manager
NP4 Gesellschaft für Netzwerk- und Kommunikationssysteme mbH a,Application Support Engineer,Germany,04-04-2026,Hiring Manager
Lange IT Solutions a,Technical Support Engineer,Germany,04-04-2026,Hiring Manager
ask - Innovative Visualisierungslösungen GmbH a,Laboratory Equipment Engineer,Germany,04-04-2026,Hiring Manager
InterSystems GmbH a,Validation Engineer,Germany,04-04-2026,Hiring Manager
PROFI Engineering Systems AG a,Calibration Engineer,Germany,04-04-2026,Hiring Manager
Adiccon GmbH a,Maintenance Engineer,Germany,04-04-2026,Hiring Manager
wer denkt was GmbH a,Field Service Engineer,Germany,04-04-2026,Hiring Manager
wer denkt was GmbH b,Senior Field Service Engineer,Germany,04-04-2026,Hiring Manager
wibas GmbH a,Service Engineer,Germany,04-04-2026,Hiring Manager
wibas GmbH b,Instrumentation Engineer,Germany,04-04-2026,Hiring Manager
UMGIS computer science GmbH a,Application Support Engineer,Germany,04-04-2026,Hiring Manager
AONIC GmbH a,Technical Support Engineer,Germany,04-04-2026,Hiring Manager
ekom21 - KGRZ Hessen a,Laboratory Equipment Engineer,Germany,04-04-2026,Hiring Manager
code council GmbH a,Validation Engineer,Germany,04-04-2026,Hiring Manager
nterra integration GmbH a,Calibration Engineer,Germany,04-04-2026,Hiring Manager
setis GmbH a,Maintenance Engineer,Germany,04-04-2026,Hiring Manager
