company_name,role,country,date,hr_name
CRITEX GmbH g,Java Developer,Germany,09-04-2026,Hiring Manager
CRITEX GmbH h,Backend Developer Java,Germany,09-04-2026,Hiring Manager
CRITEX GmbH i,Software Engineer Java,Germany,09-04-2026,Hiring Manager
CRITEX GmbH j,Spring Boot Developer,Germany,09-04-2026,Hiring Manager
CRITEX GmbH k,Microservices Developer,Germany,09-04-2026,Hiring Manager
42 Coding Solutions GmbH | App- & Softwareentwicklung a,API Developer,Germany,09-04-2026,Hiring Manager
OPTITOOL GmbH a,Backend Engineer,Germany,09-04-2026,Hiring Manager
OPTITOOL GmbH b,Junior Java Developer,Germany,09-04-2026,Hiring Manager
OPTITOOL GmbH c,Software Engineer Backend,Germany,09-04-2026,Hiring Manager
OPTITOOL GmbH d,Java Application Developer,Germany,09-04-2026,Hiring Manager
Eibl-IT GmbH a,Java Developer,Germany,09-04-2026,Hiring Manager
IN-Solution GmbH a,Backend Developer Java,Germany,09-04-2026,Hiring Manager
neustifter.systems | IT-Systemhaus Regensburg a,Software Engineer Java,Germany,09-04-2026,Hiring Manager
neustifter.systems | IT-Systemhaus Regensburg b,Spring Boot Developer,Germany,09-04-2026,Hiring Manager
Number42 GmbH a,Microservices Developer,Germany,09-04-2026,Hiring Manager
Number42 GmbH b,API Developer,Germany,09-04-2026,Hiring Manager
compustore Systems a,Backend Engineer,Germany,09-04-2026,Hiring Manager
Comsysto Reply GmbH a,Junior Java Developer,Germany,09-04-2026,Hiring Manager
8Solutions Internet Service Provider a,Software Engineer Backend,Germany,09-04-2026,Hiring Manager
8Solutions Internet Service Provider b,Java Application Developer,Germany,09-04-2026,Hiring Manager
TM3 Software GmbH b,Java Developer,Germany,09-04-2026,Hiring Manager
Graupner Software Engineering a,Backend Developer Java,Germany,09-04-2026,Hiring Manager
BITS & BYTES EDV GmbH - IT-Systemhaus a,Software Engineer Java,Germany,09-04-2026,Hiring Manager
Projekt 29 GmbH & Co. KG a,Spring Boot Developer,Germany,09-04-2026,Hiring Manager
Ebbinger Webdesign und Digitale Medien a,Microservices Developer,Germany,09-04-2026,Hiring Manager
"Fabitech IT Security, Managed Services - Fabian Breitenberger a",API Developer,Germany,09-04-2026,Hiring Manager
letterplot a,Backend Engineer,Germany,09-04-2026,Hiring Manager
MGM-Custom a,Junior Java Developer,Germany,09-04-2026,Hiring Manager
Blue Panda a,Software Engineer Backend,Germany,09-04-2026,Hiring Manager
ASMPT AMICRA GmbH a,Java Application Developer,Germany,09-04-2026,Hiring Manager
Xtreme Secure GmbH a,Java Developer,Germany,09-04-2026,Hiring Manager
media21 Onlinedienste e.K. a,Backend Developer Java,Germany,09-04-2026,Hiring Manager
Conrad Profistore Regensburg a,Software Engineer Java,Germany,09-04-2026,Hiring Manager
Conrad Profistore Regensburg b,Spring Boot Developer,Germany,09-04-2026,Hiring Manager
Puzzles Design&Media Michael Lieb a,Microservices Developer,Germany,09-04-2026,Hiring Manager
Digital Service Regensburg a,API Developer,Germany,09-04-2026,Hiring Manager
Alex Velitchko Computerhilfe a,Backend Engineer,Germany,09-04-2026,Hiring Manager
GdbR Bogner Märkl a,Junior Java Developer,Germany,09-04-2026,Hiring Manager
FERCHAU GmbH a,Software Engineer Backend,Germany,09-04-2026,Hiring Manager
FAVORIT.network GmbH a,Java Application Developer,Germany,09-04-2026,Hiring Manager
DermoScan GmbH a,Java Developer,Germany,09-04-2026,Hiring Manager
SanData EDV-Systemhaus GmbH a,Backend Developer Java,Germany,09-04-2026,Hiring Manager
Computy GmbH & Co. KG a,Software Engineer Java,Germany,09-04-2026,Hiring Manager
Bechtle IT-Systemhaus Würzburg a,Spring Boot Developer,Germany,09-04-2026,Hiring Manager
InnoBrain GmbH a,Microservices Developer,Germany,09-04-2026,Hiring Manager
e2n a,API Developer,Germany,09-04-2026,Hiring Manager
e2n b,Backend Engineer,Germany,09-04-2026,Hiring Manager
Haase IT Solutions GmbH a,Junior Java Developer,Germany,09-04-2026,Hiring Manager
Solus Software GmbH a,Software Engineer Backend,Germany,09-04-2026,Hiring Manager
WSW Software GmbH a,Java Application Developer,Germany,09-04-2026,Hiring Manager
Nimbits GmbH a,Java Developer,Germany,09-04-2026,Hiring Manager
snapAddy a,Backend Developer Java,Germany,09-04-2026,Hiring Manager
Flexus AG a,Software Engineer Java,Germany,09-04-2026,Hiring Manager
illucIT Software a,Spring Boot Developer,Germany,09-04-2026,Hiring Manager
Hannecke IT Solutions GmbH a,Microservices Developer,Germany,09-04-2026,Hiring Manager
GeSi Software GmbH a,API Developer,Germany,09-04-2026,Hiring Manager
INOSYS Innovative Computersysteme GmbH a,Backend Engineer,Germany,09-04-2026,Hiring Manager
Algorit GmbH & Co. KG a,Junior Java Developer,Germany,09-04-2026,Hiring Manager
anaptis GmbH a,Software Engineer Backend,Germany,09-04-2026,Hiring Manager
anaptis GmbH b,Java Application Developer,Germany,09-04-2026,Hiring Manager
IBIS Prof. Thome AG - SAP-Systemanalysen a,Java Developer,Germany,09-04-2026,Hiring Manager
Datamesh a,Backend Developer Java,Germany,09-04-2026,Hiring Manager
fidion GmbH Die Softwareschmiede in Franken a,Software Engineer Java,Germany,09-04-2026,Hiring Manager
IT-Projektschmiede a,Spring Boot Developer,Germany,09-04-2026,Hiring Manager
Noxum GmbH a,Microservices Developer,Germany,09-04-2026,Hiring Manager
Noxum GmbH b,API Developer,Germany,09-04-2026,Hiring Manager
Lorey Computer - Malersoftware - Dachdeckersoftware a,Backend Engineer,Germany,09-04-2026,Hiring Manager
Hampel Software Engineering a,Junior Java Developer,Germany,09-04-2026,Hiring Manager
MetaComp Würzburg GmbH - LTG a,Software Engineer Backend,Germany,09-04-2026,Hiring Manager
MetaComp Würzburg GmbH - LTG b,Java Application Developer,Germany,09-04-2026,Hiring Manager
WVV iT solutions a,Java Developer,Germany,09-04-2026,Hiring Manager
solvatio AG a,Backend Developer Java,Germany,09-04-2026,Hiring Manager
webfactor media GmbH a,Software Engineer Java,Germany,09-04-2026,Hiring Manager
IT-QC GmbH a,Spring Boot Developer,Germany,09-04-2026,Hiring Manager
cDev GmbH a,Microservices Developer,Germany,09-04-2026,Hiring Manager
Mayflower GmbH b,Backend Engineer,Germany,09-04-2026,Hiring Manager
CHW Computerhaus Würzburg GmbH a,Junior Java Developer,Germany,09-04-2026,Hiring Manager
MINOVA Information Services GmbH a,Software Engineer Backend,Germany,09-04-2026,Hiring Manager
ososoft GmbH a,Java Application Developer,Germany,09-04-2026,Hiring Manager
Hirt-edv a,Java Developer,Germany,09-04-2026,Hiring Manager
Hirt-edv b,Backend Developer Java,Germany,09-04-2026,Hiring Manager
OPMONis a,Software Engineer Java,Germany,09-04-2026,Hiring Manager
OPMONis b,Spring Boot Developer,Germany,09-04-2026,Hiring Manager
elio GmbH a,Microservices Developer,Germany,09-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg a,API Developer,Germany,09-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg b,Backend Engineer,Germany,09-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg c,Junior Java Developer,Germany,09-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg d,Software Engineer Backend,Germany,09-04-2026,Hiring Manager
VELU Systems | IT-Systemhaus Würzburg e,Java Application Developer,Germany,09-04-2026,Hiring Manager
SE IT-Consulting a,Java Developer,Germany,09-04-2026,Hiring Manager
comacs a,Backend Developer Java,Germany,09-04-2026,Hiring Manager
3Keys a,Software Engineer Java,Germany,09-04-2026,Hiring Manager
independis information systems GmbH a,Spring Boot Developer,Germany,09-04-2026,Hiring Manager
Fieber IT ‒ IT-Dienstleister aus Würzburg a,Microservices Developer,Germany,09-04-2026,Hiring Manager
sykasoft GmbH a,Backend Engineer,Germany,09-04-2026,Hiring Manager
