company_name,role,country,date,hr_name
MARVECS GmbH a,Clinical Data Manager,Germany,04-04-2026,Hiring Manager
bluefrog pharma GmbH a,Senior Clinical Data Coordinator,Germany,04-04-2026,Hiring Manager
bluefrog pharma GmbH b,Clinical Data Analyst,Germany,04-04-2026,Hiring Manager
Transpharm Logistik GmbH a,Clinical Data Specialist,Germany,04-04-2026,Hiring Manager
GBA Pharma GmbH a,Pharmacovigilance Associate,Germany,04-04-2026,Hiring Manager
Santis a,Drug Safety Associate,Germany,04-04-2026,Hiring Manager
Dr. Falk Pharma GmbH a,Clinical Research Associate,Germany,04-04-2026,Hiring Manager
Inresa Arzneimittel GmbH a,Safety Data Specialist,Germany,04-04-2026,Hiring Manager
ChemCon GmbH a,Clinical Data Scientist,Germany,04-04-2026,Hiring Manager
BioTechPark Freiburg a,Regulatory Data Specialist,Germany,04-04-2026,Hiring Manager
4HF Biotec GmbH a,Clinical Data Manager,Germany,04-04-2026,Hiring Manager
Ravo Diagnostika GmbH a,Senior Clinical Data Coordinator,Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH a,Clinical Data Analyst,Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH b,Clinical Data Specialist,Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH c,Pharmacovigilance Associate,Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH d,Drug Safety Associate,Germany,04-04-2026,Hiring Manager
BioPharmaSpec GmbH e,Clinical Research Associate,Germany,04-04-2026,Hiring Manager
Losan Pharma GmbH a,Safety Data Specialist,Germany,04-04-2026,Hiring Manager
Lebewohl-Fabrik GmbH & Co. KG a,Clinical Data Scientist,Germany,04-04-2026,Hiring Manager
HiSS Diagnostics GmbH a,Regulatory Data Specialist,Germany,04-04-2026,Hiring Manager
EHRET GmbH Life Science Solutions a,Clinical Data Manager,Germany,04-04-2026,Hiring Manager
Haupt Pharma Amareg GmbH - Aenova Regensburg a,Senior Clinical Data Coordinator,Germany,04-04-2026,Hiring Manager
Frasophere Pharma Handels-GmbH a,Clinical Data Analyst,Germany,04-04-2026,Hiring Manager
Chemical Factory Kreussler & Co. GmbH a,Clinical Data Specialist,Germany,04-04-2026,Hiring Manager
ORGANO PHARMA GERMANY GmbH a,Pharmacovigilance Associate,Germany,04-04-2026,Hiring Manager
HRA Pharma Deutschland GmbH a,Drug Safety Associate,Germany,04-04-2026,Hiring Manager
HRA Pharma Deutschland GmbH b,Clinical Research Associate,Germany,04-04-2026,Hiring Manager
HRA Pharma Deutschland GmbH c,Safety Data Specialist,Germany,04-04-2026,Hiring Manager
HRA Pharma Deutschland GmbH d,Clinical Data Scientist,Germany,04-04-2026,Hiring Manager
VitaPharm GmbH a,Regulatory Data Specialist,Germany,04-04-2026,Hiring Manager
phi Pharma International GmbH & Co. KG a,Clinical Data Manager,Germany,04-04-2026,Hiring Manager
Novo Nordisk Pharma GmbH a,Senior Clinical Data Coordinator,Germany,04-04-2026,Hiring Manager
Umforana GmbH & Co. KG a,Clinical Data Analyst,Germany,04-04-2026,Hiring Manager
HENNIG ARZNEIMITTEL GmbH & Co. KG a,Clinical Data Specialist,Germany,04-04-2026,Hiring Manager
Euro Biomedico GmbH a,Pharmacovigilance Associate,Germany,04-04-2026,Hiring Manager
BioNTech SE a,Drug Safety Associate,Germany,04-04-2026,Hiring Manager
IDV - Isochem & Datenverarbeitung GmbH a,Clinical Research Associate,Germany,04-04-2026,Hiring Manager
NEMIUS Medical Europe GmbH & Co. KG a,Safety Data Specialist,Germany,04-04-2026,Hiring Manager
"Zentrum für Pharmaverfahrenstechnik (PVZ), Technische Universität Braunschweig a",Clinical Data Scientist,Germany,04-04-2026,Hiring Manager
Lionex Diagnostics & Therapeutics GmbH a,Regulatory Data Specialist,Germany,04-04-2026,Hiring Manager
Lionex Diagnostics & Therapeutics GmbH b,Clinical Data Manager,Germany,04-04-2026,Hiring Manager
Yumab GmbH a,Senior Clinical Data Coordinator,Germany,04-04-2026,Hiring Manager
Ferring GmbH a,Clinical Data Analyst,Germany,04-04-2026,Hiring Manager
Ferring GmbH b,Clinical Data Specialist,Germany,04-04-2026,Hiring Manager
Ferring GmbH c,Pharmacovigilance Associate,Germany,04-04-2026,Hiring Manager
Ferring GmbH d,Drug Safety Associate,Germany,04-04-2026,Hiring Manager
Ferring GmbH e,Clinical Research Associate,Germany,04-04-2026,Hiring Manager
Ferring GmbH f,Safety Data Specialist,Germany,04-04-2026,Hiring Manager
Ferring GmbH g,Clinical Data Scientist,Germany,04-04-2026,Hiring Manager
Ferring GmbH h,Regulatory Data Specialist,Germany,04-04-2026,Hiring Manager
Ferring GmbH i,Clinical Data Manager,Germany,04-04-2026,Hiring Manager
Ferring GmbH j,Senior Clinical Data Coordinator,Germany,04-04-2026,Hiring Manager
Ferring GmbH k,Clinical Data Analyst,Germany,04-04-2026,Hiring Manager
Ferring GmbH l,Clinical Data Specialist,Germany,04-04-2026,Hiring Manager
Ferring GmbH m,Pharmacovigilance Associate,Germany,04-04-2026,Hiring Manager
Ferring GmbH n,Drug Safety Associate,Germany,04-04-2026,Hiring Manager
Ferring GmbH o,Clinical Research Associate,Germany,04-04-2026,Hiring Manager
Ferring GmbH p,Safety Data Specialist,Germany,04-04-2026,Hiring Manager
Ferring GmbH q,Clinical Data Scientist,Germany,04-04-2026,Hiring Manager
Ferring GmbH r,Regulatory Data Specialist,Germany,04-04-2026,Hiring Manager
Ferring GmbH s,Clinical Data Manager,Germany,04-04-2026,Hiring Manager
Ferring GmbH t,Senior Clinical Data Coordinator,Germany,04-04-2026,Hiring Manager
Ferring GmbH u,Clinical Data Analyst,Germany,04-04-2026,Hiring Manager
Ferring GmbH v,Clinical Data Specialist,Germany,04-04-2026,Hiring Manager
Ferring GmbH w,Pharmacovigilance Associate,Germany,04-04-2026,Hiring Manager
Ferring GmbH x,Drug Safety Associate,Germany,04-04-2026,Hiring Manager
Ferring GmbH y,Clinical Research Associate,Germany,04-04-2026,Hiring Manager
Ferring GmbH z,Safety Data Specialist,Germany,04-04-2026,Hiring Manager
Ferring GmbH aa,Clinical Data Scientist,Germany,04-04-2026,Hiring Manager
Ferring GmbH ab,Regulatory Data Specialist,Germany,04-04-2026,Hiring Manager
Ferring GmbH ac,Clinical Data Manager,Germany,04-04-2026,Hiring Manager
Ferring GmbH ad,Senior Clinical Data Coordinator,Germany,04-04-2026,Hiring Manager
Ferring GmbH ae,Clinical Data Analyst,Germany,04-04-2026,Hiring Manager
Ferring GmbH af,Clinical Data Specialist,Germany,04-04-2026,Hiring Manager
Max Jenne GmbH a,Pharmacovigilance Associate,Germany,04-04-2026,Hiring Manager
Life Science Nord Management GmbH a,Drug Safety Associate,Germany,04-04-2026,Hiring Manager
