company_name,role,country,date,hr_name
vensas GmbH a,Financial Data Analyst,Germany,09-04-2026,Hiring Manager
AIS alfaplan GmbH a,Banking Operations Analyst,Germany,09-04-2026,Hiring Manager
Toowoxx IT GmbH a,ESG Data Analyst,Germany,09-04-2026,Hiring Manager
Toowoxx IT GmbH b,Financial Data Analyst,Germany,09-04-2026,Hiring Manager
engineering people GmbH a,Business Analyst Finance,Germany,09-04-2026,Hiring Manager
ULDE – Die Ulmer Datenbank-Experten a,Investment Analyst,Germany,09-04-2026,Hiring Manager
DREICAD GmbH a,Power BI Developer,Germany,09-04-2026,Hiring Manager
uysal consulting GmbH a,Financial Analyst,Germany,09-04-2026,Hiring Manager
uysal consulting GmbH b,Data Analyst Finance,Germany,09-04-2026,Hiring Manager
OXITGEN AG - Ulm a,Risk Analyst,Germany,09-04-2026,Hiring Manager
OXITGEN AG - Ulm b,Banking Operations Analyst,Germany,09-04-2026,Hiring Manager
OXITGEN AG - Ulm c,ESG Data Analyst,Germany,09-04-2026,Hiring Manager
OXITGEN AG - Ulm d,Financial Data Analyst,Germany,09-04-2026,Hiring Manager
s.i.g. mbH a,Business Analyst Finance,Germany,09-04-2026,Hiring Manager
Axians Industrial Applications & Services GmbH a,Investment Analyst,Germany,09-04-2026,Hiring Manager
Axians Industrial Applications & Services GmbH b,Power BI Developer,Germany,09-04-2026,Hiring Manager
Axians Industrial Applications & Services GmbH c,Reporting Analyst,Germany,09-04-2026,Hiring Manager
Axians Industrial Applications & Services GmbH d,Financial Analyst,Germany,09-04-2026,Hiring Manager
Axians Industrial Applications & Services GmbH e,Data Analyst Finance,Germany,09-04-2026,Hiring Manager
Axians Industrial Applications & Services GmbH f,Risk Analyst,Germany,09-04-2026,Hiring Manager
SCHUTZWERK GmbH a,Banking Operations Analyst,Germany,09-04-2026,Hiring Manager
HELDENTAT – Digitalagentur a,ESG Data Analyst,Germany,09-04-2026,Hiring Manager
we.Beyond Marketing® | Webdesign Agentur Ulm | SEO Agentur Ulm a,Financial Data Analyst,Germany,09-04-2026,Hiring Manager
netgo tax GmbH a,Business Analyst Finance,Germany,09-04-2026,Hiring Manager
Matzelsberger GmbH & Co. KG a,Investment Analyst,Germany,09-04-2026,Hiring Manager
itomatics GmbH a,Power BI Developer,Germany,09-04-2026,Hiring Manager
Global It Consulting Gmbh a,Reporting Analyst,Germany,09-04-2026,Hiring Manager
JSL Automation GmbH a,Financial Analyst,Germany,09-04-2026,Hiring Manager
AVL Software and Functions GmbH a,Data Analyst Finance,Germany,09-04-2026,Hiring Manager
AVL Software and Functions GmbH b,Risk Analyst,Germany,09-04-2026,Hiring Manager
iS Software GmbH a,Banking Operations Analyst,Germany,09-04-2026,Hiring Manager
Uncamino Digital Solutions GmbH a,ESG Data Analyst,Germany,09-04-2026,Hiring Manager
