company_name,role,country,date,hr_name
Innoface AG a,Implementation Engineer,Germany,04-04-2026,Hiring Manager
Innoface AG b,Integration Engineer,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG a,Healthcare IT Engineer,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG b,HIS Implementation Specialist,Germany,04-04-2026,Hiring Manager
arconsis a,System Integration Engineer,Germany,04-04-2026,Hiring Manager
arconsis b,Deployment Engineer,Germany,04-04-2026,Hiring Manager
cjt Systemsoftware AG a,Technical Consultant Healthcare IT,Germany,04-04-2026,Hiring Manager
IT-Choice Software GmbH a,Application Support Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH a,IT Implementation Specialist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH b,ERP Implementation Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH c,Interface Engineer HL7,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH d,Technical Support Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH e,Systems Engineer IT,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH f,Software Implementation Consultant,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH g,Integration Specialist Healthcare,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH h,IT Operations Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH i,Infrastructure Engineer IT,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH j,Application Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH k,Deployment Specialist IT,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH l,Technical Implementation Analyst,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH m,Implementation Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH n,Integration Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH o,Healthcare IT Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH p,HIS Implementation Specialist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH q,System Integration Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH r,Deployment Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH s,Technical Consultant Healthcare IT,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH t,Application Support Engineer,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH u,IT Implementation Specialist,Germany,04-04-2026,Hiring Manager
