company_name,role,country,date,hr_name
AGILOS GmbH a,Data Scientist,Germany,09-04-2026,Hiring Manager
3S Technologies GmbH a,Data Engineer,Germany,09-04-2026,Hiring Manager
3S Technologies GmbH b,Analytics Engineer,Germany,09-04-2026,Hiring Manager
vensas GmbH a,Business Intelligence Analyst,Germany,09-04-2026,Hiring Manager
Ambimax® GmbH - OPEN Digitalgruppe a,ETL Developer,Germany,09-04-2026,Hiring Manager
abraxas Software-Entwicklungsgesellschaft mbH a,Data Analyst,Germany,09-04-2026,Hiring Manager
K|Lens GmbH a,Power BI Developer,Germany,09-04-2026,Hiring Manager
aµs advanced microoptic systems gmbh a,AI Engineer,Germany,09-04-2026,Hiring Manager
abat+ GmbH a,Information Management Specialist,Germany,09-04-2026,Hiring Manager
abat+ GmbH b,Data Scientist,Germany,09-04-2026,Hiring Manager
abat+ GmbH c,Data Engineer,Germany,09-04-2026,Hiring Manager
abat+ GmbH d,Analytics Engineer,Germany,09-04-2026,Hiring Manager
abat+ GmbH e,Business Intelligence Analyst,Germany,09-04-2026,Hiring Manager
abat+ GmbH f,Cloud Data Engineer,Germany,09-04-2026,Hiring Manager
abat+ GmbH g,ETL Developer,Germany,09-04-2026,Hiring Manager
sequire technology GmbH a,Data Analyst,Germany,09-04-2026,Hiring Manager
Saarland Informatics Campus a,Power BI Developer,Germany,09-04-2026,Hiring Manager
emplify software GmbH a,AI Engineer,Germany,09-04-2026,Hiring Manager
emplify software GmbH b,Information Management Specialist,Germany,09-04-2026,Hiring Manager
Axians Cloud & IT-Automation GmbH - Cloud & Managed Services Anbieter in Ulm a,Data Scientist,Germany,09-04-2026,Hiring Manager
PeWa-Software a,Data Engineer,Germany,09-04-2026,Hiring Manager
we.Beyond IT® | IT Systemhaus Ulm a,Analytics Engineer,Germany,09-04-2026,Hiring Manager
Public Cloud Group GmbH a,Business Intelligence Analyst,Germany,09-04-2026,Hiring Manager
Bechtle IT-Systemhaus Ulm a,Cloud Data Engineer,Germany,09-04-2026,Hiring Manager
Systemhaus Ulm GmbH a,ETL Developer,Germany,09-04-2026,Hiring Manager
ISD Software und Systeme GmbH a,Data Analyst,Germany,09-04-2026,Hiring Manager
immersight GmbH a,Power BI Developer,Germany,09-04-2026,Hiring Manager
Axians Infoma GmbH a,AI Engineer,Germany,09-04-2026,Hiring Manager
digital ZEIT GmbH a,Information Management Specialist,Germany,09-04-2026,Hiring Manager
