company_name,role,country,date,hr_name
Sit SteuerungsTechnik GmbH a,OSP Fiber Engineer,Germany,09-04-2026,Hiring Manager
Wittenbeck GmbH a,FTTH Engineer,Germany,09-04-2026,Hiring Manager
Günter Wolf Elektrische Anlagen GmbH a,Telecom Network Engineer,Germany,09-04-2026,Hiring Manager
FERCHAU GmbH t,Fiber Optic Engineer,Germany,09-04-2026,Hiring Manager
LexCon GmbH a,Field Engineer Telecom,Germany,09-04-2026,Hiring Manager
EnergieTechnik Becker GmbH a,Network Deployment Engineer,Germany,09-04-2026,Hiring Manager
arnotec GmbH a,Infrastructure Engineer Telecom,Germany,09-04-2026,Hiring Manager
EE-Elektrotechnik a,Splicing Engineer,Germany,09-04-2026,Hiring Manager
PPS Schaltanlagenbau e.K. a,NOC Support Engineer Telecom,Germany,09-04-2026,Hiring Manager
SEF Ingenieurgesellschaft mbH a,Telecom Project Engineer,Germany,09-04-2026,Hiring Manager
"Delitec Gebäudetechnik – Elektro, Heizung & Sanierung Karlsruhe a",OSP Fiber Engineer,Germany,09-04-2026,Hiring Manager
SOLTec Elektrotechnik GmbH a,FTTH Engineer,Germany,09-04-2026,Hiring Manager
Prestenbach-Elektrotechnik a,Telecom Network Engineer,Germany,09-04-2026,Hiring Manager
Alexander Bürkle GmbH & Co. KG a,Fiber Optic Engineer,Germany,09-04-2026,Hiring Manager
Nagler Elektrotechnik GmbH a,Field Engineer Telecom,Germany,09-04-2026,Hiring Manager
Nagler Elektrotechnik GmbH b,Network Deployment Engineer,Germany,09-04-2026,Hiring Manager
Leonhard Elektrotechnik GmbH Co. KG a,Splicing Engineer,Germany,09-04-2026,Hiring Manager
Freytag - Smarte Lösungen für Heim und Büro a,NOC Support Engineer Telecom,Germany,09-04-2026,Hiring Manager
Freytag - Smarte Lösungen für Heim und Büro b,Telecom Project Engineer,Germany,09-04-2026,Hiring Manager
SES-Ingenieure GmbH a,OSP Fiber Engineer,Germany,09-04-2026,Hiring Manager
STIEBRITZ Elektro- und Gebäudetechnik a,FTTH Engineer,Germany,09-04-2026,Hiring Manager
Carl Benz School of Engineering a,Telecom Network Engineer,Germany,09-04-2026,Hiring Manager
Pajic Kabelverlegung a,Fiber Optic Engineer,Germany,09-04-2026,Hiring Manager
AFRY a,Field Engineer Telecom,Germany,09-04-2026,Hiring Manager
LANSYSTEMS Kommunikationsnetzwerke GmbH a,Network Deployment Engineer,Germany,09-04-2026,Hiring Manager
Joswig Ingenieure GmbH a,Infrastructure Engineer Telecom,Germany,09-04-2026,Hiring Manager
Elektro Boy GmbH a,Splicing Engineer,Germany,09-04-2026,Hiring Manager
Sauter & Gut GmbH | Elektrotechnik Meisterbetrieb a,NOC Support Engineer Telecom,Germany,09-04-2026,Hiring Manager
KIT-Fakultät für Elektrotechnik und Informationstechnik a,Telecom Project Engineer,Germany,09-04-2026,Hiring Manager
Clevergie GbR a,OSP Fiber Engineer,Germany,09-04-2026,Hiring Manager
KW-Trenz Elektroinstallationen a,FTTH Engineer,Germany,09-04-2026,Hiring Manager
OPVengineering GmbH a,Telecom Network Engineer,Germany,09-04-2026,Hiring Manager
Q-Bau a,Fiber Optic Engineer,Germany,09-04-2026,Hiring Manager
HPC AG - Karlsruhe a,Field Engineer Telecom,Germany,09-04-2026,Hiring Manager
HPC AG - Karlsruhe b,Network Deployment Engineer,Germany,09-04-2026,Hiring Manager
BE Ingenieure GmbH a,Infrastructure Engineer Telecom,Germany,09-04-2026,Hiring Manager
BE Ingenieure GmbH b,Splicing Engineer,Germany,09-04-2026,Hiring Manager
BE Ingenieure GmbH c,NOC Support Engineer Telecom,Germany,09-04-2026,Hiring Manager
BE Ingenieure GmbH d,Telecom Project Engineer,Germany,09-04-2026,Hiring Manager
BE Ingenieure GmbH e,OSP Fiber Engineer,Germany,09-04-2026,Hiring Manager
BE Ingenieure GmbH f,FTTH Engineer,Germany,09-04-2026,Hiring Manager
BE Ingenieure GmbH g,Telecom Network Engineer,Germany,09-04-2026,Hiring Manager
