company_name,role,country,date,hr_name
Innoface AG a,Content Marketing Manager,Germany,04-04-2026,Hiring Manager
Innoface AG b,SEO Content Strategist,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG a,Digital Content Manager,Germany,04-04-2026,Hiring Manager
generic.de software technologies AG b,Content Strategist,Germany,04-04-2026,Hiring Manager
arconsis a,Growth Content Manager,Germany,04-04-2026,Hiring Manager
arconsis b,Editorial Manager,Germany,04-04-2026,Hiring Manager
cjt Systemsoftware AG a,Content Operations Manager,Germany,04-04-2026,Hiring Manager
IT-Choice Software GmbH a,SEO Specialist (Content),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH a,Digital Marketing Specialist (Content),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH b,Social Media Content Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH c,Content Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH d,SEO Content Strategist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH e,Digital Content Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH f,Content Strategist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH g,Growth Content Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH h,Editorial Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH i,Content Operations Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH j,SEO Specialist (Content),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH k,Digital Marketing Specialist (Content),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH l,Social Media Content Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH m,Content Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH n,SEO Content Strategist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH o,Digital Content Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH p,Content Strategist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH q,Growth Content Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH r,Editorial Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH s,Content Operations Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH t,SEO Specialist (Content),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH u,Digital Marketing Specialist (Content),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH v,Social Media Content Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH w,Content Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH x,SEO Content Strategist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH y,Digital Content Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH z,Content Strategist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aa,Growth Content Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ab,Editorial Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ac,Content Operations Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ad,SEO Specialist (Content),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ae,Digital Marketing Specialist (Content),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH af,Social Media Content Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ag,Content Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ah,SEO Content Strategist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ai,Digital Content Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aj,Content Strategist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ak,Growth Content Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH al,Editorial Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH am,Content Operations Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH an,SEO Specialist (Content),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ao,Digital Marketing Specialist (Content),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ap,Social Media Content Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aq,Content Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ar,SEO Content Strategist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH as,Digital Content Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH at,Content Strategist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH au,Growth Content Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH av,Editorial Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH aw,Content Operations Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ax,SEO Specialist (Content),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ay,Digital Marketing Specialist (Content),Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH az,Social Media Content Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH ba,Content Marketing Manager,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH bb,SEO Content Strategist,Germany,04-04-2026,Hiring Manager
Vector Informatik GmbH bc,Digital Content Manager,Germany,04-04-2026,Hiring Manager
DSC Software AG a,Content Strategist,Germany,04-04-2026,Hiring Manager
emmtrix Technologies GmbH a,Growth Content Manager,Germany,04-04-2026,Hiring Manager
bluehands GmbH & Co.mmunication KG a,Editorial Manager,Germany,04-04-2026,Hiring Manager
MCC Software Engineering a,Content Operations Manager,Germany,04-04-2026,Hiring Manager
Jamit Labs GmbH a,SEO Specialist (Content),Germany,04-04-2026,Hiring Manager
CodeWrights GmbH a,Digital Marketing Specialist (Content),Germany,04-04-2026,Hiring Manager
CodeWrights GmbH b,Social Media Content Manager,Germany,04-04-2026,Hiring Manager
n-komm GmbH a,Content Marketing Manager,Germany,04-04-2026,Hiring Manager
Bechtle IT-Systemhaus Karlsruhe a,SEO Content Strategist,Germany,04-04-2026,Hiring Manager
Pharmakon Software GmbH a,Digital Content Manager,Germany,04-04-2026,Hiring Manager
awesome information technology GmbH a,Content Strategist,Germany,04-04-2026,Hiring Manager
DATEX Software GmbH a,Growth Content Manager,Germany,04-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH a,Editorial Manager,Germany,04-04-2026,Hiring Manager
Next Iteration Gesellschaft für Software Engineering mbH b,Content Operations Manager,Germany,04-04-2026,Hiring Manager
ITstrategen GmbH a,SEO Specialist (Content),Germany,04-04-2026,Hiring Manager
ITstrategen GmbH b,Digital Marketing Specialist (Content),Germany,04-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH a,Social Media Content Manager,Germany,04-04-2026,Hiring Manager
PLANTA Projektmanagement-Systeme GmbH b,Content Marketing Manager,Germany,04-04-2026,Hiring Manager
BTS Technische Software GmbH a,SEO Content Strategist,Germany,04-04-2026,Hiring Manager
adesso SE a,Digital Content Manager,Germany,04-04-2026,Hiring Manager
adesso SE b,Content Strategist,Germany,04-04-2026,Hiring Manager
Forterro Deutschland Abas GmbH a,Growth Content Manager,Germany,04-04-2026,Hiring Manager
KENBUN IT AG a,Editorial Manager,Germany,04-04-2026,Hiring Manager
Tooltec IT GmbH a,Content Operations Manager,Germany,04-04-2026,Hiring Manager
InterConnect GmbH & Co. KG a,SEO Specialist (Content),Germany,04-04-2026,Hiring Manager
Asseco Solutions Hauptsitz / Niederlassung Karlsruhe a,Digital Marketing Specialist (Content),Germany,04-04-2026,Hiring Manager
Asseco Solutions Hauptsitz / Niederlassung Karlsruhe b,Social Media Content Manager,Germany,04-04-2026,Hiring Manager
Nesto Software GmbH a,Content Marketing Manager,Germany,04-04-2026,Hiring Manager
PowMio GmbH a,SEO Content Strategist,Germany,04-04-2026,Hiring Manager
AUNOVIS GmbH a,Digital Content Manager,Germany,04-04-2026,Hiring Manager
movisens GmbH a,Content Strategist,Germany,04-04-2026,Hiring Manager
movisens GmbH b,Growth Content Manager,Germany,04-04-2026,Hiring Manager
ACT Smartware GmbH a,Editorial Manager,Germany,04-04-2026,Hiring Manager
CAOS Computersoftware für Anwendungs-Orientierte Systeme GmbH a,Content Operations Manager,Germany,04-04-2026,Hiring Manager
Retis GmbH & Co. KG a,SEO Specialist (Content),Germany,04-04-2026,Hiring Manager
NETSYNO Software GmbH a,Digital Marketing Specialist (Content),Germany,04-04-2026,Hiring Manager
Internext GmbH Innovative IT-Lösungen a,Social Media Content Manager,Germany,04-04-2026,Hiring Manager
