company_name,role,country,date,hr_name
prenode GmbH a,Operations Manager,Germany,04-04-2026,Hiring Manager
s.a.x. Software GmbH a,Program Manager,Germany,04-04-2026,Hiring Manager
ANALYTICA GmbH a,E-commerce Operations Manager,Germany,04-04-2026,Hiring Manager
evacon IT-Solution & Consulting GmbH & Co. KG a,Business Operations Analyst,Germany,04-04-2026,Hiring Manager
Unic GmbH a,Strategy Analyst,Germany,04-04-2026,Hiring Manager
Open Experience GmbH a,Data Analyst,Germany,04-04-2026,Hiring Manager
Bee360 a,Growth Manager,Germany,04-04-2026,Hiring Manager
Consiliari GmbH a,Operations Analyst,Germany,04-04-2026,Hiring Manager
Softwareschneiderei GmbH a,Supply Chain Operations Executive,Germany,04-04-2026,Hiring Manager
Compaile Solutions GmbH a,Project Manager,Germany,04-04-2026,Hiring Manager
emediagroup GmbH a,Business Analyst,Germany,04-04-2026,Hiring Manager
Codelution GmbH a,Process Improvement Manager,Germany,04-04-2026,Hiring Manager
Appmond a,Performance Analyst,Germany,04-04-2026,Hiring Manager
Navigate AG a,Category Manager E-commerce,Germany,04-04-2026,Hiring Manager
cluetec GmbH a,Seller Operations Manager,Germany,04-04-2026,Hiring Manager
cluetec GmbH b,Operations Executive,Germany,04-04-2026,Hiring Manager
MegaPart GmbH - IT-Projekte und Engineering-Projekte Karlsruhe a,Program Analyst,Germany,04-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH a,Business Strategy Analyst,Germany,04-04-2026,Hiring Manager
it-structure Prozesslösungen GmbH b,Analytics Executive,Germany,04-04-2026,Hiring Manager
ISTEC Industrielle Software-Technik GmbH a,Operations Consultant,Germany,04-04-2026,Hiring Manager
