company_name,role,country,date,hr_name
ondeso GmbH – Client Management System – Software für OT a,Machine Learning Engineer,Germany,10-04-2026,Hiring Manager
cs concept GmbH a,Computer Vision Engineer,Germany,10-04-2026,Hiring Manager
Ramge Software Distribution GmbH & Co. KG a,AI Engineer,Germany,10-04-2026,Hiring Manager
Ramge Software Distribution GmbH & Co. KG b,Deep Learning Engineer,Germany,10-04-2026,Hiring Manager
NoseDat a,Data Scientist,Germany,10-04-2026,Hiring Manager
Gefasoft Engineering GmbH a,Applied AI Engineer,Germany,10-04-2026,Hiring Manager
MIK Web a,NLP Engineer,Germany,10-04-2026,Hiring Manager
GEFASOFT Automation and Software GmbH Regensburg a,AI Solutions Engineer,Germany,10-04-2026,Hiring Manager
Selbstdenker AG a,ML Research Engineer,Germany,10-04-2026,Hiring Manager
Smart IT Team GmbH & Co. KG a,Vision AI Engineer,Germany,10-04-2026,Hiring Manager
OptWare GmbH a,Edge AI Engineer,Germany,10-04-2026,Hiring Manager
Force Net GmbH a,AI Developer,Germany,10-04-2026,Hiring Manager
coliex systems GmbH a,ML Engineer Computer Vision,Germany,10-04-2026,Hiring Manager
info/matik - Automatik durch Informatik a,AI Platform Engineer,Germany,10-04-2026,Hiring Manager
CRITEX GmbH a,Data and AI Engineer,Germany,10-04-2026,Hiring Manager
CRITEX GmbH b,AI Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH c,Intelligent Systems Engineer,Germany,10-04-2026,Hiring Manager
CRITEX GmbH d,AI Research Scientist,Germany,10-04-2026,Hiring Manager
CRITEX GmbH e,Computer Vision Research Engineer,Germany,10-04-2026,Hiring Manager
CRITEX GmbH f,AI Software Engineer,Germany,10-04-2026,Hiring Manager
CRITEX GmbH g,Machine Learning Engineer,Germany,10-04-2026,Hiring Manager
CRITEX GmbH h,Computer Vision Engineer,Germany,10-04-2026,Hiring Manager
CRITEX GmbH i,AI Engineer,Germany,10-04-2026,Hiring Manager
CRITEX GmbH j,Deep Learning Engineer,Germany,10-04-2026,Hiring Manager
CRITEX GmbH k,Data Scientist,Germany,10-04-2026,Hiring Manager
42 Coding Solutions GmbH | App- & Softwareentwicklung a,Applied AI Engineer,Germany,10-04-2026,Hiring Manager
OPTITOOL GmbH a,NLP Engineer,Germany,10-04-2026,Hiring Manager
OPTITOOL GmbH b,AI Solutions Engineer,Germany,10-04-2026,Hiring Manager
OPTITOOL GmbH c,ML Research Engineer,Germany,10-04-2026,Hiring Manager
OPTITOOL GmbH d,Vision AI Engineer,Germany,10-04-2026,Hiring Manager
Eibl-IT GmbH a,Edge AI Engineer,Germany,10-04-2026,Hiring Manager
IN-Solution GmbH a,AI Developer,Germany,10-04-2026,Hiring Manager
neustifter.systems | IT-Systemhaus Regensburg a,ML Engineer Computer Vision,Germany,10-04-2026,Hiring Manager
neustifter.systems | IT-Systemhaus Regensburg b,AI Platform Engineer,Germany,10-04-2026,Hiring Manager
Number42 GmbH a,Data and AI Engineer,Germany,10-04-2026,Hiring Manager
Number42 GmbH b,AI Consultant,Germany,10-04-2026,Hiring Manager
compustore Systems a,Intelligent Systems Engineer,Germany,10-04-2026,Hiring Manager
Comsysto Reply GmbH a,AI Research Scientist,Germany,10-04-2026,Hiring Manager
8Solutions Internet Service Provider a,Computer Vision Research Engineer,Germany,10-04-2026,Hiring Manager
8Solutions Internet Service Provider b,AI Software Engineer,Germany,10-04-2026,Hiring Manager
TM3 Software GmbH b,Machine Learning Engineer,Germany,10-04-2026,Hiring Manager
Graupner Software Engineering a,Computer Vision Engineer,Germany,10-04-2026,Hiring Manager
BITS & BYTES EDV GmbH - IT-Systemhaus a,AI Engineer,Germany,10-04-2026,Hiring Manager
Projekt 29 GmbH & Co. KG a,Deep Learning Engineer,Germany,10-04-2026,Hiring Manager
Ebbinger Webdesign und Digitale Medien a,Data Scientist,Germany,10-04-2026,Hiring Manager
"Fabitech IT Security, Managed Services - Fabian Breitenberger a",Applied AI Engineer,Germany,10-04-2026,Hiring Manager
letterplot a,NLP Engineer,Germany,10-04-2026,Hiring Manager
MGM-Custom a,AI Solutions Engineer,Germany,10-04-2026,Hiring Manager
Blue Panda a,ML Research Engineer,Germany,10-04-2026,Hiring Manager
ASMPT AMICRA GmbH a,Vision AI Engineer,Germany,10-04-2026,Hiring Manager
Xtreme Secure GmbH a,Edge AI Engineer,Germany,10-04-2026,Hiring Manager
media21 Onlinedienste e.K. a,AI Developer,Germany,10-04-2026,Hiring Manager
Conrad Profistore Regensburg a,ML Engineer Computer Vision,Germany,10-04-2026,Hiring Manager
Conrad Profistore Regensburg b,AI Platform Engineer,Germany,10-04-2026,Hiring Manager
Puzzles Design&Media Michael Lieb a,Data and AI Engineer,Germany,10-04-2026,Hiring Manager
Digital Service Regensburg a,AI Consultant,Germany,10-04-2026,Hiring Manager
Alex Velitchko Computerhilfe a,Intelligent Systems Engineer,Germany,10-04-2026,Hiring Manager
GdbR Bogner Märkl a,AI Research Scientist,Germany,10-04-2026,Hiring Manager
FERCHAU GmbH a,Computer Vision Research Engineer,Germany,10-04-2026,Hiring Manager
FAVORIT.network GmbH a,AI Software Engineer,Germany,10-04-2026,Hiring Manager
DermoScan GmbH a,Machine Learning Engineer,Germany,10-04-2026,Hiring Manager
SanData EDV-Systemhaus GmbH a,Computer Vision Engineer,Germany,10-04-2026,Hiring Manager
Computy GmbH & Co. KG a,AI Engineer,Germany,10-04-2026,Hiring Manager
Bechtle IT-Systemhaus Würzburg a,Deep Learning Engineer,Germany,10-04-2026,Hiring Manager
InnoBrain GmbH a,Data Scientist,Germany,10-04-2026,Hiring Manager
e2n a,Applied AI Engineer,Germany,10-04-2026,Hiring Manager
e2n b,NLP Engineer,Germany,10-04-2026,Hiring Manager
Haase IT Solutions GmbH a,AI Solutions Engineer,Germany,10-04-2026,Hiring Manager
Solus Software GmbH a,ML Research Engineer,Germany,10-04-2026,Hiring Manager
WSW Software GmbH a,Vision AI Engineer,Germany,10-04-2026,Hiring Manager
Nimbits GmbH a,Edge AI Engineer,Germany,10-04-2026,Hiring Manager
snapAddy a,AI Developer,Germany,10-04-2026,Hiring Manager
Flexus AG a,ML Engineer Computer Vision,Germany,10-04-2026,Hiring Manager
illucIT Software a,AI Platform Engineer,Germany,10-04-2026,Hiring Manager
Hannecke IT Solutions GmbH a,Data and AI Engineer,Germany,10-04-2026,Hiring Manager
GeSi Software GmbH a,AI Consultant,Germany,10-04-2026,Hiring Manager
INOSYS Innovative Computersysteme GmbH a,Intelligent Systems Engineer,Germany,10-04-2026,Hiring Manager
Algorit GmbH & Co. KG a,AI Research Scientist,Germany,10-04-2026,Hiring Manager
anaptis GmbH a,Computer Vision Research Engineer,Germany,10-04-2026,Hiring Manager
anaptis GmbH b,AI Software Engineer,Germany,10-04-2026,Hiring Manager
IBIS Prof. Thome AG - SAP-Systemanalysen a,Machine Learning Engineer,Germany,10-04-2026,Hiring Manager
Datamesh a,Computer Vision Engineer,Germany,10-04-2026,Hiring Manager
fidion GmbH Die Softwareschmiede in Franken a,AI Engineer,Germany,10-04-2026,Hiring Manager
IT-Projektschmiede a,Deep Learning Engineer,Germany,10-04-2026,Hiring Manager
Noxum GmbH a,Data Scientist,Germany,10-04-2026,Hiring Manager
Noxum GmbH b,Applied AI Engineer,Germany,10-04-2026,Hiring Manager
Lorey Computer - Malersoftware - Dachdeckersoftware a,NLP Engineer,Germany,10-04-2026,Hiring Manager
Hampel Software Engineering a,AI Solutions Engineer,Germany,10-04-2026,Hiring Manager
MetaComp Würzburg GmbH - LTG a,ML Research Engineer,Germany,10-04-2026,Hiring Manager
MetaComp Würzburg GmbH - LTG b,Vision AI Engineer,Germany,10-04-2026,Hiring Manager
WVV iT solutions a,Edge AI Engineer,Germany,10-04-2026,Hiring Manager
solvatio AG a,AI Developer,Germany,10-04-2026,Hiring Manager
webfactor media GmbH a,ML Engineer Computer Vision,Germany,10-04-2026,Hiring Manager
IT-QC GmbH a,AI Platform Engineer,Germany,10-04-2026,Hiring Manager
cDev GmbH a,Data and AI Engineer,Germany,10-04-2026,Hiring Manager
Mayflower GmbH b,Intelligent Systems Engineer,Germany,10-04-2026,Hiring Manager
CHW Computerhaus Würzburg GmbH a,AI Research Scientist,Germany,10-04-2026,Hiring Manager
MINOVA Information Services GmbH a,Computer Vision Research Engineer,Germany,10-04-2026,Hiring Manager
ososoft GmbH a,AI Software Engineer,Germany,10-04-2026,Hiring Manager
