company_name,role,country,date,hr_name
Bluechip Systems FZE,Senior Business Consultant,UAE,10-04-2026,Hiring Manager
Datailer Technologies,Management Consultant,UAE,10-04-2026,Hiring Manager
Live Auditors & CAs | Ajman | UAE Audit Partner | Proven Corporate Tax Advisors | Tally GOLD Partner in UAE,Business Analyst,UAE,10-04-2026,Hiring Manager
Live Auditors & CAs | Ajman | UAE Audit Partner | Proven Corporate Tax Advisors | Tally GOLD Partner in UAE - a,Growth Consultant,UAE,10-04-2026,Hiring Manager
Avaibe LLC,Digital Transformation Consultant,UAE,10-04-2026,Hiring Manager
Micropro Software Solutions. Ltd. (UAE),PMO Consultant,UAE,10-04-2026,Hiring Manager
Ali 4 Solutions FZE,Business Strategy Manager,UAE,10-04-2026,Hiring Manager
Innotech Solutions FZC,Engagement Manager,UAE,10-04-2026,Hiring Manager
eTCS - Elegant Information Technology Consultancy Services,Senior Business Consultant,UAE,10-04-2026,Hiring Manager
eTCS - Elegant Information Technology Consultancy Services - a,Strategy Consultant,UAE,10-04-2026,Hiring Manager
Ajman Free Zone B1 Symphony International Fze,Management Consultant,UAE,10-04-2026,Hiring Manager
Arcture Technologies,Growth Consultant,UAE,10-04-2026,Hiring Manager
Games Store,Digital Transformation Consultant,UAE,10-04-2026,Hiring Manager
Beez Global,PMO Consultant,UAE,10-04-2026,Hiring Manager
BodenAx Solutions,Strategy & Operations Consultant,UAE,10-04-2026,Hiring Manager
Jupiter Business Systems FZC,Business Strategy Manager,UAE,10-04-2026,Hiring Manager
FTSITS LLC,Engagement Manager,UAE,10-04-2026,Hiring Manager
RAKinTECH.com IT Solutions,Senior Business Consultant,UAE,10-04-2026,Hiring Manager
"PERFECT IT SOLUTIONS -computer sales, service and Networking",Strategy Consultant,UAE,10-04-2026,Hiring Manager
Zain Technology Computers LLC - CCTV & IT Solution Provider Ras Al Khaimah,Management Consultant,UAE,10-04-2026,Hiring Manager
AppStack IT Services,Business Analyst,UAE,10-04-2026,Hiring Manager
Infovision Computers,Growth Consultant,UAE,10-04-2026,Hiring Manager
Infovision Computers - a,Digital Transformation Consultant,UAE,10-04-2026,Hiring Manager
ziSprink IT Solutions,PMO Consultant,UAE,10-04-2026,Hiring Manager
Vinci Solutions,Strategy & Operations Consultant,UAE,10-04-2026,Hiring Manager
"KIWI Design and Programming - (Software's, Digital Marketing, Branding)",Business Strategy Manager,UAE,10-04-2026,Hiring Manager
Techno I Solutions,Engagement Manager,UAE,10-04-2026,Hiring Manager
AL FALAK COMPUTER LLC,Senior Business Consultant,UAE,10-04-2026,Hiring Manager
Flock FZ LLC,Strategy Consultant,UAE,10-04-2026,Hiring Manager
PROQITS,Management Consultant,UAE,10-04-2026,Hiring Manager
PROQITS - a,Business Analyst,UAE,10-04-2026,Hiring Manager
Al Hayat Computer,Growth Consultant,UAE,10-04-2026,Hiring Manager
InvoSol Global FZ-LLC,Digital Transformation Consultant,UAE,10-04-2026,Hiring Manager
iSolve Technologies FZ LLC,PMO Consultant,UAE,10-04-2026,Hiring Manager
Emerald Services FZ - c,Strategy Consultant,UAE,10-04-2026,Hiring Manager
iSTYLE Apple Premium Reseller - Manar Mall,Business Analyst,UAE,10-04-2026,Hiring Manager
Success Business Advisors FZ-LLC,Growth Consultant,UAE,10-04-2026,Hiring Manager
GOOPIT SOFTWARE LLC,Digital Transformation Consultant,UAE,10-04-2026,Hiring Manager
Newtek Systems,PMO Consultant,UAE,10-04-2026,Hiring Manager
Well Spring Digital Technologies,Strategy & Operations Consultant,UAE,10-04-2026,Hiring Manager
Appyance Technology FZ LLC,Business Strategy Manager,UAE,10-04-2026,Hiring Manager
BIXBRAIN SOLUTIONS LTD - a,Senior Business Consultant,UAE,10-04-2026,Hiring Manager
Al Ebdaa Information Technology,Strategy Consultant,UAE,10-04-2026,Hiring Manager
Ayka Technologies,Management Consultant,UAE,10-04-2026,Hiring Manager
DXwand,Growth Consultant,UAE,10-04-2026,Hiring Manager
RADON COMPUTER,Digital Transformation Consultant,UAE,10-04-2026,Hiring Manager
AMIS Innovations FZ-LLC,PMO Consultant,UAE,10-04-2026,Hiring Manager
FLDFORCE,Strategy & Operations Consultant,UAE,10-04-2026,Hiring Manager
Al Manal Technologies,Business Strategy Manager,UAE,10-04-2026,Hiring Manager
ساينس سوفت ScienceSoft,Engagement Manager,UAE,10-04-2026,Hiring Manager
Al Rayan IT Solutions,Senior Business Consultant,UAE,10-04-2026,Hiring Manager
GTECH Advanced Systems LLC,Strategy Consultant,UAE,10-04-2026,Hiring Manager
GTECH Advanced Systems LLC - a,Management Consultant,UAE,10-04-2026,Hiring Manager
GTECH Advanced Systems LLC - b,Business Analyst,UAE,10-04-2026,Hiring Manager
MOURI Tech FZ LLC,Growth Consultant,UAE,10-04-2026,Hiring Manager
MOURI Tech FZ LLC - a,Digital Transformation Consultant,UAE,10-04-2026,Hiring Manager
SwiftAnt FZ LLC,PMO Consultant,UAE,10-04-2026,Hiring Manager
Quick Rankers LLC,Strategy & Operations Consultant,UAE,10-04-2026,Hiring Manager
Flash Group IT Company,Business Strategy Manager,UAE,10-04-2026,Hiring Manager
Flash Group IT Company - a,Engagement Manager,UAE,10-04-2026,Hiring Manager
Dotcom IT Solutions & Smart System LLC,Senior Business Consultant,UAE,10-04-2026,Hiring Manager
Dotcom IT Solutions & Smart System LLC - a,Strategy Consultant,UAE,10-04-2026,Hiring Manager
Smart Global Technologies L.L.C,Management Consultant,UAE,10-04-2026,Hiring Manager
NineSummits,Business Analyst,UAE,10-04-2026,Hiring Manager
Hextech Computer Trading LLC,Growth Consultant,UAE,10-04-2026,Hiring Manager
ROWAYYA AL MUSTAQBAL,Digital Transformation Consultant,UAE,10-04-2026,Hiring Manager
ROWAYYA AL MUSTAQBAL - b,Strategy & Operations Consultant,UAE,10-04-2026,Hiring Manager
Solve Garage Software,Business Strategy Manager,UAE,10-04-2026,Hiring Manager
Empeller IT Solutions LLC,Engagement Manager,UAE,10-04-2026,Hiring Manager
Emkhan Digital,Senior Business Consultant,UAE,10-04-2026,Hiring Manager
Telelogix IT Services,Management Consultant,UAE,10-04-2026,Hiring Manager
Telelogix IT Services - a,Business Analyst,UAE,10-04-2026,Hiring Manager
Telelogix IT Services - b,Growth Consultant,UAE,10-04-2026,Hiring Manager
Cybernetics Solutions FZCO,Digital Transformation Consultant,UAE,10-04-2026,Hiring Manager
"Glidix Technologies LLC, Dubai",PMO Consultant,UAE,10-04-2026,Hiring Manager
"Generative Design Solutions Middle East | Software Company | Solidworks Resellers, Solidworks Training, BIM Consulting",Strategy & Operations Consultant,UAE,10-04-2026,Hiring Manager
TechnoMatters,Business Strategy Manager,UAE,10-04-2026,Hiring Manager
TechnoMatters - a,Engagement Manager,UAE,10-04-2026,Hiring Manager
Web Account Store Solutions-FZCO | Best Software Development Company,Senior Business Consultant,UAE,10-04-2026,Hiring Manager
Web Account Store Solutions-FZCO | Best Software Development Company - a,Strategy Consultant,UAE,10-04-2026,Hiring Manager
"Codelattice Digital Solutions - Zoho Partner, Zoho Consultants & Contentful Partner - Dubai, U.A.E.",Management Consultant,UAE,10-04-2026,Hiring Manager
Technoid FZE - Website Design & Development Company in Dubai,Business Analyst,UAE,10-04-2026,Hiring Manager
MEMITS Solutions LLC,Growth Consultant,UAE,10-04-2026,Hiring Manager
iPOS Point Of Sale,Digital Transformation Consultant,UAE,10-04-2026,Hiring Manager
Educore Systems and Technologies,PMO Consultant,UAE,10-04-2026,Hiring Manager
ClusterKnot Technologies,Strategy & Operations Consultant,UAE,10-04-2026,Hiring Manager
ClusterKnot Technologies - a,Business Strategy Manager,UAE,10-04-2026,Hiring Manager
DOT IT GLOBAL BUSINESS SOLUTIONS - FZCO | Web Design and Development Company in Dubai,Engagement Manager,UAE,10-04-2026,Hiring Manager
