company_name,role,country,date,hr_name
Das 369 Studio - Softwareentwicklung - KI Agenten - Regensburg c,UI/UX Designer,Germany,10-04-2026,Hiring Manager
Bechtle IT-Systemhaus Regensburg a,Product Designer,Germany,10-04-2026,Hiring Manager
ondeso GmbH – Client Management System – Software für OT a,UX Designer,Germany,10-04-2026,Hiring Manager
cs concept GmbH a,UI Designer,Germany,10-04-2026,Hiring Manager
Ramge Software Distribution GmbH & Co. KG a,Interaction Designer,Germany,10-04-2026,Hiring Manager
Ramge Software Distribution GmbH & Co. KG b,Visual Designer (UI),Germany,10-04-2026,Hiring Manager
NoseDat a,UX Researcher (Junior),Germany,10-04-2026,Hiring Manager
Gefasoft Engineering GmbH a,Product Design Specialist,Germany,10-04-2026,Hiring Manager
MIK Web a,UX/UI Consultant,Germany,10-04-2026,Hiring Manager
GEFASOFT Automation and Software GmbH Regensburg a,Digital Product Designer,Germany,10-04-2026,Hiring Manager
Selbstdenker AG a,Experience Designer,Germany,10-04-2026,Hiring Manager
Smart IT Team GmbH & Co. KG a,Design System Designer,Germany,10-04-2026,Hiring Manager
OptWare GmbH a,Mobile App Designer,Germany,10-04-2026,Hiring Manager
Force Net GmbH a,Web Designer (UI/UX),Germany,10-04-2026,Hiring Manager
coliex systems GmbH a,Human-Centered Design Specialist,Germany,10-04-2026,Hiring Manager
info/matik - Automatik durch Informatik a,UX Analyst,Germany,10-04-2026,Hiring Manager
CRITEX GmbH a,Usability Analyst,Germany,10-04-2026,Hiring Manager
CRITEX GmbH b,Customer Experience Designer,Germany,10-04-2026,Hiring Manager
CRITEX GmbH c,Interface Designer,Germany,10-04-2026,Hiring Manager
CRITEX GmbH d,Creative Designer (Digital),Germany,10-04-2026,Hiring Manager
CRITEX GmbH e,UI/UX Designer,Germany,10-04-2026,Hiring Manager
CRITEX GmbH f,Product Designer,Germany,10-04-2026,Hiring Manager
CRITEX GmbH g,UX Designer,Germany,10-04-2026,Hiring Manager
CRITEX GmbH h,UI Designer,Germany,10-04-2026,Hiring Manager
CRITEX GmbH i,Interaction Designer,Germany,10-04-2026,Hiring Manager
CRITEX GmbH j,Visual Designer (UI),Germany,10-04-2026,Hiring Manager
CRITEX GmbH k,UX Researcher (Junior),Germany,10-04-2026,Hiring Manager
42 Coding Solutions GmbH | App- & Softwareentwicklung a,Product Design Specialist,Germany,10-04-2026,Hiring Manager
OPTITOOL GmbH a,UX/UI Consultant,Germany,10-04-2026,Hiring Manager
OPTITOOL GmbH b,Digital Product Designer,Germany,10-04-2026,Hiring Manager
OPTITOOL GmbH c,Experience Designer,Germany,10-04-2026,Hiring Manager
OPTITOOL GmbH d,Design System Designer,Germany,10-04-2026,Hiring Manager
Eibl-IT GmbH a,Mobile App Designer,Germany,10-04-2026,Hiring Manager
IN-Solution GmbH a,Web Designer (UI/UX),Germany,10-04-2026,Hiring Manager
neustifter.systems | IT-Systemhaus Regensburg a,Human-Centered Design Specialist,Germany,10-04-2026,Hiring Manager
neustifter.systems | IT-Systemhaus Regensburg b,UX Analyst,Germany,10-04-2026,Hiring Manager
Number42 GmbH a,Usability Analyst,Germany,10-04-2026,Hiring Manager
Number42 GmbH b,Customer Experience Designer,Germany,10-04-2026,Hiring Manager
compustore Systems a,Interface Designer,Germany,10-04-2026,Hiring Manager
Comsysto Reply GmbH a,Creative Designer (Digital),Germany,10-04-2026,Hiring Manager
8Solutions Internet Service Provider a,UI/UX Designer,Germany,10-04-2026,Hiring Manager
8Solutions Internet Service Provider b,Product Designer,Germany,10-04-2026,Hiring Manager
TM3 Software GmbH b,UX Designer,Germany,10-04-2026,Hiring Manager
Graupner Software Engineering a,UI Designer,Germany,10-04-2026,Hiring Manager
BITS & BYTES EDV GmbH - IT-Systemhaus a,Interaction Designer,Germany,10-04-2026,Hiring Manager
Projekt 29 GmbH & Co. KG a,Visual Designer (UI),Germany,10-04-2026,Hiring Manager
Ebbinger Webdesign und Digitale Medien a,UX Researcher (Junior),Germany,10-04-2026,Hiring Manager
"Fabitech IT Security, Managed Services - Fabian Breitenberger a",Product Design Specialist,Germany,10-04-2026,Hiring Manager
letterplot a,UX/UI Consultant,Germany,10-04-2026,Hiring Manager
MGM-Custom a,Digital Product Designer,Germany,10-04-2026,Hiring Manager
Blue Panda a,Experience Designer,Germany,10-04-2026,Hiring Manager
ASMPT AMICRA GmbH a,Design System Designer,Germany,10-04-2026,Hiring Manager
Xtreme Secure GmbH a,Mobile App Designer,Germany,10-04-2026,Hiring Manager
media21 Onlinedienste e.K. a,Web Designer (UI/UX),Germany,10-04-2026,Hiring Manager
Conrad Profistore Regensburg a,Human-Centered Design Specialist,Germany,10-04-2026,Hiring Manager
Conrad Profistore Regensburg b,UX Analyst,Germany,10-04-2026,Hiring Manager
Puzzles Design&Media Michael Lieb a,Usability Analyst,Germany,10-04-2026,Hiring Manager
Digital Service Regensburg a,Customer Experience Designer,Germany,10-04-2026,Hiring Manager
Alex Velitchko Computerhilfe a,Interface Designer,Germany,10-04-2026,Hiring Manager
GdbR Bogner Märkl a,Creative Designer (Digital),Germany,10-04-2026,Hiring Manager
FERCHAU GmbH a,UI/UX Designer,Germany,10-04-2026,Hiring Manager
FAVORIT.network GmbH a,Product Designer,Germany,10-04-2026,Hiring Manager
DermoScan GmbH a,UX Designer,Germany,10-04-2026,Hiring Manager
SanData EDV-Systemhaus GmbH a,UI Designer,Germany,10-04-2026,Hiring Manager
Computy GmbH & Co. KG a,Interaction Designer,Germany,10-04-2026,Hiring Manager
Bechtle IT-Systemhaus Würzburg a,Visual Designer (UI),Germany,10-04-2026,Hiring Manager
InnoBrain GmbH a,UX Researcher (Junior),Germany,10-04-2026,Hiring Manager
e2n a,Product Design Specialist,Germany,10-04-2026,Hiring Manager
e2n b,UX/UI Consultant,Germany,10-04-2026,Hiring Manager
Haase IT Solutions GmbH a,Digital Product Designer,Germany,10-04-2026,Hiring Manager
Solus Software GmbH a,Experience Designer,Germany,10-04-2026,Hiring Manager
WSW Software GmbH a,Design System Designer,Germany,10-04-2026,Hiring Manager
Nimbits GmbH a,Mobile App Designer,Germany,10-04-2026,Hiring Manager
snapAddy a,Web Designer (UI/UX),Germany,10-04-2026,Hiring Manager
Flexus AG a,Human-Centered Design Specialist,Germany,10-04-2026,Hiring Manager
illucIT Software a,UX Analyst,Germany,10-04-2026,Hiring Manager
Hannecke IT Solutions GmbH a,Usability Analyst,Germany,10-04-2026,Hiring Manager
GeSi Software GmbH a,Customer Experience Designer,Germany,10-04-2026,Hiring Manager
INOSYS Innovative Computersysteme GmbH a,Interface Designer,Germany,10-04-2026,Hiring Manager
Algorit GmbH & Co. KG a,Creative Designer (Digital),Germany,10-04-2026,Hiring Manager
anaptis GmbH a,UI/UX Designer,Germany,10-04-2026,Hiring Manager
anaptis GmbH b,Product Designer,Germany,10-04-2026,Hiring Manager
IBIS Prof. Thome AG - SAP-Systemanalysen a,UX Designer,Germany,10-04-2026,Hiring Manager
Datamesh a,UI Designer,Germany,10-04-2026,Hiring Manager
fidion GmbH Die Softwareschmiede in Franken a,Interaction Designer,Germany,10-04-2026,Hiring Manager
IT-Projektschmiede a,Visual Designer (UI),Germany,10-04-2026,Hiring Manager
Noxum GmbH a,UX Researcher (Junior),Germany,10-04-2026,Hiring Manager
Noxum GmbH b,Product Design Specialist,Germany,10-04-2026,Hiring Manager
Lorey Computer - Malersoftware - Dachdeckersoftware a,UX/UI Consultant,Germany,10-04-2026,Hiring Manager
Hampel Software Engineering a,Digital Product Designer,Germany,10-04-2026,Hiring Manager
MetaComp Würzburg GmbH - LTG a,Experience Designer,Germany,10-04-2026,Hiring Manager
MetaComp Würzburg GmbH - LTG b,Design System Designer,Germany,10-04-2026,Hiring Manager
WVV iT solutions a,Mobile App Designer,Germany,10-04-2026,Hiring Manager
solvatio AG a,Web Designer (UI/UX),Germany,10-04-2026,Hiring Manager
webfactor media GmbH a,Human-Centered Design Specialist,Germany,10-04-2026,Hiring Manager
IT-QC GmbH a,UX Analyst,Germany,10-04-2026,Hiring Manager
cDev GmbH a,Usability Analyst,Germany,10-04-2026,Hiring Manager
Mayflower GmbH b,Interface Designer,Germany,10-04-2026,Hiring Manager
CHW Computerhaus Würzburg GmbH a,Creative Designer (Digital),Germany,10-04-2026,Hiring Manager
