company_name,role,country,date,hr_name
Innoface AG a,Administrative Officer,Germany,03-04-2026,Hiring Manager
Innoface AG b,Office Administrator,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG a,Operations Executive,Germany,03-04-2026,Hiring Manager
generic.de software technologies AG b,Administrative Executive,Germany,03-04-2026,Hiring Manager
arconsis a,Office Coordinator,Germany,03-04-2026,Hiring Manager
arconsis b,Front Desk Executive,Germany,03-04-2026,Hiring Manager
cjt Systemsoftware AG a,Administration Assistant,Germany,03-04-2026,Hiring Manager
IT-Choice Software GmbH a,Operations Coordinator,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH a,Records Management Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH b,Office Operations Specialist,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH c,Admin Support Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH d,Back Office Executive,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH e,Administrative Analyst,Germany,03-04-2026,Hiring Manager
Vector Informatik GmbH f,Business Support Executive,Germany,03-04-2026,Hiring Manager
