company_name,role,country,date,hr_name
Das 369 Studio - Softwareentwicklung - KI Agenten - Regensburg c,SAP Ariba Consultant,Germany,10-04-2026,Hiring Manager
Bechtle IT-Systemhaus Regensburg a,SAP Ariba Functional Consultant,Germany,10-04-2026,Hiring Manager
ondeso GmbH – Client Management System – Software für OT a,SAP Procurement Consultant,Germany,10-04-2026,Hiring Manager
cs concept GmbH a,SAP S2C Consultant,Germany,10-04-2026,Hiring Manager
Ramge Software Distribution GmbH & Co. KG a,SAP P2P Consultant,Germany,10-04-2026,Hiring Manager
Ramge Software Distribution GmbH & Co. KG b,SAP SLP Consultant,Germany,10-04-2026,Hiring Manager
NoseDat a,SAP Source to Contract Consultant,Germany,10-04-2026,Hiring Manager
Gefasoft Engineering GmbH a,SAP Procure to Pay Consultant,Germany,10-04-2026,Hiring Manager
MIK Web a,SAP S/4HANA Procurement Consultant,Germany,10-04-2026,Hiring Manager
GEFASOFT Automation and Software GmbH Regensburg a,SAP MM Ariba Integration Consultant,Germany,10-04-2026,Hiring Manager
Selbstdenker AG a,SAP Ariba Integration Consultant,Germany,10-04-2026,Hiring Manager
Smart IT Team GmbH & Co. KG a,SAP Functional Consultant Procurement,Germany,10-04-2026,Hiring Manager
OptWare GmbH a,SAP Cloud Procurement Consultant,Germany,10-04-2026,Hiring Manager
Force Net GmbH a,SAP Ariba Support Consultant,Germany,10-04-2026,Hiring Manager
coliex systems GmbH a,SAP Ariba Solution Consultant,Germany,10-04-2026,Hiring Manager
info/matik - Automatik durch Informatik a,SAP Procurement Transformation Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH a,SAP Ariba Implementation Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH b,SAP Ariba Sourcing Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH c,SAP Ariba Contract Management Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH d,SAP Supply Chain Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH e,SAP Ariba Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH f,SAP Ariba Functional Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH g,SAP Procurement Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH h,SAP S2C Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH i,SAP P2P Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH j,SAP SLP Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH k,SAP Source to Contract Consultant,Germany,10-04-2026,Hiring Manager
42 Coding Solutions GmbH | App- & Softwareentwicklung a,SAP Procure to Pay Consultant,Germany,10-04-2026,Hiring Manager
OPTITOOL GmbH a,SAP S/4HANA Procurement Consultant,Germany,10-04-2026,Hiring Manager
OPTITOOL GmbH b,SAP MM Ariba Integration Consultant,Germany,10-04-2026,Hiring Manager
OPTITOOL GmbH c,SAP Ariba Integration Consultant,Germany,10-04-2026,Hiring Manager
OPTITOOL GmbH d,SAP Functional Consultant Procurement,Germany,10-04-2026,Hiring Manager
Eibl-IT GmbH a,SAP Cloud Procurement Consultant,Germany,10-04-2026,Hiring Manager
IN-Solution GmbH a,SAP Ariba Support Consultant,Germany,10-04-2026,Hiring Manager
neustifter.systems | IT-Systemhaus Regensburg a,SAP Ariba Solution Consultant,Germany,10-04-2026,Hiring Manager
neustifter.systems | IT-Systemhaus Regensburg b,SAP Procurement Transformation Consultant,Germany,10-04-2026,Hiring Manager
Number42 GmbH a,SAP Ariba Implementation Consultant,Germany,10-04-2026,Hiring Manager
Number42 GmbH b,SAP Ariba Sourcing Consultant,Germany,10-04-2026,Hiring Manager
compustore Systems a,SAP Ariba Contract Management Consultant,Germany,10-04-2026,Hiring Manager
Comsysto Reply GmbH a,SAP Supply Chain Consultant,Germany,10-04-2026,Hiring Manager
8Solutions Internet Service Provider a,SAP Ariba Consultant,Germany,10-04-2026,Hiring Manager
8Solutions Internet Service Provider b,SAP Ariba Functional Consultant,Germany,10-04-2026,Hiring Manager
TM3 Software GmbH b,SAP Procurement Consultant,Germany,10-04-2026,Hiring Manager
Graupner Software Engineering a,SAP S2C Consultant,Germany,10-04-2026,Hiring Manager
BITS & BYTES EDV GmbH - IT-Systemhaus a,SAP P2P Consultant,Germany,10-04-2026,Hiring Manager
Projekt 29 GmbH & Co. KG a,SAP SLP Consultant,Germany,10-04-2026,Hiring Manager
Ebbinger Webdesign und Digitale Medien a,SAP Source to Contract Consultant,Germany,10-04-2026,Hiring Manager
"Fabitech IT Security, Managed Services - Fabian Breitenberger a",SAP Procure to Pay Consultant,Germany,10-04-2026,Hiring Manager
letterplot a,SAP S/4HANA Procurement Consultant,Germany,10-04-2026,Hiring Manager
MGM-Custom a,SAP MM Ariba Integration Consultant,Germany,10-04-2026,Hiring Manager
Blue Panda a,SAP Ariba Integration Consultant,Germany,10-04-2026,Hiring Manager
ASMPT AMICRA GmbH a,SAP Functional Consultant Procurement,Germany,10-04-2026,Hiring Manager
