company_name,role,country,date,hr_name
Bechtle IT-Systemhaus Regensburg a,Lead Data Analyst,Germany,10-04-2026,Hiring Manager
ondeso GmbH – Client Management System – Software für OT a,Senior Data Analyst,Germany,10-04-2026,Hiring Manager
cs concept GmbH a,Business Intelligence Analyst,Germany,10-04-2026,Hiring Manager
Ramge Software Distribution GmbH & Co. KG a,Data Analyst,Germany,10-04-2026,Hiring Manager
Ramge Software Distribution GmbH & Co. KG b,Analytics Consultant,Germany,10-04-2026,Hiring Manager
NoseDat a,Reporting Analyst,Germany,10-04-2026,Hiring Manager
Gefasoft Engineering GmbH a,Data Governance Analyst,Germany,10-04-2026,Hiring Manager
MIK Web a,BI Developer,Germany,10-04-2026,Hiring Manager
GEFASOFT Automation and Software GmbH Regensburg a,Data Quality Analyst,Germany,10-04-2026,Hiring Manager
Selbstdenker AG a,Risk & Compliance Analyst,Germany,10-04-2026,Hiring Manager
Smart IT Team GmbH & Co. KG a,Lead Data Analyst,Germany,10-04-2026,Hiring Manager
OptWare GmbH a,Senior Data Analyst,Germany,10-04-2026,Hiring Manager
Force Net GmbH a,Business Intelligence Analyst,Germany,10-04-2026,Hiring Manager
coliex systems GmbH a,Data Analyst,Germany,10-04-2026,Hiring Manager
info/matik - Automatik durch Informatik a,Analytics Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH a,Reporting Analyst,Germany,10-04-2026,Hiring Manager
CRITEX GmbH b,Data Governance Analyst,Germany,10-04-2026,Hiring Manager
CRITEX GmbH c,BI Developer,Germany,10-04-2026,Hiring Manager
CRITEX GmbH d,Data Quality Analyst,Germany,10-04-2026,Hiring Manager
CRITEX GmbH e,Risk & Compliance Analyst,Germany,10-04-2026,Hiring Manager
CRITEX GmbH f,Lead Data Analyst,Germany,10-04-2026,Hiring Manager
CRITEX GmbH g,Senior Data Analyst,Germany,10-04-2026,Hiring Manager
CRITEX GmbH h,Business Intelligence Analyst,Germany,10-04-2026,Hiring Manager
CRITEX GmbH i,Data Analyst,Germany,10-04-2026,Hiring Manager
CRITEX GmbH j,Analytics Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH k,Reporting Analyst,Germany,10-04-2026,Hiring Manager
42 Coding Solutions GmbH | App- & Softwareentwicklung a,Data Governance Analyst,Germany,10-04-2026,Hiring Manager
OPTITOOL GmbH a,BI Developer,Germany,10-04-2026,Hiring Manager
