company_name,role,country,date,hr_name
FIB Frankfurt International Bank AG a,Cluster Sales Manager,Germany,04-04-2026,Hiring Manager
Quirin Privatbank AG Frankfurt am Main a,Sales Manager Banking,Germany,04-04-2026,Hiring Manager
Quirin Privatbank AG Frankfurt am Main b,Branch Manager,Germany,04-04-2026,Hiring Manager
BANKINGCLUB GmbH - Office Frankfurt a,Retail Banking Manager,Germany,04-04-2026,Hiring Manager
"VakifBank International AG, Wien, Zweigniederlassung Frankfurt am Main a",Relationship Manager Banking,Germany,04-04-2026,Hiring Manager
NIBC Bank N.V. Zweigniederlassung Frankfurt am Main a,Business Development Manager Banking,Germany,04-04-2026,Hiring Manager
BankM AG a,Loan Sales Manager,Germany,04-04-2026,Hiring Manager
Westend Bank AG a,Credit Sales Manager,Germany,04-04-2026,Hiring Manager
AKTIVBANK AG a,Area Sales Manager Banking,Germany,04-04-2026,Hiring Manager
tradias GmbH a,Financial Services Manager,Germany,04-04-2026,Hiring Manager
M Cap Finance Mittelstand III GmbH & Co. KG a,Portfolio Manager Banking,Germany,04-04-2026,Hiring Manager
"Fürstlich Castell'sche Bank, Credit-Casse AG a",Asset Manager Banking,Germany,04-04-2026,Hiring Manager
ICM InvestmentBank AG a,Banking Operations Manager,Germany,04-04-2026,Hiring Manager
Deutsche Bank Wealth Management a,Sales Team Lead Banking,Germany,04-04-2026,Hiring Manager
Bank of China Berlin Branch a,Territory Manager Banking,Germany,04-04-2026,Hiring Manager
Compensation Scheme of German Banks GmbH a,Banking Sales Executive,Germany,04-04-2026,Hiring Manager
Carl Finance GmbH a,Revenue Manager Banking,Germany,04-04-2026,Hiring Manager
Münchener Hypothekenbank eG. a,Client Relationship Manager Banking,Germany,04-04-2026,Hiring Manager
Münchener Hypothekenbank eG. b,Microfinance Manager,Germany,04-04-2026,Hiring Manager
Münchener Hypothekenbank eG. c,Banking Business Manager,Germany,04-04-2026,Hiring Manager
First Berlin F.S.B. Investment-Beratungsgesellschaft mbH a,Cluster Sales Manager,Germany,04-04-2026,Hiring Manager
"Berliner Volksbank Beratungscenter Firmen, Ausland, Gründer, PrivateBanking a",Sales Manager Banking,Germany,04-04-2026,Hiring Manager
Arbeitgeberverband des privaten Bankgewerbes e.V. a,Branch Manager,Germany,04-04-2026,Hiring Manager
Creditplus Bank AG - Filiale München a,Retail Banking Manager,Germany,04-04-2026,Hiring Manager
Quirin Privatbank AG München a,Relationship Manager Banking,Germany,04-04-2026,Hiring Manager
Munich Business & Finance Club e.V. a,Business Development Manager Banking,Germany,04-04-2026,Hiring Manager
LLB Geschäftsstelle München a,Loan Sales Manager,Germany,04-04-2026,Hiring Manager
"Middle East Bank, Munich Branch a",Credit Sales Manager,Germany,04-04-2026,Hiring Manager
Santander Bank a,Area Sales Manager Banking,Germany,04-04-2026,Hiring Manager
a customised modern private bank a,Financial Services Manager,Germany,04-04-2026,Hiring Manager
KochBank GmbH Wertpapierhandelsbank a,Portfolio Manager Banking,Germany,04-04-2026,Hiring Manager
ARTHOS Corporate Finance GmbH a,Asset Manager Banking,Germany,04-04-2026,Hiring Manager
Münchner Bank eG - Filiale Schwabing a,Banking Operations Manager,Germany,04-04-2026,Hiring Manager
"Evangelische Bank eG, München a",Sales Team Lead Banking,Germany,04-04-2026,Hiring Manager
"Evangelische Bank eG, München b",Territory Manager Banking,Germany,04-04-2026,Hiring Manager
a.b.s. Rechenzentrum GmbH a,Banking Sales Executive,Germany,04-04-2026,Hiring Manager
Hamburgische Investitions- und Förderbank a,Revenue Manager Banking,Germany,04-04-2026,Hiring Manager
Creditplus Bank AG - Filiale Hamburg a,Client Relationship Manager Banking,Germany,04-04-2026,Hiring Manager
DNB Hamburg a,Microfinance Manager,Germany,04-04-2026,Hiring Manager
Quirin Privatbank AG Hamburg a,Banking Business Manager,Germany,04-04-2026,Hiring Manager
Private Banking Kongress a,Cluster Sales Manager,Germany,04-04-2026,Hiring Manager
Private Banking Kongress b,Sales Manager Banking,Germany,04-04-2026,Hiring Manager
Private Banking Kongress c,Branch Manager,Germany,04-04-2026,Hiring Manager
Private Banking Kongress d,Retail Banking Manager,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft a,Relationship Manager Banking,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft b,Business Development Manager Banking,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft c,Loan Sales Manager,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft d,Credit Sales Manager,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft e,Area Sales Manager Banking,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft f,Financial Services Manager,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft g,Portfolio Manager Banking,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft h,Asset Manager Banking,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft i,Banking Operations Manager,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft j,Sales Team Lead Banking,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft k,Territory Manager Banking,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft l,Banking Sales Executive,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft m,Revenue Manager Banking,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft n,Client Relationship Manager Banking,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft o,Microfinance Manager,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft p,Banking Business Manager,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft q,Cluster Sales Manager,Germany,04-04-2026,Hiring Manager
DONNER & REUSCHEL Aktiengesellschaft r,Sales Manager Banking,Germany,04-04-2026,Hiring Manager
Danske Bank a,Branch Manager,Germany,04-04-2026,Hiring Manager
Danske Bank b,Retail Banking Manager,Germany,04-04-2026,Hiring Manager
Bank Saderat Iran Zweigniederlassung Hamburg a,Relationship Manager Banking,Germany,04-04-2026,Hiring Manager
Bank Saderat Iran Zweigniederlassung Hamburg b,Business Development Manager Banking,Germany,04-04-2026,Hiring Manager
中国银行汉堡分行 a,Loan Sales Manager,Germany,04-04-2026,Hiring Manager
Hoerner Bank AG - Repräsentanz Hamburg a,Credit Sales Manager,Germany,04-04-2026,Hiring Manager
Braunschweiger Privatbank - Repräsentanz Hamburg a,Area Sales Manager Banking,Germany,04-04-2026,Hiring Manager
LBBW Landesbank Baden-Württemberg (Hamburg) a,Financial Services Manager,Germany,04-04-2026,Hiring Manager
Norddeutsche Edelmetall Scheideanstalt GmbH a,Portfolio Manager Banking,Germany,04-04-2026,Hiring Manager
bfi Inkasso & Factoring Hamburg Versicherung Versandhandel Forderungsmangement a,Asset Manager Banking,Germany,04-04-2026,Hiring Manager
Zwerkbank a,Banking Operations Manager,Germany,04-04-2026,Hiring Manager
Deutsche Personalberatung - DPB - GmbH & Co. KG a,Sales Team Lead Banking,Germany,04-04-2026,Hiring Manager
Deutsche Personalberatung - DPB - GmbH & Co. KG b,Territory Manager Banking,Germany,04-04-2026,Hiring Manager
Deutsche Personalberatung - DPB - GmbH & Co. KG c,Banking Sales Executive,Germany,04-04-2026,Hiring Manager
"Evangelische Bank eG, Hamburg a",Revenue Manager Banking,Germany,04-04-2026,Hiring Manager
"Evangelische Bank eG, Hamburg b",Client Relationship Manager Banking,Germany,04-04-2026,Hiring Manager
"Evangelische Bank eG, Hamburg d",Microfinance Manager,Germany,04-04-2026,Hiring Manager
Quirin Privatbank AG Düsseldorf a,Banking Business Manager,Germany,04-04-2026,Hiring Manager
HSBC Germany Holdings GmbH a,Cluster Sales Manager,Germany,04-04-2026,Hiring Manager
"KBC Bank NV, Niederlassung Deutschland a",Sales Manager Banking,Germany,04-04-2026,Hiring Manager
"KBC Bank NV, Niederlassung Deutschland b",Branch Manager,Germany,04-04-2026,Hiring Manager
"KBC Bank NV, Niederlassung Deutschland c",Retail Banking Manager,Germany,04-04-2026,Hiring Manager
"GarantiBank International N.V. , Niederlassung Düsseldorf a",Relationship Manager Banking,Germany,04-04-2026,Hiring Manager
NRW.BANK a,Business Development Manager Banking,Germany,04-04-2026,Hiring Manager
