company_name,role,country,date,hr_name
ANUMA Regensburg – Softwareentwicklung & IT-Beratung a,SAP MDG Consultant,Germany,10-04-2026,Hiring Manager
trinnovative GmbH a,SAP MDG Technical Lead,Germany,10-04-2026,Hiring Manager
Das 369 Studio - Softwareentwicklung - KI Agenten - Regensburg a,SAP ABAP Consultant,Germany,10-04-2026,Hiring Manager
Das 369 Studio - Softwareentwicklung - KI Agenten - Regensburg b,SAP S/4HANA Consultant,Germany,10-04-2026,Hiring Manager
Das 369 Studio - Softwareentwicklung - KI Agenten - Regensburg c,SAP Data Governance Specialist,Germany,10-04-2026,Hiring Manager
Bechtle IT-Systemhaus Regensburg a,SAP Functional Consultant MDG,Germany,10-04-2026,Hiring Manager
info/matik - Automatik durch Informatik a,SAP Master Data Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH a,SAP MDG Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH b,SAP MDG Technical Lead,Germany,10-04-2026,Hiring Manager
CRITEX GmbH c,SAP ABAP Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH d,SAP S/4HANA Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH e,SAP Data Governance Specialist,Germany,10-04-2026,Hiring Manager
CRITEX GmbH f,SAP Functional Consultant MDG,Germany,10-04-2026,Hiring Manager
CRITEX GmbH g,SAP Integration Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH h,SAP Technical Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH i,SAP Workflow Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH j,SAP Master Data Consultant,Germany,10-04-2026,Hiring Manager
CRITEX GmbH k,SAP MDG Consultant,Germany,10-04-2026,Hiring Manager
42 Coding Solutions GmbH | App- & Softwareentwicklung a,SAP MDG Technical Lead,Germany,10-04-2026,Hiring Manager
OPTITOOL GmbH a,SAP ABAP Consultant,Germany,10-04-2026,Hiring Manager
OPTITOOL GmbH b,SAP S/4HANA Consultant,Germany,10-04-2026,Hiring Manager
OPTITOOL GmbH c,SAP Data Governance Specialist,Germany,10-04-2026,Hiring Manager
OPTITOOL GmbH d,SAP Functional Consultant MDG,Germany,10-04-2026,Hiring Manager
Comsysto Reply GmbH a,SAP S/4HANA Consultant,Germany,10-04-2026,Hiring Manager
8Solutions Internet Service Provider a,SAP Data Governance Specialist,Germany,10-04-2026,Hiring Manager
8Solutions Internet Service Provider b,SAP Functional Consultant MDG,Germany,10-04-2026,Hiring Manager
TM3 Software GmbH b,SAP Integration Consultant,Germany,10-04-2026,Hiring Manager
Graupner Software Engineering a,SAP Technical Consultant,Germany,10-04-2026,Hiring Manager
BITS & BYTES EDV GmbH - IT-Systemhaus a,SAP Workflow Consultant,Germany,10-04-2026,Hiring Manager
Projekt 29 GmbH & Co. KG a,SAP Master Data Consultant,Germany,10-04-2026,Hiring Manager
Ebbinger Webdesign und Digitale Medien a,SAP MDG Consultant,Germany,10-04-2026,Hiring Manager
"Fabitech IT Security, Managed Services - Fabian Breitenberger a",SAP MDG Technical Lead,Germany,10-04-2026,Hiring Manager
letterplot a,SAP ABAP Consultant,Germany,10-04-2026,Hiring Manager
MGM-Custom a,SAP S/4HANA Consultant,Germany,10-04-2026,Hiring Manager
Blue Panda a,SAP Data Governance Specialist,Germany,10-04-2026,Hiring Manager
ASMPT AMICRA GmbH a,SAP Functional Consultant MDG,Germany,10-04-2026,Hiring Manager
Xtreme Secure GmbH a,SAP Integration Consultant,Germany,10-04-2026,Hiring Manager
media21 Onlinedienste e.K. a,SAP Technical Consultant,Germany,10-04-2026,Hiring Manager
Conrad Profistore Regensburg a,SAP Workflow Consultant,Germany,10-04-2026,Hiring Manager
Conrad Profistore Regensburg b,SAP Master Data Consultant,Germany,10-04-2026,Hiring Manager
Puzzles Design&Media Michael Lieb a,SAP MDG Consultant,Germany,10-04-2026,Hiring Manager
Digital Service Regensburg a,SAP MDG Technical Lead,Germany,10-04-2026,Hiring Manager
Alex Velitchko Computerhilfe a,SAP ABAP Consultant,Germany,10-04-2026,Hiring Manager
GdbR Bogner Märkl a,SAP S/4HANA Consultant,Germany,10-04-2026,Hiring Manager
FERCHAU GmbH a,SAP Data Governance Specialist,Germany,10-04-2026,Hiring Manager
FAVORIT.network GmbH a,SAP Functional Consultant MDG,Germany,10-04-2026,Hiring Manager
DermoScan GmbH a,SAP Integration Consultant,Germany,10-04-2026,Hiring Manager
SanData EDV-Systemhaus GmbH a,SAP Technical Consultant,Germany,10-04-2026,Hiring Manager
Computy GmbH & Co. KG a,SAP Workflow Consultant,Germany,10-04-2026,Hiring Manager
Bechtle IT-Systemhaus Würzburg a,SAP Master Data Consultant,Germany,10-04-2026,Hiring Manager
InnoBrain GmbH a,SAP MDG Consultant,Germany,10-04-2026,Hiring Manager
e2n a,SAP MDG Technical Lead,Germany,10-04-2026,Hiring Manager
e2n b,SAP ABAP Consultant,Germany,10-04-2026,Hiring Manager
Flexus AG a,SAP Workflow Consultant,Germany,10-04-2026,Hiring Manager
illucIT Software a,SAP Master Data Consultant,Germany,10-04-2026,Hiring Manager
Hannecke IT Solutions GmbH a,SAP MDG Consultant,Germany,10-04-2026,Hiring Manager
GeSi Software GmbH a,SAP MDG Technical Lead,Germany,10-04-2026,Hiring Manager
INOSYS Innovative Computersysteme GmbH a,SAP ABAP Consultant,Germany,10-04-2026,Hiring Manager
