company_name,role,country,date,hr_name
Vector Informatik GmbH v,Senior QA Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH w,SDET,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH x,QA Automation Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH y,Test Automation Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH z,Quality Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH aa,Software Test Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH ab,QA Lead,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH ac,Automation Test Lead,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH ad,Performance Test Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH ae,Quality Assurance Specialist,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH af,Senior QA Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH ag,SDET,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH ah,QA Automation Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH ai,Test Automation Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH aj,Quality Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH ak,Software Test Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH al,QA Lead,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH am,Automation Test Lead,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH an,Performance Test Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH ao,Quality Assurance Specialist,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH ap,Senior QA Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH aq,SDET,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH ar,QA Automation Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH as,Test Automation Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH at,Quality Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH au,Software Test Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH av,QA Lead,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH aw,Automation Test Lead,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH ax,Performance Test Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH ay,Quality Assurance Specialist,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH az,Senior QA Engineer,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH ba,SDET,Germany,11-04-2026,Hiring Manager
Vector Informatik GmbH bb,QA Automation Engineer,Germany,11-04-2026,Hiring Manager
